team_code,team,country_label,team_abbr,team_slug,country
0014l1Xt,Nadi,Fidschi,NAD,nadi,fiji
001CSxc0,Radnik Surdulica,Serbien,SUR,radnik-surdulica,serbia
002DshSN,Almagro,Argentinien,ALM,almagro,argentina
00B8bzUg,Uz Dong Ju,Usbekistan,UDJ,uz-dong-ju-andijon,uzbekistan
00Cvcdc3,Saint-Pauloise,Réunion,SAP,saint-pauloise-fc,reunion
00FgyiBd,Sputnik,Belarus,SPU,sputnik,belarus
00NeCQbK,FK Javor,Serbien,JAV,javor,serbia
00ZuwKHc,Mekelle 70 Enderta,Äthiopien,MEK,mekelle-70-enderta-fc,ethiopia
00rGKJjD,Kongo U17,Kongo,KON,kongo,congo
021xSr5t,Djeffa,Benin,DJE,djeffa,benin
02GQPeUk,AC Bellinzona,Schweiz,BEL,ac-bellinzona,switzerland
02KSp5Z7,Juventus Managua,Nicaragua,JUV,juventus-fc,nicaragua
02KZ7Tp1,Gyirmót,Ungarn,GSE,gyirmot-fc-gyor,hungary
02ZSs2tP,Quy Nhon United,Vietnam,BIN,quy-nhon-united,vietnam
02bMY44i,Harare City,Simbabwe,HAR,harare-city,zimbabwe
02uWUnp8,Kjelsås Fotball,Norwegen,KJE,kjelsas,norway
02x8YFgF,Újpest,Ungarn,UJP,ujpest,hungary
043sUkrq,Zagłębie Sosnowiec,Polen,SOS,zaglebie-sosnowiec,poland
04R6qapJ,FC Lichinga,Mosambik,FCL,fc-lichinga,mozambique
04SEqmc7,Imbabura,Ecuador,IMB,imbabura,ecuador
04rYbzDa,Boa,Benin,BOA,boa,benin
04t7zgjb,Agadir,Marokko,AGA,agadir,morocco
06I970Wk,Herentals,Simbabwe,HAR,herentals,zimbabwe
084dFvMD,AO Bujumbura,Burundi,AOB,ao-bujumbura,burundi
086C2Y6B,Yeni Malatyaspor,Türkei,YEN,yeni-malatyaspor,turkey
088C0jDO,Ganclarbirliyi Sumqayit,Aserbaidschan,GAN,ganclarbirliyi-sumqayit,azerbaijan
08OM0e6M,Club Peleen,Martinique,AFR,club-peleen,martinique
08kX8Xr0,Shenzhen Xinpengcheng,China,SIC,shenzhen-xinpengcheng,china-pr
08vcsotn,Barau,Nigeria,BAR,barau,nigeria
