gameid,type,team,name,number
46605,home,Liverpool,Alisson,1
46605,home,Liverpool,Joseph Gomez,12
46605,home,Liverpool,Andrew Robertson,26
46605,home,Liverpool,Trent Alexander-Arnold,66
46605,home,Liverpool,Virgil van Dijk,4
46605,home,Liverpool,Georginio Wijnaldum,5
46605,home,Liverpool,Fabinho,3
46605,home,Liverpool,Jordan Henderson,14
46605,home,Liverpool,Roberto Firmino,9
46605,home,Liverpool,Mohamed Salah,11
46605,home,Liverpool,Divock Origi,27
46605,away,Norwich City,Tim Krul,1
46605,away,Norwich City,Max Aarons,2
46605,away,Norwich City,Ben Godfrey,4
46605,away,Norwich City,Jamal Lewis,12
46605,away,Norwich City,Grant Hanley,5
46605,away,Norwich City,Kenny McLean,23
46605,away,Norwich City,Tom Trybull,19
46605,away,Norwich City,Emiliano Buendía,17
46605,away,Norwich City,Todd Cantwell,14
46605,away,Norwich City,Marco Stiepermann,18
46605,away,Norwich City,Teemu Pukki,22
46606,home,AFC Bournemouth,Aaron Ramsdale,12
46606,home,AFC Bournemouth,Nathan Aké,5
46606,home,AFC Bournemouth,Chris Mepham,33
46606,home,AFC Bournemouth,Steve Cook,3
46606,home,AFC Bournemouth,Diego Rico,21
46606,home,AFC Bournemouth,Philip Billing,29
46606,home,AFC Bournemouth,Adam Smith,15
46606,home,AFC Bournemouth,Jefferson Lerma,8
46606,home,AFC Bournemouth,Ryan Fraser,24
46606,home,AFC Bournemouth,Callum Wilson,13
46606,home,AFC Bournemouth,Joshua King,7
46606,away,Sheffield United,Dean Henderson,1
46606,away,Sheffield United,Chris Basham,6
46606,away,Sheffield United,Jack O'Connell,5
46606,away,Sheffield United,John Egan,12
46606,away,Sheffield United,Oliver Norwood,16
46606,away,Sheffield United,Enda Stevens,3
46606,away,Sheffield United,John Fleck,4
46606,away,Sheffield United,John Lundstram,7
46606,away,Sheffield United,George Baldock,2
46606,away,Sheffield United,David McGoldrick,17
46606,away,Sheffield United,Callum Robinson,11
46607,home,Burnley,Nick Pope,1
46607,home,Burnley,James Tarkowski,5
46607,home,Burnley,Erik Pieters,23
46607,home,Burnley,Matthew Lowton,2
46607,home,Burnley,Ben Mee,6
46607,home,Burnley,Dwight McNeil,11
46607,home,Burnley,Jack Cork,4
46607,home,Burnley,Ashley Westwood,18
46607,home,Burnley,Jóhann Gudmundsson,7
46607,home,Burnley,Ashley Barnes,10
46607,home,Burnley,Chris Wood,9
46607,away,Southampton,Angus Gunn,28
46607,away,Southampton,Jack Stephens,5
46607,away,Southampton,Jan Bednarek,35
46607,away,Southampton,Jannik Vestergaard,4
46607,away,Southampton,James Ward-Prowse,16
46607,away,Southampton,Yan Valery,43
46607,away,Southampton,Oriol Romeu,14
46607,away,Southampton,Ryan Bertrand,21
46607,away,Southampton,Danny Ings,9
46607,away,Southampton,Che Adams,10
46607,away,Southampton,Nathan Redmond,22
46608,home,Crystal Palace,Vicente Guaita,31
46608,home,Crystal Palace,Patrick van Aanholt,3
46608,home,Crystal Palace,Scott Dann,6
46608,home,Crystal Palace,Martin Kelly,34
46608,home,Crystal Palace,Joel Ward,2
46608,home,Crystal Palace,James McArthur,18
46608,home,Crystal Palace,Andros Townsend,10
46608,home,Crystal Palace,Max Meyer,7
46608,home,Crystal Palace,Luka Milivojevic,4
46608,home,Crystal Palace,Jordan Ayew,9
46608,home,Crystal Palace,Christian Benteke,17
46608,away,Everton,Jordan Pickford,1
46608,away,Everton,Séamus Coleman,23
46608,away,Everton,Michael Keane,5
46608,away,Everton,Yerry Mina,13
46608,away,Everton,Lucas Digne,12
46608,away,Everton,Richarlison,7
46608,away,Everton,Bernard,20
46608,away,Everton,Gylfi Sigurdsson,10
46608,away,Everton,Morgan Schneiderlin,18
46608,away,Everton,André Gomes,21
46608,away,Everton,Dominic Calvert-Lewin,9
46609,home,Leicester City,Kasper Schmeichel,1
46609,home,Leicester City,Çaglar Söyüncü,4
46609,home,Leicester City,Ricardo Pereira,21
46609,home,Leicester City,Ben Chilwell,3
46609,home,Leicester City,Jonny Evans,6
46609,home,Leicester City,Hamza Choudhury,20
46609,home,Leicester City,Youri Tielemans,8
46609,home,Leicester City,James Maddison,10
46609,home,Leicester City,Wilfred Ndidi,25
46609,home,Leicester City,Ayoze Pérez,17
46609,home,Leicester City,Jamie Vardy,9
46609,away,Wolverhampton Wanderers,Rui Patrício,11
46609,away,Wolverhampton Wanderers,Willy Boly,15
46609,away,Wolverhampton Wanderers,Conor Coady,16
46609,away,Wolverhampton Wanderers,Ryan Bennett,5
46609,away,Wolverhampton Wanderers,Leander Dendoncker,32
46609,away,Wolverhampton Wanderers,Jonny,19
46609,away,Wolverhampton Wanderers,Rúben Neves,8
46609,away,Wolverhampton Wanderers,João Moutinho,28
46609,away,Wolverhampton Wanderers,Matt Doherty,2
46609,away,Wolverhampton Wanderers,Raúl Jiménez,9
46609,away,Wolverhampton Wanderers,Diogo Jota,18
46610,home,Tottenham Hotspur,Hugo Lloris,1
46610,home,Tottenham Hotspur,Toby Alderweireld,4
46610,home,Tottenham Hotspur,Kyle Walker-Peters,16
46610,home,Tottenham Hotspur,Davinson Sánchez,6
46610,home,Tottenham Hotspur,Danny Rose,3
46610,home,Tottenham Hotspur,Tanguy Ndombele 90 +,28
46610,home,Tottenham Hotspur,Harry Winks,8
46610,home,Tottenham Hotspur,Erik Lamela,11
46610,home,Tottenham Hotspur,Moussa Sissoko,17
46610,home,Tottenham Hotspur,Lucas Moura,27
46610,home,Tottenham Hotspur,Harry Kane,10
46610,away,Aston Villa,Tom Heaton,1
46610,away,Aston Villa,Ahmed El Mohamady,27
46610,away,Aston Villa,Neil Taylor,3
46610,away,Aston Villa,Tyrone Mings,40
46610,away,Aston Villa,Björn Engels,22
46610,away,Aston Villa,Anwar El Ghazi,21
46610,away,Aston Villa,John McGinn,7
46610,away,Aston Villa,Conor Hourihane,14
46610,away,Aston Villa,Trézéguet,17
46610,away,Aston Villa,Jack Grealish,10
46610,away,Aston Villa,Wesley,9
46611,home,Watford,Ben Foster,26
46611,home,Watford,Kiko Femenía,21
46611,home,Watford,Craig Dawson,4
46611,home,Watford,José Holebas,25
46611,home,Watford,Craig Cathcart,15
46611,home,Watford,Will Hughes,19
46611,home,Watford,Abdoulaye Doucouré,16
46611,home,Watford,Etienne Capoue,29
46611,home,Watford,Gerard Deulofeu,7
46611,home,Watford,Troy Deeney,9
46611,home,Watford,Andre Gray,18
46611,away,Brighton and Hove Albion,Mat Ryan,1
46611,away,Brighton and Hove Albion,Lewis Dunk,5
46611,away,Brighton and Hove Albion,Shane Duffy,4
46611,away,Brighton and Hove Albion,Dan Burn,33
46611,away,Brighton and Hove Albion,Dale Stephens,6
46611,away,Brighton and Hove Albion,Solly March,20
46611,away,Brighton and Hove Albion,Davy Pröpper,24
46611,away,Brighton and Hove Albion,Martín Montoya,22
46611,away,Brighton and Hove Albion,Pascal Groß,13
46611,away,Brighton and Hove Albion,Glenn Murray,17
46611,away,Brighton and Hove Albion,Jürgen Locadia,9
46612,home,West Ham United,Lukasz Fabianski,1
46612,home,West Ham United,Issa Diop,23
46612,home,West Ham United,Ryan Fredericks,24
46612,home,West Ham United,Aaron Cresswell,3
46612,home,West Ham United,Fabián Balbuena,4
46612,home,West Ham United,Manuel Lanzini,10
46612,home,West Ham United,Felipe Anderson,8
46612,home,West Ham United,Michail Antonio,30
46612,home,West Ham United,Jack Wilshere,19
46612,home,West Ham United,Declan Rice,41
46612,home,West Ham United,Sébastien Haller,22
46612,away,Manchester City,Ederson,31
46612,away,Manchester City,Oleksandr Zinchenko,11
46612,away,Manchester City,Kyle Walker,2
46612,away,Manchester City,John Stones,5
46612,away,Manchester City,Aymeric Laporte,14
46612,away,Manchester City,Rodrigo,16
46612,away,Manchester City,Kevin De Bruyne,17
46612,away,Manchester City,David Silva,21
46612,away,Manchester City,Riyad Mahrez,26
46612,away,Manchester City,Gabriel Jesus,9
46612,away,Manchester City,Raheem Sterling,7
46613,home,Manchester United,David de Gea,1
46613,home,Manchester United,Harry Maguire,5
46613,home,Manchester United,Victor Lindelöf,2
46613,home,Manchester United,Luke Shaw,23
46613,home,Manchester United,Aaron Wan-Bissaka,29
46613,home,Manchester United,Jesse Lingard,14
46613,home,Manchester United,Andreas Pereira,15
46613,home,Manchester United,Marcus Rashford,10
46613,home,Manchester United,Scott McTominay,39
46613,home,Manchester United,Paul Pogba,6
46613,home,Manchester United,Anthony Martial,9
46613,away,Chelsea,Kepa Arrizabalaga,1
46613,away,Chelsea,Kurt Zouma,15
46613,away,Chelsea,Andreas Christensen,4
46613,away,Chelsea,César Azpilicueta,28
46613,away,Chelsea,Emerson,33
46613,away,Chelsea,Mateo Kovacic,17
46613,away,Chelsea,Mason Mount,19
46613,away,Chelsea,Pedro,11
46613,away,Chelsea,Ross Barkley,8
46613,away,Chelsea,Jorginho,5
46613,away,Chelsea,Tammy Abraham,9
46614,home,Newcastle United,Martin Dubravka,1
46614,home,Newcastle United,Jamaal Lascelles,6
46614,home,Newcastle United,Fabian Schär,5
46614,home,Newcastle United,Paul Dummett,3
46614,home,Newcastle United,Sean Longstaff,36
46614,home,Newcastle United,Javier Manquillo,19
46614,home,Newcastle United,Matt Ritchie,11
46614,home,Newcastle United,Isaac Hayden,14
46614,home,Newcastle United,Jonjo Shelvey,8
46614,home,Newcastle United,Miguel Almirón,24
46614,home,Newcastle United,Joelinton,9
46614,away,Arsenal,Bernd Leno,1
46614,away,Arsenal,Ainsley Maitland-Niles,15
46614,away,Arsenal,Sokratis,5
46614,away,Arsenal,Nacho Monreal,18
46614,away,Arsenal,Calum Chambers,21
46614,away,Arsenal,Matteo Guendouzi,29
46614,away,Arsenal,Henrikh Mkhitaryan,7
46614,away,Arsenal,Granit Xhaka,34
46614,away,Arsenal,Joseph Willock,28
46614,away,Arsenal,Reiss Nelson,24
46614,away,Arsenal,Pierre-Emerick Aubameyang,14
46615,home,Arsenal,Bernd Leno,1
46615,home,Arsenal,Ainsley Maitland-Niles,15
46615,home,Arsenal,Sokratis,5
46615,home,Arsenal,Nacho Monreal,18
46615,home,Arsenal,David Luiz,23
46615,home,Arsenal,Joseph Willock,28
46615,home,Arsenal,Reiss Nelson,24
46615,home,Arsenal,Dani Ceballos,8
46615,home,Arsenal,Pierre-Emerick Aubameyang,14
46615,home,Arsenal,Matteo Guendouzi,29
46615,home,Arsenal,Alexandre Lacazette,9
46615,away,Burnley,Nick Pope,1
46615,away,Burnley,Ben Mee,6
46615,away,Burnley,Erik Pieters,23
46615,away,Burnley,James Tarkowski,5
46615,away,Burnley,Matthew Lowton,2
46615,away,Burnley,Jack Cork,4
46615,away,Burnley,Dwight McNeil,11
46615,away,Burnley,Ashley Westwood,18
46615,away,Burnley,Jóhann Gudmundsson,7
46615,away,Burnley,Chris Wood,9
46615,away,Burnley,Ashley Barnes,10
46616,home,Aston Villa,Tom Heaton,1
46616,home,Aston Villa,Björn Engels,22
46616,home,Aston Villa,Tyrone Mings,40
46616,home,Aston Villa,Ahmed El Mohamady,27
46616,home,Aston Villa,Neil Taylor,3
46616,home,Aston Villa,Douglas Luiz,6
46616,home,Aston Villa,John McGinn,7
46616,home,Aston Villa,Jack Grealish,10
46616,home,Aston Villa,Trézéguet,17
46616,home,Aston Villa,Wesley,9
46616,home,Aston Villa,Anwar El Ghazi,21
46616,away,AFC Bournemouth,Aaron Ramsdale,12
46616,away,AFC Bournemouth,Nathan Aké,5
46616,away,AFC Bournemouth,Steve Cook,3
46616,away,AFC Bournemouth,Adam Smith,15
46616,away,AFC Bournemouth,Charlie Daniels,11
46616,away,AFC Bournemouth,Philip Billing,29
46616,away,AFC Bournemouth,Jefferson Lerma,8
46616,away,AFC Bournemouth,Harry Wilson,22
46616,away,AFC Bournemouth,Ryan Fraser,24
46616,away,AFC Bournemouth,Joshua King,7
46616,away,AFC Bournemouth,Callum Wilson,13
46617,home,Brighton and Hove Albion,Mat Ryan,1
46617,home,Brighton and Hove Albion,Dan Burn,33
46617,home,Brighton and Hove Albion,Shane Duffy,4
46617,home,Brighton and Hove Albion,Lewis Dunk,5
46617,home,Brighton and Hove Albion,Davy Pröpper,24
46617,home,Brighton and Hove Albion,Dale Stephens,6
46617,home,Brighton and Hove Albion,Martín Montoya,22
46617,home,Brighton and Hove Albion,Solly March,20
46617,home,Brighton and Hove Albion,Leandro Trossard,11
46617,home,Brighton and Hove Albion,Pascal Groß,13
46617,home,Brighton and Hove Albion,Glenn Murray,17
46617,away,West Ham United,Lukasz Fabianski,1
46617,away,West Ham United,Issa Diop,23
46617,away,West Ham United,Ryan Fredericks,24
46617,away,West Ham United,Angelo Ogbonna,21
46617,away,West Ham United,Arthur Masuaku,26
46617,away,West Ham United,Declan Rice,41
46617,away,West Ham United,Robert Snodgrass,11
46617,away,West Ham United,Manuel Lanzini,10
46617,away,West Ham United,Pablo Fornals,18
46617,away,West Ham United,Jack Wilshere,19
46617,away,West Ham United,Chicharito,9
46618,home,Chelsea,Kepa Arrizabalaga,1
46618,home,Chelsea,Kurt Zouma,15
46618,home,Chelsea,César Azpilicueta,28
46618,home,Chelsea,Andreas Christensen,4
