scoring_player,scoring_team,time,GH,GA,game,date,season
Peter Wurz,VfB Mödling,27,1,0,VfB Mödling vs. Austria Wien 1:1,1994-08-02,1994-1995
Manfred Zsak,Austria Wien,40,1,1,VfB Mödling vs. Austria Wien 1:1,1994-08-02,1994-1995
Arnold Wetl,Sturm Graz,30,1,0,Sturm Graz vs. Vorwärts Steyr 1:1,1994-08-03,1994-1995
Thomas Gröbl,Vorwärts Steyr,72,1,1,Sturm Graz vs. Vorwärts Steyr 1:1,1994-08-03,1994-1995
Souleyman Sané,FC Tirol Innsbruck,54,1,0,FC Tirol Innsbruck vs. FC Linz 3:0,1994-08-03,1994-1995
Václav Daněk,FC Tirol Innsbruck,55,2,0,FC Tirol Innsbruck vs. FC Linz 3:0,1994-08-03,1994-1995
Thomas Janeschitz,FC Tirol Innsbruck,82,3,0,FC Tirol Innsbruck vs. FC Linz 3:0,1994-08-03,1994-1995
Hans Kogler,Admira/Wacker,24,0,1,Rapid Wien vs. Admira/Wacker 2:2,1994-08-03,1994-1995
Andreas Heraf,Rapid Wien,26,1,1,Rapid Wien vs. Admira/Wacker 2:2,1994-08-03,1994-1995
Michael Binder,Admira/Wacker,56,1,2,Rapid Wien vs. Admira/Wacker 2:2,1994-08-03,1994-1995
Dietmar Kühbauer,Rapid Wien,85,2,2,Rapid Wien vs. Admira/Wacker 2:2,1994-08-03,1994-1995
Bruno Friesenbichler,Sturm Graz,31,0,1,Admira/Wacker vs. Sturm Graz 1:2,1994-08-05,1994-1995
Hans Kogler,Admira/Wacker,54,1,1,Admira/Wacker vs. Sturm Graz 1:2,1994-08-05,1994-1995
Gilbert Prilasnig,Sturm Graz,71,1,2,Admira/Wacker vs. Sturm Graz 1:2,1994-08-05,1994-1995
Mohamed Azima,Vorwärts Steyr,45,1,0,Vorwärts Steyr vs. VfB Mödling 2:0,1994-08-05,1994-1995
Peter Barac,Vorwärts Steyr,81,2,0,Vorwärts Steyr vs. VfB Mödling 2:0,1994-08-05,1994-1995
