GH,GA,scorer,time,scoring,game,season
1,0,Atty Affo,17,RSC Charleroi,RSC Charleroi vs. KSV Waregem 1:0,1990-1991
1,0,Miklos Molnar,4,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
2,0,Guy Vandersmissen,22,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
3,0,Miklos Molnar,23,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
4,0,Miklos Molnar,48,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
4,1,Mark Talbut,58,K. Beerschot VAV,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
5,1,Miklos Molnar,60,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
6,1,Benoît Thans,69,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
7,1,Guy Hellers,76,Standard Liège,Standard Liège vs. K. Beerschot VAV 7:1,1990-1991
1,0,Yves Soudan,3,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
1,1,Patrick van Kets,43,Sint-Truidense VV,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
1,2,Christopher N'Wosu,45,Sint-Truidense VV,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
2,2,Erwin Vandenbergh,63,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
3,2,Erwin Vandenbergh,70,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
4,2,Eric Viscaal,74,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
5,2,Frank Dauwen,82,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
5,3,Patrick Ghislain,85,Sint-Truidense VV,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
6,3,Erwin Vandenbergh,90,KAA Gent,KAA Gent vs. Sint-Truidense VV 6:3,1990-1991
0,1,Nico Broeckaert,8,Royal Antwerp FC,KV Kortrijk vs. Royal Antwerp FC 4:1,1990-1991
1,1,Rudy Ducoulombier,40,KV Kortrijk,KV Kortrijk vs. Royal Antwerp FC 4:1,1990-1991
2,1,Rudy Ducoulombier,67,KV Kortrijk,KV Kortrijk vs. Royal Antwerp FC 4:1,1990-1991
3,1,Patrick Goots,81,KV Kortrijk,KV Kortrijk vs. Royal Antwerp FC 4:1,1990-1991
4,1,Laurent Ballenghien,86,KV Kortrijk,KV Kortrijk vs. Royal Antwerp FC 4:1,1990-1991
1,0,Eddy Snelders,16,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Sporting Lokeren 3:0,1990-1991
2,0,Marino Sabbadini,79,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Sporting Lokeren 3:0,1990-1991
3,0,Eddy Snelders,83,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Sporting Lokeren 3:0,1990-1991
1,0,Frank Farina,42,Club Brugge KV,Club Brugge KV vs. RWD Molenbeek 2:0,1990-1991
2,0,Frank Farina,44,Club Brugge KV,Club Brugge KV vs. RWD Molenbeek 2:0,1990-1991
0,1,Francis Severeyns,15,KV Mechelen,Lierse SK vs. KV Mechelen 0:4,1990-1991
0,2,Francis Severeyns,22,KV Mechelen,Lierse SK vs. KV Mechelen 0:4,1990-1991
0,3,Bruno Versavel,28,KV Mechelen,Lierse SK vs. KV Mechelen 0:4,1990-1991
0,4,Marc Wilmots,52,KV Mechelen,Lierse SK vs. KV Mechelen 0:4,1990-1991
1,0,Frane Bućan,78,KRC Genk,KRC Genk vs. RFC de Liège 1:0,1990-1991
NA,NA,NA,NA,NA,RSC Anderlecht vs. Cercle Brugge 0:0,1990-1991
1,0,Bart Mauroo,62,KSV Waregem,KSV Waregem vs. Standard Liège 1:1,1990-1991
1,1,Miklos Molnar,71,Standard Liège,KSV Waregem vs. Standard Liège 1:1,1990-1991
1,0,Christopher N'Wosu,41,Sint-Truidense VV,Sint-Truidense VV vs. KV Kortrijk 1:0,1990-1991
0,1,Dante Brogno,12,RSC Charleroi,RWD Molenbeek vs. RSC Charleroi 1:1,1990-1991
1,1,Harm van Veldhoven,90,RWD Molenbeek,RWD Molenbeek vs. RSC Charleroi 1:1,1990-1991
1,0,Ferenc Mészáros,12,Sporting Lokeren,Sporting Lokeren vs. Lierse SK 2:0,1990-1991
2,0,Ferenc Mészáros,37,Sporting Lokeren,Sporting Lokeren vs. Lierse SK 2:0,1990-1991
0,1,Jan Verdegem,77,KAA Gent,RFC de Liège vs. KAA Gent 0:1,1990-1991
0,1,Gunther Hofmans,15,KFC Germinal Ekeren,Cercle Brugge vs. KFC Germinal Ekeren 3:2,1990-1991
1,1,Branko Karačić,26,Cercle Brugge,Cercle Brugge vs. KFC Germinal Ekeren 3:2,1990-1991
1,2,Guy Droessaert,43,KFC Germinal Ekeren,Cercle Brugge vs. KFC Germinal Ekeren 3:2,1990-1991
2,2,Branko Karačić,52,Cercle Brugge,Cercle Brugge vs. KFC Germinal Ekeren 3:2,1990-1991
3,2,Josip Weber,53,Cercle Brugge,Cercle Brugge vs. KFC Germinal Ekeren 3:2,1990-1991
1,0,Lieven Heymans,12,K. Beerschot VAV,K. Beerschot VAV vs. KRC Genk 1:1,1990-1991
1,1,Didier Boulet,38,KRC Genk,K. Beerschot VAV vs. KRC Genk 1:1,1990-1991
1,0,Geert Emmerechts,68,Royal Antwerp FC,Royal Antwerp FC vs. RSC Anderlecht 1:0,1990-1991
1,0,Philippe Albert,35,KV Mechelen,KV Mechelen vs. Club Brugge KV 1:1,1990-1991
1,1,Jan Ceulemans,86,Club Brugge KV,KV Mechelen vs. Club Brugge KV 1:1,1990-1991
1,0,Benoît Thans,12,Standard Liège,Standard Liège vs. RWD Molenbeek 1:0,1990-1991
1,0,Jostein Flo,60,Lierse SK,Lierse SK vs. Cercle Brugge 4:0,1990-1991
2,0,Jacky Boonen,75,Lierse SK,Lierse SK vs. Cercle Brugge 4:0,1990-1991
3,0,Kjetil Rekdal,78,Lierse SK,Lierse SK vs. Cercle Brugge 4:0,1990-1991
4,0,Kjetil Rekdal,88,Lierse SK,Lierse SK vs. Cercle Brugge 4:0,1990-1991
1,0,Patrick Goots,57,KV Kortrijk,KV Kortrijk vs. RFC de Liège 2:0,1990-1991
2,0,Anton Janssen,72,KV Kortrijk,KV Kortrijk vs. RFC de Liège 2:0,1990-1991
0,1,Frans Van Rooij,14,Royal Antwerp FC,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
1,1,Frank Schmöller,54,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
2,1,Eddy Snelders,56,KFC Germinal Ekeren,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
2,2,Hans-Peter Lehnhoff,88,Royal Antwerp FC,KFC Germinal Ekeren vs. Royal Antwerp FC 2:2,1990-1991
1,0,Osvaldo Hurtado,3,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
2,0,Atty Affo,9,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
3,0,Marc Wuyts,32,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
4,0,Marc Wuyts,45,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
5,0,Osvaldo Hurtado,55,RSC Charleroi,RSC Charleroi vs. KV Mechelen 5:1,1990-1991
