scoring_player,scoring_team,time,GH,GA,game,date,season
Ivan Leko,Club Brugge KV,12,1,0,Club Brugge KV vs. Excelsior Mouscron 2:0,2005-08-05,2005-2006
Boško Balaban,Club Brugge KV,24,2,0,Club Brugge KV vs. Excelsior Mouscron 2:0,2005-08-05,2005-2006
Mohammed Tchité,Standard Liège,5,1,0,Standard Liège vs. Lierse SK 3:1,2005-08-06,2005-2006
Kristof Imschoot,Lierse SK,24,1,1,Standard Liège vs. Lierse SK 3:1,2005-08-06,2005-2006
Karel Geraerts,Standard Liège,45,2,1,Standard Liège vs. Lierse SK 3:1,2005-08-06,2005-2006
Sérgio Conceição,Standard Liège,89,3,1,Standard Liège vs. Lierse SK 3:1,2005-08-06,2005-2006
Tony Sergeant,SV Zulte Waregem,38,0,1,KAA Gent vs. SV Zulte Waregem 1:3,2005-08-06,2005-2006
Davy De Beule,KAA Gent,43,1,1,KAA Gent vs. SV Zulte Waregem 1:3,2005-08-06,2005-2006
Stefan Leleu,SV Zulte Waregem,53,1,2,KAA Gent vs. SV Zulte Waregem 1:3,2005-08-06,2005-2006
Ludwin Van Nieuwenhuyze,SV Zulte Waregem,85,1,3,KAA Gent vs. SV Zulte Waregem 1:3,2005-08-06,2005-2006
Werry Sels,FC Brussels,39,0,1,KSK Beveren vs. FC Brussels 0:2,2005-08-06,2005-2006
Igor de Camargo,FC Brussels,90,0,2,KSK Beveren vs. FC Brussels 0:2,2005-08-06,2005-2006
Aristide Bancé,Sporting Lokeren,49,1,0,Sporting Lokeren vs. KRC Genk 1:1,2005-08-06,2005-2006
Kevin Vandenbergh,KRC Genk,83,1,1,Sporting Lokeren vs. KRC Genk 1:1,2005-08-06,2005-2006
Jajá Coelho,KVC Westerlo,8,1,0,KVC Westerlo vs. Cercle Brugge 2:0,2005-08-06,2005-2006
Chris Janssens,KVC Westerlo,11,2,0,KVC Westerlo vs. Cercle Brugge 2:0,2005-08-06,2005-2006
Mbo Mpenza,RSC Anderlecht,9,1,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Serhat Akın,RSC Anderlecht,25,2,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Pär Zetterberg,RSC Anderlecht,45,3,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Bart Goor,RSC Anderlecht,60,4,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Serhat Akın,RSC Anderlecht,66,5,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Dan Mitu,RSC Anderlecht,85,6,0,RSC Anderlecht vs. RAA La Louviére 6:0,2005-08-06,2005-2006
Ilija Stolica,Sint-Truidense VV,19,1,0,Sint-Truidense VV vs. KSV Roeselare 1:0,2005-08-06,2005-2006
Gregory Christ,Sporting Charleroi,61,1,0,Sporting Charleroi vs. Germinal Beerschot 2:0,2005-08-07,2005-2006
Loris Reina,Sporting Charleroi,90,2,0,Sporting Charleroi vs. Germinal Beerschot 2:0,2005-08-07,2005-2006
Mohammed Aliyu Datti,KAA Gent,38,0,1,RAA La Louviére vs. KAA Gent 1:1,2005-08-12,2005-2006
Sergio Sánchez,RAA La Louviére,83,1,1,RAA La Louviére vs. KAA Gent 1:1,2005-08-12,2005-2006
Arnar Viðarsson,Sporting Lokeren,55,0,1,Excelsior Mouscron vs. Sporting Lokeren 0:2,2005-08-13,2005-2006
Gunther Van Handenhoven,Sporting Lokeren,86,0,2,Excelsior Mouscron vs. Sporting Lokeren 0:2,2005-08-13,2005-2006
Manasseh Ishiaku,Club Brugge KV,23,0,1,FC Brussels vs. Club Brugge KV 1:1,2005-08-13,2005-2006
Igor de Camargo,FC Brussels,29,1,1,FC Brussels vs. Club Brugge KV 1:1,2005-08-13,2005-2006
Björn De Wilde,KVC Westerlo,89,0,1,Germinal Beerschot vs. KVC Westerlo 0:1,2005-08-13,2005-2006
Serhat Akın,RSC Anderlecht,24,0,1,Cercle Brugge vs. RSC Anderlecht 0:2,2005-08-14,2005-2006
Mbo Mpenza,RSC Anderlecht,81,0,2,Cercle Brugge vs. RSC Anderlecht 0:2,2005-08-14,2005-2006
Alessandro,Lierse SK,34,1,0,Lierse SK vs. Sint-Truidense VV 1:0,2005-08-14,2005-2006
Wagneau Eloi,KSV Roeselare,40,1,0,KSV Roeselare vs. KSK Beveren 1:0,2005-08-14,2005-2006
Stijn Meert,SV Zulte Waregem,5,1,0,SV Zulte Waregem vs. Standard Liège 1:2,2005-08-14,2005-2006
