scoring_player,scoring_team,time,GH,GA,game,date,season
Aldana,Real Madrid,18,0,1,Odense BK vs. Real Madrid 1:4,1990-09-18,1990-1991
Per Pedersen,Odense BK,22,1,1,Odense BK vs. Real Madrid 1:4,1990-09-18,1990-1991
Hugo Sánchez,Real Madrid,26,1,2,Odense BK vs. Real Madrid 1:4,1990-09-18,1990-1991
Villarroya,Real Madrid,83,1,3,Odense BK vs. Real Madrid 1:4,1990-09-18,1990-1991
Maqueda,Real Madrid,87,1,4,Odense BK vs. Real Madrid 1:4,1990-09-18,1990-1991
Ally McCoist,Rangers FC,16,0,1,Valletta FC vs. Rangers FC 0:4,1990-09-19,1990-1991
Mark Hateley,Rangers FC,67,0,2,Valletta FC vs. Rangers FC 0:4,1990-09-19,1990-1991
Mo Johnston,Rangers FC,75,0,3,Valletta FC vs. Rangers FC 0:4,1990-09-19,1990-1991
Mo Johnston,Rangers FC,80,0,4,Valletta FC vs. Rangers FC 0:4,1990-09-19,1990-1991
Siniša Gogić,APOEL Nikosia,5,1,0,APOEL Nikosia vs. Bayern München 2:3,1990-09-19,1990-1991
Stefan Reuter,Bayern München,71,1,1,APOEL Nikosia vs. Bayern München 2:3,1990-09-19,1990-1991
Koulis Pantziaras,APOEL Nikosia,78,2,1,APOEL Nikosia vs. Bayern München 2:3,1990-09-19,1990-1991
Alan McInally,Bayern München,87,2,2,APOEL Nikosia vs. Bayern München 2:3,1990-09-19,1990-1991
Thomas Strunz,Bayern München,89,2,3,APOEL Nikosia vs. Bayern München 2:3,1990-09-19,1990-1991
Czesław Jakołcewicz,Lech Poznań,1,1,0,Lech Poznań vs. Panathinaikos 3:0,1990-09-19,1990-1991
Czesław Jakołcewicz,Lech Poznań,19,2,0,Lech Poznań vs. Panathinaikos 3:0,1990-09-19,1990-1991
Marek Rzepka,Lech Poznań,64,3,0,Lech Poznań vs. Panathinaikos 3:0,1990-09-19,1990-1991
Anton Doboș,Dinamo Bucureşti,2,1,0,Dinamo Bucureşti vs. St Patrick's Athletic 4:0,1990-09-19,1990-1991
Marian Damaschin,Dinamo Bucureşti,19,2,0,Dinamo Bucureşti vs. St Patrick's Athletic 4:0,1990-09-19,1990-1991
Dorin Mateuţ,Dinamo Bucureşti,24,3,0,Dinamo Bucureşti vs. St Patrick's Athletic 4:0,1990-09-19,1990-1991
Marius Cheregi,Dinamo Bucureşti,80,4,0,Dinamo Bucureşti vs. St Patrick's Athletic 4:0,1990-09-19,1990-1991
Igor Shalimov,Spartak Moskva,26,0,1,TJ Sparta Praha vs. Spartak Moskva 0:2,1990-09-19,1990-1991
Valeriy Shmarov,Spartak Moskva,60,0,2,TJ Sparta Praha vs. Spartak Moskva 0:2,1990-09-19,1990-1991
Peter Közle,Grasshopper Club Zürich,14,0,1,Crvena Zvezda vs. Grasshopper Club Zürich 1:1,1990-09-19,1990-1991
Dragiša Binić,Crvena Zvezda,43,1,1,Crvena Zvezda vs. Grasshopper Club Zürich 1:1,1990-09-19,1990-1991
Lorenzo Staelens,Club Brugge KV,3,0,1,Lillestrøm SK vs. Club Brugge KV 1:1,1990-09-19,1990-1991
Gunnar Halle,Lillestrøm SK,80,1,1,Lillestrøm SK vs. Club Brugge KV 1:1,1990-09-19,1990-1991
Alfie Stewart,FC Porto,7,1,0,FC Porto vs. Portadown FC 5:0,1990-09-19,1990-1991
Stéphane Paille,FC Porto,17,2,0,FC Porto vs. Portadown FC 5:0,1990-09-19,1990-1991
Emil Kostadinov,FC Porto,32,3,0,FC Porto vs. Portadown FC 5:0,1990-09-19,1990-1991
Branco,FC Porto,50,4,0,FC Porto vs. Portadown FC 5:0,1990-09-19,1990-1991
Stéphane Paille,FC Porto,77,5,0,FC Porto vs. Portadown FC 5:0,1990-09-19,1990-1991
Patrick Morocutti,Union Luxembourg,45,1,0,Union Luxembourg vs. Dynamo Dresden 1:3,1990-09-19,1990-1991
Torsten Gütschow,Dynamo Dresden,47,1,1,Union Luxembourg vs. Dynamo Dresden 1:3,1990-09-19,1990-1991
Marc Birsens,Dynamo Dresden,79,1,2,Union Luxembourg vs. Dynamo Dresden 1:3,1990-09-19,1990-1991
Sven Ratke,Dynamo Dresden,90,1,3,Union Luxembourg vs. Dynamo Dresden 1:3,1990-09-19,1990-1991
Néstor Gorosito,FC Tirol,29,1,0,FC Tirol vs. FC Kuusysi (old) 5:0,1990-09-19,1990-1991
Oliver Prudlo,FC Tirol,35,2,0,FC Tirol vs. FC Kuusysi (old) 5:0,1990-09-19,1990-1991
Peter Pacult,FC Tirol,41,3,0,FC Tirol vs. FC Kuusysi (old) 5:0,1990-09-19,1990-1991
Peter Pacult,FC Tirol,58,4,0,FC Tirol vs. FC Kuusysi (old) 5:0,1990-09-19,1990-1991
Peter Pacult,FC Tirol,80,5,0,FC Tirol vs. FC Kuusysi (old) 5:0,1990-09-19,1990-1991
Håkan Lindman,Malmö FF,29,1,0,Malmö FF vs. Beşiktaş 3:2,1990-09-19,1990-1991
Feyyaz Uçar,Beşiktaş,52,1,1,Malmö FF vs. Beşiktaş 3:2,1990-09-19,1990-1991
Patrik Sundström,Malmö FF,58,2,1,Malmö FF vs. Beşiktaş 3:2,1990-09-19,1990-1991
Feyyaz Uçar,Beşiktaş,60,2,2,Malmö FF vs. Beşiktaş 3:2,1990-09-19,1990-1991
Recep Çetin,Malmö FF,62,3,2,Malmö FF vs. Beşiktaş 3:2,1990-09-19,1990-1991
Hafsteinn Jakobsson,KA Akureyri,12,1,0,KA Akureyri vs. CSKA Sofia 1:0,1990-09-19,1990-1991
Marco Baroni,SSC Napoli,36,1,0,SSC Napoli vs. Újpesti Dózsa SC 3:0,1990-09-19,1990-1991
Diego Maradona,SSC Napoli,43,2,0,SSC Napoli vs. Újpesti Dózsa SC 3:0,1990-09-19,1990-1991
Diego Maradona,SSC Napoli,77,3,0,SSC Napoli vs. Újpesti Dózsa SC 3:0,1990-09-19,1990-1991
Jean-Pierre Papin,Olympique Marseille,44,1,0,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Jean-Pierre Papin,Olympique Marseille,63,2,0,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Éric Cantona,Olympique Marseille,70,3,0,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Jean-Pierre Papin,Olympique Marseille,75,4,0,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Ermal Tahiri,Dinamo Tiranë,89,4,1,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Philippe Vercruysse,Olympique Marseille,90,5,1,Olympique Marseille vs. Dinamo Tiranë 5:1,1990-09-19,1990-1991
Losada,Real Madrid,16,1,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Míchel,Real Madrid,35,2,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Aldana,Real Madrid,46,3,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Losada,Real Madrid,55,4,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Losada,Real Madrid,74,5,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Aldana,Real Madrid,81,6,0,"Real Madrid vs. Odense BK 6:0 									
																		
										(Hinspiel 4:1)",1990-10-02,1990-1991
Davie Dodds,Rangers FC,5,1,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
John Spencer,Rangers FC,6,2,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
Mo Johnston,Rangers FC,19,3,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
Mo Johnston,Rangers FC,37,4,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
Ally McCoist,Rangers FC,75,5,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
Mo Johnston,Rangers FC,78,6,0,"Rangers FC vs. Valletta FC 6:0 									
																		
										(Hinspiel 4:0)",1990-10-02,1990-1991
Klaus Augenthaler,Bayern München,48,1,0,"Bayern München vs. APOEL Nikosia 4:0 									
																		
										(Hinspiel 3:2)",1990-10-03,1990-1991
Radmilo Mihajlović,Bayern München,64,2,0,"Bayern München vs. APOEL Nikosia 4:0 									
																		
										(Hinspiel 3:2)",1990-10-03,1990-1991
Radmilo Mihajlović,Bayern München,89,3,0,"Bayern München vs. APOEL Nikosia 4:0 									
																		
										(Hinspiel 3:2)",1990-10-03,1990-1991
Radmilo Mihajlović,Bayern München,90,4,0,"Bayern München vs. APOEL Nikosia 4:0 									
																		
										(Hinspiel 3:2)",1990-10-03,1990-1991
Dimitrios Saravakos,Panathinaikos,44,1,0,"Panathinaikos vs. Lech Poznań 1:2 									
																		
										(Hinspiel 0:3)",1990-10-03,1990-1991
Bogusław Pachelski,Lech Poznań,68,1,1,"Panathinaikos vs. Lech Poznań 1:2 									
																		
										(Hinspiel 0:3)",1990-10-03,1990-1991
Kazimierz Moskal,Lech Poznań,85,1,2,"Panathinaikos vs. Lech Poznań 1:2 									
																		
										(Hinspiel 0:3)",1990-10-03,1990-1991
Pat Fenlon,St Patrick's Athletic,36,1,0,"St Patrick's Athletic vs. Dinamo Bucureşti 1:1 									
																		
										(Hinspiel 0:4)",1990-10-03,1990-1991
Dorin Mateuţ,Dinamo Bucureşti,76,1,1,"St Patrick's Athletic vs. Dinamo Bucureşti 1:1 									
																		
										(Hinspiel 0:4)",1990-10-03,1990-1991
Gennadiy Perepadenko,Spartak Moskva,33,1,0,"Spartak Moskva vs. TJ Sparta Praha 2:0 									
																		
										(Hinspiel 2:0)",1990-10-03,1990-1991
Oleg Ivanov,Spartak Moskva,51,2,0,"Spartak Moskva vs. TJ Sparta Praha 2:0 									
																		
										(Hinspiel 2:0)",1990-10-03,1990-1991
Darko Pančev,Crvena Zvezda,12,0,1,"Grasshopper Club Zürich vs. Crvena Zvezda 1:4 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Robert Prosinečki,Crvena Zvezda,49,0,2,"Grasshopper Club Zürich vs. Crvena Zvezda 1:4 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Duško Radinović,Crvena Zvezda,58,0,3,"Grasshopper Club Zürich vs. Crvena Zvezda 1:4 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Peter Közle,Grasshopper Club Zürich,61,1,3,"Grasshopper Club Zürich vs. Crvena Zvezda 1:4 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Robert Prosinečki,Crvena Zvezda,84,1,4,"Grasshopper Club Zürich vs. Crvena Zvezda 1:4 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Foeke Booy,Club Brugge KV,2,1,0,"Club Brugge KV vs. Lillestrøm SK 2:0 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Frank Farina,Club Brugge KV,83,2,0,"Club Brugge KV vs. Lillestrøm SK 2:0 									
																		
										(Hinspiel 1:1)",1990-10-03,1990-1991
Rabah Madjer,FC Porto,9,0,1,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Rabah Madjer,FC Porto,15,0,2,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Rabah Madjer,FC Porto,33,0,3,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Sandy Fraser,Portadown FC,36,1,3,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
José Semedo,FC Porto,40,1,4,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Stéphane Paille,FC Porto,50,1,5,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Rabah Madjer,FC Porto,55,1,6,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Jorge Couto,FC Porto,68,1,7,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Stéphane Paille,FC Porto,79,1,8,"Portadown FC vs. FC Porto 1:8 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Uwe Jähnig,Dynamo Dresden,18,1,0,"Dynamo Dresden vs. Union Luxembourg 3:0 									
																		
										(Hinspiel 3:1)",1990-10-03,1990-1991
Torsten Gütschow,Dynamo Dresden,34,2,0,"Dynamo Dresden vs. Union Luxembourg 3:0 									
																		
										(Hinspiel 3:1)",1990-10-03,1990-1991
Uwe Jähnig,Dynamo Dresden,45,3,0,"Dynamo Dresden vs. Union Luxembourg 3:0 									
																		
										(Hinspiel 3:1)",1990-10-03,1990-1991
Peter Pacult,FC Tirol,5,0,1,"FC Kuusysi (old) vs. FC Tirol 1:2 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Peter Pacult,FC Tirol,51,0,2,"FC Kuusysi (old) vs. FC Tirol 1:2 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Sami Vehkakoski,FC Kuusysi (old),71,1,2,"FC Kuusysi (old) vs. FC Tirol 1:2 									
																		
										(Hinspiel 0:5)",1990-10-03,1990-1991
Ali Gültiken,Beşiktaş,30,1,0,"Beşiktaş vs. Malmö FF 2:2 									
																		
										(Hinspiel 2:3)",1990-10-03,1990-1991
Feyyaz Uçar,Beşiktaş,44,2,0,"Beşiktaş vs. Malmö FF 2:2 									
																		
										(Hinspiel 2:3)",1990-10-03,1990-1991
Marcus Ekheim,Malmö FF,53,2,1,"Beşiktaş vs. Malmö FF 2:2 									
																		
										(Hinspiel 2:3)",1990-10-03,1990-1991
Bent Skammelsrud,Malmö FF,64,2,2,"Beşiktaş vs. Malmö FF 2:2 									
																		
										(Hinspiel 2:3)",1990-10-03,1990-1991
Hristo Marashliev,CSKA Sofia,19,1,0,"CSKA Sofia vs. KA Akureyri 3:0 									
																		
										(Hinspiel 0:1)",1990-10-03,1990-1991
Georgi Georgiev,CSKA Sofia,48,2,0,"CSKA Sofia vs. KA Akureyri 3:0 									
																		
										(Hinspiel 0:1)",1990-10-03,1990-1991
Hristo Marashliev,CSKA Sofia,80,3,0,"CSKA Sofia vs. KA Akureyri 3:0 									
																		
										(Hinspiel 0:1)",1990-10-03,1990-1991
Giuseppe Incocciati,SSC Napoli,13,0,1,"Újpesti Dózsa SC vs. SSC Napoli 0:2 									
																		
										(Hinspiel 0:3)",1990-10-03,1990-1991
Alemão,SSC Napoli,35,0,2,"Újpesti Dózsa SC vs. SSC Napoli 0:2 									
																		
										(Hinspiel 0:3)",1990-10-03,1990-1991
Stefan Reuter,Bayern München,3,1,0,Bayern München vs. CSKA Sofia 4:0,1990-10-23,1990-1991
Roland Wohlfarth,Bayern München,28,2,0,Bayern München vs. CSKA Sofia 4:0,1990-10-23,1990-1991
Klaus Augenthaler,Bayern München,54,3,0,Bayern München vs. CSKA Sofia 4:0,1990-10-23,1990-1991
Stefan Reuter,Bayern München,63,4,0,Bayern München vs. CSKA Sofia 4:0,1990-10-23,1990-1991
Leif Engqvist,Malmö FF,18,0,1,Dynamo Dresden vs. Malmö FF 1:1,1990-10-24,1990-1991
Torsten Gütschow,Dynamo Dresden,45,1,1,Dynamo Dresden vs. Malmö FF 1:1,1990-10-24,1990-1991
John Brown,Crvena Zvezda,8,1,0,Crvena Zvezda vs. Rangers FC 3:0,1990-10-24,1990-1991
Robert Prosinečki,Crvena Zvezda,65,2,0,Crvena Zvezda vs. Rangers FC 3:0,1990-10-24,1990-1991
Darko Pančev,Crvena Zvezda,74,3,0,Crvena Zvezda vs. Rangers FC 3:0,1990-10-24,1990-1991
Butragueño,Real Madrid,4,1,0,Real Madrid vs. FC Tirol 9:1,1990-10-24,1990-1991
Hugo Sánchez,Real Madrid,7,2,0,Real Madrid vs. FC Tirol 9:1,1990-10-24,1990-1991
Hugo Sánchez,Real Madrid,13,3,0,Real Madrid vs. FC Tirol 9:1,1990-10-24,1990-1991
Peter Pacult,FC Tirol,16,3,1,Real Madrid vs. FC Tirol 9:1,1990-10-24,1990-1991
Butragueño,Real Madrid,31,4,1,Real Madrid vs. FC Tirol 9:1,1990-10-24,1990-1991
