scoring_player,scoring_team,time,GH,GA,game,date,season
Pavel Němčický,Slavia Praha,2,0,1,1. FC Synot Stare Mesto vs. Slavia Praha 1:1,2000-07-29,2000-2001
Lubomír Blaha,1. FC Synot Stare Mesto,6,1,1,1. FC Synot Stare Mesto vs. Slavia Praha 1:1,2000-07-29,2000-2001
Michal Šlachta,Baník Ostrava,8,1,0,Baník Ostrava vs. FC Stavo Artikel Brno 2:1,2000-07-30,2000-2001
Patrik Siegl,FC Stavo Artikel Brno,29,1,1,Baník Ostrava vs. FC Stavo Artikel Brno 2:1,2000-07-30,2000-2001
Petr Samec,Baník Ostrava,66,2,1,Baník Ostrava vs. FC Stavo Artikel Brno 2:1,2000-07-30,2000-2001
Kamil Matuszny,CU Bohemians Praha,48,1,0,CU Bohemians Praha vs. FK Jablonec 97 1:1,2000-07-30,2000-2001
Milan Barteska,FK Jablonec 97,68,1,1,CU Bohemians Praha vs. FK Jablonec 97 1:1,2000-07-30,2000-2001
Martin Pazdera,Chmel Blsany,2,0,1,FK Drnovice vs. Chmel Blsany 1:3,2000-07-30,2000-2001
Pavel Devátý,Chmel Blsany,7,0,2,FK Drnovice vs. Chmel Blsany 1:3,2000-07-30,2000-2001
Jan Velkoborský,Chmel Blsany,38,0,3,FK Drnovice vs. Chmel Blsany 1:3,2000-07-30,2000-2001
Vítězslav Tuma,FK Drnovice,41,1,3,FK Drnovice vs. Chmel Blsany 1:3,2000-07-30,2000-2001
Leandro Lázzaro,Slovan Liberec,19,1,0,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Aleš Pikl,Viktoria Žižkov,38,1,1,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Kennedy Chihuri,Viktoria Žižkov,45,1,2,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Jan Nezmar,Slovan Liberec,67,2,2,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Leandro Lázzaro,Slovan Liberec,77,3,2,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Leandro Lázzaro,Slovan Liberec,79,4,2,Slovan Liberec vs. Viktoria Žižkov 4:2,2000-07-30,2000-2001
Pavel Novotný,AC Sparta Praha,45,1,0,AC Sparta Praha vs. FC Marila Příbram 3:0,2000-07-30,2000-2001
Zdeněk Svoboda,AC Sparta Praha,79,2,0,AC Sparta Praha vs. FC Marila Příbram 3:0,2000-07-30,2000-2001
Josef Obajdin,AC Sparta Praha,88,3,0,AC Sparta Praha vs. FC Marila Příbram 3:0,2000-07-30,2000-2001
Marcel Švejdík,Viktoria Plzeň,44,1,0,Viktoria Plzeň vs. Dynamo České Budějovice 2:2,2000-07-30,2000-2001
Jan Kraus,Viktoria Plzeň,78,2,0,Viktoria Plzeň vs. Dynamo České Budějovice 2:2,2000-07-30,2000-2001
Martin Vozábal,Dynamo České Budějovice,83,2,1,Viktoria Plzeň vs. Dynamo České Budějovice 2:2,2000-07-30,2000-2001
Martin Obšitník,Dynamo České Budějovice,90,2,2,Viktoria Plzeň vs. Dynamo České Budějovice 2:2,2000-07-30,2000-2001
Josef Obajdin,AC Sparta Praha,22,0,1,FC Stavo Artikel Brno vs. AC Sparta Praha 1:2,2000-08-04,2000-2001
Libor Sionko,AC Sparta Praha,64,0,2,FC Stavo Artikel Brno vs. AC Sparta Praha 1:2,2000-08-04,2000-2001
Pavel Šustr,FC Stavo Artikel Brno,86,1,2,FC Stavo Artikel Brno vs. AC Sparta Praha 1:2,2000-08-04,2000-2001
Petr Kašták,Viktoria Plzeň,7,0,1,Slavia Praha vs. Viktoria Plzeň 2:1,2000-08-05,2000-2001
Lukáš Došek,Slavia Praha,67,1,1,Slavia Praha vs. Viktoria Plzeň 2:1,2000-08-05,2000-2001
Lumír Sedláček,Slavia Praha,90,2,1,Slavia Praha vs. Viktoria Plzeň 2:1,2000-08-05,2000-2001
Milan Páleník,Baník Ostrava,7,0,1,Viktoria Žižkov vs. Baník Ostrava 1:2,2000-08-06,2000-2001
Miroslav Mikulík,Viktoria Žižkov,41,1,1,Viktoria Žižkov vs. Baník Ostrava 1:2,2000-08-06,2000-2001
Peter Németh,Baník Ostrava,76,1,2,Viktoria Žižkov vs. Baník Ostrava 1:2,2000-08-06,2000-2001
Pavel Mareš,CU Bohemians Praha,68,0,1,Dynamo České Budějovice vs. CU Bohemians Praha 0:1,2000-08-06,2000-2001
Jiří Kowalík,1. FC Synot Stare Mesto,10,0,1,FK Drnovice vs. 1. FC Synot Stare Mesto 0:2,2000-08-06,2000-2001
Jiří Kowalík,1. FC Synot Stare Mesto,80,0,2,FK Drnovice vs. 1. FC Synot Stare Mesto 0:2,2000-08-06,2000-2001
Rastislav Michalík,Slovan Liberec,5,0,1,FK Jablonec 97 vs. Slovan Liberec 1:3,2000-08-06,2000-2001
Roman Skuhravý,FK Jablonec 97,12,1,1,FK Jablonec 97 vs. Slovan Liberec 1:3,2000-08-06,2000-2001
Leandro Lázzaro,Slovan Liberec,73,1,2,FK Jablonec 97 vs. Slovan Liberec 1:3,2000-08-06,2000-2001
Leandro Lázzaro,Slovan Liberec,90,1,3,FK Jablonec 97 vs. Slovan Liberec 1:3,2000-08-06,2000-2001
Dušan Tesařík,FK Teplice,78,0,1,FC Marila Příbram vs. FK Teplice 0:1,2000-08-06,2000-2001
Jiří Štajner,Slovan Liberec,31,1,0,Slovan Liberec vs. Dynamo České Budějovice 2:0,2000-08-11,2000-2001
Jiří Štajner,Slovan Liberec,60,2,0,Slovan Liberec vs. Dynamo České Budějovice 2:0,2000-08-11,2000-2001
Milan Baroš,Baník Ostrava,8,1,0,Baník Ostrava vs. FK Jablonec 97 1:1,2000-08-12,2000-2001
Petr Lukáš,FK Jablonec 97,55,1,1,Baník Ostrava vs. FK Jablonec 97 1:1,2000-08-12,2000-2001
Ludek Zdráhal,Sigma Olomouc,34,1,0,Sigma Olomouc vs. FC Marila Příbram 3:2,2000-08-12,2000-2001
Marek Kulič,FC Marila Příbram,60,1,1,Sigma Olomouc vs. FC Marila Příbram 3:2,2000-08-12,2000-2001
Pavel Hapal,Sigma Olomouc,74,2,1,Sigma Olomouc vs. FC Marila Příbram 3:2,2000-08-12,2000-2001
Rudolf Otepka,FC Marila Příbram,77,2,2,Sigma Olomouc vs. FC Marila Příbram 3:2,2000-08-12,2000-2001
David Kobylík,Sigma Olomouc,90,3,2,Sigma Olomouc vs. FC Marila Příbram 3:2,2000-08-12,2000-2001
Libor Soldán,1. FC Synot Stare Mesto,57,1,0,1. FC Synot Stare Mesto vs. Chmel Blsany 1:0,2000-08-12,2000-2001
