scoring_player,scoring_team,time,GH,GA,game,date,season
Angulo,Valencia CF,8,0,1,UDA Gramenet vs. Valencia CF 0:1,2000-12-12,2000-2001
Diego Cagna,Villarreal CF,98,0,1,CD Burriana vs. Villarreal CF 1:2 n.V.,2000-12-12,2000-2001
Víctor,Villarreal CF,111,0,2,CD Burriana vs. Villarreal CF 1:2 n.V.,2000-12-12,2000-2001
Pablo,CD Burriana,119,1,2,CD Burriana vs. Villarreal CF 1:2 n.V.,2000-12-12,2000-2001
Gerard,FC Barcelona,27,0,1,CF Gandia vs. FC Barcelona 0:3,2000-12-12,2000-2001
Luis Enrique,FC Barcelona,71,0,2,CF Gandia vs. FC Barcelona 0:3,2000-12-12,2000-2001
Pep Guardiola,FC Barcelona,78,0,3,CF Gandia vs. FC Barcelona 0:3,2000-12-12,2000-2001
Pedro Ojeda,CD Numancia,44,0,1,Barakaldo CF vs. CD Numancia 3:4 i.E.,2000-12-13,2000-2001
Aitor Bouzo,Barakaldo CF,60,1,1,Barakaldo CF vs. CD Numancia 3:4 i.E.,2000-12-13,2000-2001
Urzáiz,Athletic Bilbao,43,0,1,CD Aurrerá de Vitoria vs. Athletic Bilbao 0:2,2000-12-13,2000-2001
Urzáiz,Athletic Bilbao,80,0,2,CD Aurrerá de Vitoria vs. Athletic Bilbao 0:2,2000-12-13,2000-2001
Aragón,Real Zaragoza,53,0,1,SD Eibar vs. Real Zaragoza 0:1,2000-12-13,2000-2001
Pablo Sanz,Rayo Vallecano,10,0,1,UD Orotava vs. Rayo Vallecano 2:4 i.E.,2000-12-13,2000-2001
Víctor Álvarez,UD Orotava,65,1,1,UD Orotava vs. Rayo Vallecano 2:4 i.E.,2000-12-13,2000-2001
Alberto,Real Valladolid,28,0,1,CD Ourense vs. Real Valladolid 0:2,2000-12-13,2000-2001
Luis Márquez,Real Valladolid,89,0,2,CD Ourense vs. Real Valladolid 0:2,2000-12-13,2000-2001
Diego Tristán,Deportivo La Coruña,77,0,1,Universidad Las Palmas vs. Deportivo La Coruña 0:1,2000-12-13,2000-2001
Macanás,CD Leganés,66,0,1,Racing Ferrol vs. CD Leganés 0:1,2000-12-13,2000-2001
Jubera,SD Compostela,35,1,0,SD Compostela vs. Getafe CF 3:0,2000-12-13,2000-2001
Romano Sion,SD Compostela,70,2,0,SD Compostela vs. Getafe CF 3:0,2000-12-13,2000-2001
