scoring_player,scoring_team,time,GH,GA,game,date,season
Hristo Stoichkov,FC Barcelona,42,0,1,Espanyol Barcelona vs. FC Barcelona 0:1,1990-09-01,1990-1991
Quique Estebaranz,CD Tenerife,9,1,0,CD Tenerife vs. Athletic Bilbao 1:0,1990-09-02,1990-1991
Eloy,Valencia CF,50,1,0,Valencia CF vs. Atlético Madrid 1:1,1990-09-02,1990-1991
Gerhard Rodax,Atlético Madrid,76,1,1,Valencia CF vs. Atlético Madrid 1:1,1990-09-02,1990-1991
John Aldridge,Real Sociedad,81,1,0,Real Sociedad vs. Real Zaragoza 1:0,1990-09-02,1990-1991
Juan Carlos,Sporting Gijón,14,0,1,Real Betis vs. Sporting Gijón 2:2,1990-09-02,1990-1991
Chano,Real Betis,41,1,1,Real Betis vs. Sporting Gijón 2:2,1990-09-02,1990-1991
Pepe Mel,Real Betis,61,2,1,Real Betis vs. Sporting Gijón 2:2,1990-09-02,1990-1991
Arturo,Sporting Gijón,76,2,2,Real Betis vs. Sporting Gijón 2:2,1990-09-02,1990-1991
Jan Urban,CA Osasuna,21,0,1,Real Valladolid vs. CA Osasuna 1:1,1990-09-02,1990-1991
Damián,Real Valladolid,75,1,1,Real Valladolid vs. CA Osasuna 1:1,1990-09-02,1990-1991
Sanchís,Real Madrid,45,1,0,Real Madrid vs. CD Castellón 1:0,1990-09-02,1990-1991
Manu Sarabia,CD Logroñés,14,1,0,CD Logroñés vs. RCD Mallorca 1:2,1990-09-02,1990-1991
Claudio,RCD Mallorca,46,1,1,CD Logroñés vs. RCD Mallorca 1:2,1990-09-02,1990-1991
Guillermo,RCD Mallorca,82,1,2,CD Logroñés vs. RCD Mallorca 1:2,1990-09-02,1990-1991
Ivica Barbarić,Real Burgos,55,1,0,Real Burgos vs. Cádiz CF 1:0,1990-09-02,1990-1991
Iván Zamorano,Sevilla FC,30,1,0,Sevilla FC vs. Real Madrid 2:0,1990-09-08,1990-1991
Carvajal,Sevilla FC,73,2,0,Sevilla FC vs. Real Madrid 2:0,1990-09-08,1990-1991
Escaich,Espanyol Barcelona,7,0,1,CD Castellón vs. Espanyol Barcelona 1:1,1990-09-09,1990-1991
Alcañiz,CD Castellón,50,1,1,CD Castellón vs. Espanyol Barcelona 1:1,1990-09-09,1990-1991
Toño,CD Tenerife,10,0,1,CA Osasuna vs. CD Tenerife 3:1,1990-09-09,1990-1991
Ziganda,CA Osasuna,48,1,1,CA Osasuna vs. CD Tenerife 3:1,1990-09-09,1990-1991
Jan Urban,CA Osasuna,51,2,1,CA Osasuna vs. CD Tenerife 3:1,1990-09-09,1990-1991
Jan Urban,CA Osasuna,74,3,1,CA Osasuna vs. CD Tenerife 3:1,1990-09-09,1990-1991
Manu Sarabia,CD Logroñés,60,0,1,Real Zaragoza vs. CD Logroñés 0:1,1990-09-09,1990-1991
Predrag Jurić,Real Burgos,21,0,1,Athletic Bilbao vs. Real Burgos 2:1,1990-09-09,1990-1991
Garitano,Athletic Bilbao,48,1,1,Athletic Bilbao vs. Real Burgos 2:1,1990-09-09,1990-1991
Ernesto Valverde,Athletic Bilbao,78,2,1,Athletic Bilbao vs. Real Burgos 2:1,1990-09-09,1990-1991
Narciso,Sporting Gijón,32,1,0,Sporting Gijón vs. Real Valladolid 4:0,1990-09-09,1990-1991
Georgi Iordanov,Sporting Gijón,44,2,0,Sporting Gijón vs. Real Valladolid 4:0,1990-09-09,1990-1991
