scoring_player,scoring_team,time,GH,GA,game,date,season
Daniele Dessena,Parma FC,79,0,1,Rubin Kazan vs. Parma FC 0:1,2006-09-14,2006-2007
Antoine Sibierski,Newcastle United,10,0,1,FC Levadia vs. Newcastle United 0:1,2006-09-14,2006-2007
Josip Šimunić,Odense BK,7,0,1,Hertha BSC vs. Odense BK 2:2,2006-09-14,2006-2007
Christian Giménez,Hertha BSC,38,1,1,Hertha BSC vs. Odense BK 2:2,2006-09-14,2006-2007
Kevin-Prince Boateng,Hertha BSC,50,2,1,Hertha BSC vs. Odense BK 2:2,2006-09-14,2006-2007
Bechara,Odense BK,53,2,2,Hertha BSC vs. Odense BK 2:2,2006-09-14,2006-2007
Wolfgang Mair,Austria Wien,26,0,1,Legia Warszawa vs. Austria Wien 1:1,2006-09-14,2006-2007
Junior,Legia Warszawa,44,1,1,Legia Warszawa vs. Austria Wien 1:1,2006-09-14,2006-2007
Tomáš Frejlach,Slovan Liberec,43,1,0,Slovan Liberec vs. Crvena Zvezda 2:0,2006-09-14,2006-2007
Jan Blažek,Slovan Liberec,90,2,0,Slovan Liberec vs. Crvena Zvezda 2:0,2006-09-14,2006-2007
Luciano De Bruno,Hapoel Tel Aviv,74,0,1,Chernomorets Odessa vs. Hapoel Tel Aviv 0:1,2006-09-14,2006-2007
Diego Quintana,Skoda Xanthi,8,1,0,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Claudiu Niculescu,Dinamo Bucureşti,18,1,1,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Ionel Dănciulescu,Dinamo Bucureşti,25,1,2,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Claudiu Niculescu,Dinamo Bucureşti,35,1,3,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Diego Quintana,Skoda Xanthi,45,2,3,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Vlasis Kazakis,Skoda Xanthi,66,3,3,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Cristian Pulhac,Dinamo Bucureşti,85,3,4,Skoda Xanthi vs. Dinamo Bucureşti 3:4,2006-09-14,2006-2007
Dmitriy Loskov,Lokomotiv Moskva,35,1,0,Lokomotiv Moskva vs. SV Zulte Waregem 2:1,2006-09-14,2006-2007
Branislav Ivanović,Lokomotiv Moskva,73,2,0,Lokomotiv Moskva vs. SV Zulte Waregem 2:1,2006-09-14,2006-2007
Jonas Vandermarliere,SV Zulte Waregem,90,2,1,Lokomotiv Moskva vs. SV Zulte Waregem 2:1,2006-09-14,2006-2007
Klaas-Jan Huntelaar,AFC Ajax,18,0,1,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Marius Johnsen,IK Start,28,1,1,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Markus Rosenberg,AFC Ajax,43,1,2,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Geir Fevang,IK Start,56,2,2,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Wesley Sneijder,AFC Ajax,63,2,3,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Roger,AFC Ajax,67,2,4,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Klaas-Jan Huntelaar,AFC Ajax,87,2,5,IK Start vs. AFC Ajax 2:5,2006-09-14,2006-2007
Kléberson,Beşiktaş,81,1,0,Beşiktaş vs. CSKA Sofia 2:0,2006-09-14,2006-2007
Gökhan Güleç,Beşiktaş,90,2,0,Beşiktaş vs. CSKA Sofia 2:0,2006-09-14,2006-2007
Albert Riera,Espanyol Barcelona,31,0,1,FC Artmedia Bratislava vs. Espanyol Barcelona 2:2,2006-09-14,2006-2007
Juraj Halenár,FC Artmedia Bratislava,36,1,1,FC Artmedia Bratislava vs. Espanyol Barcelona 2:2,2006-09-14,2006-2007
Daniel Tchuř,FC Artmedia Bratislava,41,2,1,FC Artmedia Bratislava vs. Espanyol Barcelona 2:2,2006-09-14,2006-2007
Walter Pandiani,Espanyol Barcelona,53,2,2,FC Artmedia Bratislava vs. Espanyol Barcelona 2:2,2006-09-14,2006-2007
Søren Larsen,FC Schalke 04,86,1,0,FC Schalke 04 vs. AS Nancy Lorraine 1:0,2006-09-14,2006-2007
Viorel Moldovan,Rapid Bucureşti,43,1,0,Rapid Bucureşti vs. CD Nacional 1:0,2006-09-14,2006-2007
Valdo,CA Osasuna,21,0,1,Trabzonspor vs. CA Osasuna 2:2,2006-09-14,2006-2007
Juanlu,CA Osasuna,53,0,2,Trabzonspor vs. CA Osasuna 2:2,2006-09-14,2006-2007
Gökdeniz Karadeniz,Trabzonspor,55,1,2,Trabzonspor vs. CA Osasuna 2:2,2006-09-14,2006-2007
Umut Bulut,Trabzonspor,89,2,2,Trabzonspor vs. CA Osasuna 2:2,2006-09-14,2006-2007
Nebojša Marinković,Partizan,4,1,0,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Bojan Zajić,Partizan,16,2,0,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Nebojša Marinković,Partizan,43,3,0,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Mark-Jan Fledderus,FC Groningen,58,3,1,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Bojan Zajić,Partizan,90,4,1,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Luis Suárez,FC Groningen,90,4,2,Partizan vs. FC Groningen 4:2,2006-09-14,2006-2007
Diego León,Grasshopper Club Zürich,12,0,1,Åtvidabergs FF vs. Grasshopper Club Zürich 0:3,2006-09-14,2006-2007
Eduardo,Grasshopper Club Zürich,28,0,2,Åtvidabergs FF vs. Grasshopper Club Zürich 0:3,2006-09-14,2006-2007
Scott Sutter,Grasshopper Club Zürich,57,0,3,Åtvidabergs FF vs. Grasshopper Club Zürich 0:3,2006-09-14,2006-2007
Paulo Jorge,Sporting Braga,5,1,0,Sporting Braga vs. Chievo Verona 2:0,2006-09-14,2006-2007
Wender,Sporting Braga,90,2,0,Sporting Braga vs. Chievo Verona 2:0,2006-09-14,2006-2007
Danny Koevermans,AZ Alkmaar,6,1,0,AZ Alkmaar vs. Kayserispor 3:2,2006-09-14,2006-2007
Bülent Bölükbasi,Kayserispor,25,1,1,AZ Alkmaar vs. Kayserispor 3:2,2006-09-14,2006-2007
Rogier Molhoek,AZ Alkmaar,32,2,1,AZ Alkmaar vs. Kayserispor 3:2,2006-09-14,2006-2007
Shota Arveladze,AZ Alkmaar,64,3,1,AZ Alkmaar vs. Kayserispor 3:2,2006-09-14,2006-2007
Ragip Başdağ,Kayserispor,67,3,2,AZ Alkmaar vs. Kayserispor 3:2,2006-09-14,2006-2007
Zdravko Kuzmanović,FC Basel 1893,2,1,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Mladen Petrić,FC Basel 1893,6,2,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Daniel Majstorović,FC Basel 1893,34,3,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Mladen Petrić,FC Basel 1893,40,4,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Cristiano,FC Basel 1893,71,5,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Cristiano,FC Basel 1893,73,6,0,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Ivan Pejčić,FK Rabotnički,89,6,1,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Delron Buckley,FK Rabotnički,90,6,2,FC Basel 1893 vs. FK Rabotnički 6:2,2006-09-14,2006-2007
Jermaine Jenas,Tottenham Hotspur,37,0,1,Slavia Praha vs. Tottenham Hotspur 0:1,2006-09-14,2006-2007
Tzvetan Genkov,Lokomotiv Sofia,5,1,0,Lokomotiv Sofia vs. Feyenoord 2:2,2006-09-14,2006-2007
Serginho Greene,Feyenoord,6,1,1,Lokomotiv Sofia vs. Feyenoord 2:2,2006-09-14,2006-2007
