scoring_player,scoring_team,time,GH,GA,game,date,season
Cyrille Pouget,FC Metz,44,0,1,US Charnay vs. FC Metz 1:3,1996-01-13,1995-1996
Eric Paubel,US Charnay,63,1,1,US Charnay vs. FC Metz 1:3,1996-01-13,1995-1996
Robert Pirés,FC Metz,77,1,2,US Charnay vs. FC Metz 1:3,1996-01-13,1995-1996
Samba N'Diaye,FC Metz,79,1,3,US Charnay vs. FC Metz 1:3,1996-01-13,1995-1996
Antonio Rodriguez fernandes,RC La Flèche,12,1,0,RC La Flèche vs. FC Martigues 1:3,1996-01-13,1995-1996
Franck Soler,FC Martigues,26,1,1,RC La Flèche vs. FC Martigues 1:3,1996-01-13,1995-1996
Franck Soler,FC Martigues,63,1,2,RC La Flèche vs. FC Martigues 1:3,1996-01-13,1995-1996
Dominique André,FC Martigues,82,1,3,RC La Flèche vs. FC Martigues 1:3,1996-01-13,1995-1996
Olivier Saboureau,Thouars Foot 79,42,0,1,Nozay OS vs. Thouars Foot 79 0:2,1996-01-13,1995-1996
Olivier Pejouan,Thouars Foot 79,84,0,2,Nozay OS vs. Thouars Foot 79 0:2,1996-01-13,1995-1996
Richard Witschge,Girondins Bordeaux,29,0,1,FC Pont-de-Roide Vermondans vs. Girondins Bordeaux 1:4,1996-01-13,1995-1996
Didier Clerval,FC Pont-de-Roide Vermondans,32,1,1,FC Pont-de-Roide Vermondans vs. Girondins Bordeaux 1:4,1996-01-13,1995-1996
Régis Castant,Girondins Bordeaux,38,1,2,FC Pont-de-Roide Vermondans vs. Girondins Bordeaux 1:4,1996-01-13,1995-1996
Franck Histilloles,Girondins Bordeaux,40,1,3,FC Pont-de-Roide Vermondans vs. Girondins Bordeaux 1:4,1996-01-13,1995-1996
Didier Tholot,Girondins Bordeaux,55,1,4,FC Pont-de-Roide Vermondans vs. Girondins Bordeaux 1:4,1996-01-13,1995-1996
Bernard Bouchon,CS Blénod et Pont-á-Mousson,60,1,0,CS Blénod et Pont-á-Mousson vs. SC Bastia 1:0,1996-01-13,1995-1996
Christophe Cocard,AJ Auxerre,32,0,1,Olympique Lyonnais vs. AJ Auxerre 0:1,1996-01-13,1995-1996
Sébastien Le Paih,FC Nantes,28,0,1,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Roman Kosecki,FC Nantes,30,0,2,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Roman Kosecki,FC Nantes,36,0,3,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Jocelyn Gourvennec,FC Nantes,42,0,4,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Laurent Peyrelade,FC Nantes,54,0,5,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Jocelyn Gourvennec,FC Nantes,78,0,6,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Thierry Dobrzynski,Olympique Saint-Quentin,85,1,6,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Franck Renou,FC Nantes,90,1,7,Olympique Saint-Quentin vs. FC Nantes 1:7,1996-01-13,1995-1996
Didier Thimothée,AS Saint-Étienne,18,1,0,AS Saint-Étienne vs. US Saintes 5:0,1996-01-13,1995-1996
Lubomir Moravčík,AS Saint-Étienne,56,2,0,AS Saint-Étienne vs. US Saintes 5:0,1996-01-13,1995-1996
Liazid Sandjak,AS Saint-Étienne,62,3,0,AS Saint-Étienne vs. US Saintes 5:0,1996-01-13,1995-1996
Didier Thimothée,AS Saint-Étienne,68,4,0,AS Saint-Étienne vs. US Saintes 5:0,1996-01-13,1995-1996
Pierre Bastou,AS Saint-Étienne,78,5,0,AS Saint-Étienne vs. US Saintes 5:0,1996-01-13,1995-1996
Arthur Moses,Sporting Club de Toulon 83,55,1,0,Sporting Club de Toulon 83 vs. Pau FC 2:1,1996-01-13,1995-1996
Slavko Radovanović,Pau FC,65,1,1,Sporting Club de Toulon 83 vs. Pau FC 2:1,1996-01-13,1995-1996
Laurent Bonadéi,Sporting Club de Toulon 83,77,2,1,Sporting Club de Toulon 83 vs. Pau FC 2:1,1996-01-13,1995-1996
