scoring_player,scoring_team,time,GH,GA,game,date,season
Carmelo Micciche,AS Cannes,30,1,0,AS Cannes vs. Montpellier HSC 2:1,1990-07-21,1990-1991
Laurent Blanc,Montpellier HSC,60,1,1,AS Cannes vs. Montpellier HSC 2:1,1990-07-21,1990-1991
Patrice Ferri,AS Cannes,89,2,1,AS Cannes vs. Montpellier HSC 2:1,1990-07-21,1990-1991
Eric Martin,AS Nancy Lorraine,53,0,1,Paris Saint-Germain vs. AS Nancy Lorraine 2:1,1990-07-21,1990-1991
Safet Sušić,Paris Saint-Germain,79,1,1,Paris Saint-Germain vs. AS Nancy Lorraine 2:1,1990-07-21,1990-1991
Zlatko Vujović,Paris Saint-Germain,90,2,1,Paris Saint-Germain vs. AS Nancy Lorraine 2:1,1990-07-21,1990-1991
Jean-Pierre Papin,Olympique Marseille,72,1,0,Olympique Marseille vs. OGC Nice 1:0,1990-07-21,1990-1991
Philippe Perilleux,Lille OSC,5,0,1,FC Metz vs. Lille OSC 2:2,1990-07-21,1990-1991
Henrik Nielsen,Lille OSC,50,0,2,FC Metz vs. Lille OSC 2:2,1990-07-21,1990-1991
Philippe Hinschberger,FC Metz,79,1,2,FC Metz vs. Lille OSC 2:2,1990-07-21,1990-1991
Aljoša Asanović,FC Metz,81,2,2,FC Metz vs. Lille OSC 2:2,1990-07-21,1990-1991
Mickaël Madar,FC Sochaux,77,1,0,FC Sochaux vs. Brest Armorique FC 1:1,1990-07-21,1990-1991
Bernard Ferrer,Brest Armorique FC,88,1,1,FC Sochaux vs. Brest Armorique FC 1:1,1990-07-21,1990-1991
Roger Mendy,AS Monaco,9,1,0,AS Monaco vs. SC Toulon 2:1,1990-07-21,1990-1991
George Weah,AS Monaco,53,2,0,AS Monaco vs. SC Toulon 2:1,1990-07-21,1990-1991
Philippe Anziani,SC Toulon,62,2,1,AS Monaco vs. SC Toulon 2:1,1990-07-21,1990-1991
Albert Cartier,Olympique Marseille,6,0,1,FC Metz vs. Olympique Marseille 0:2,1990-07-27,1990-1991
Jean-Pierre Papin,Olympique Marseille,65,0,2,FC Metz vs. Olympique Marseille 0:2,1990-07-27,1990-1991
Emmanuel Petit,AS Monaco,73,0,1,AJ Auxerre vs. AS Monaco 0:1,1990-07-28,1990-1991
