scoring_player,scoring_team,time,GH,GA,game,date,season
Predrag Đorđević,Olympiakos Piraeus,38,1,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Christos Patsatzoglou,Olympiakos Piraeus,45,2,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Pär Zetterberg,Olympiakos Piraeus,48,3,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Giovanni,Olympiakos Piraeus,58,4,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Ilias Triantafyllou,Olympiakos Piraeus,67,5,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Andreas Niniadis,Olympiakos Piraeus,84,6,0,Olympiakos Piraeus vs. Ethnikos Asteras 6:0,2000-09-16,2000-2001
Nikos Liberopoulos,Panathinaikos,31,1,0,Panathinaikos vs. PAS Giannina 2:1,2000-09-16,2000-2001
Arian Xhumba,Panathinaikos,66,2,0,Panathinaikos vs. PAS Giannina 2:1,2000-09-16,2000-2001
Marcelo Lipatín,PAS Giannina,72,2,1,Panathinaikos vs. PAS Giannina 2:1,2000-09-16,2000-2001
Anastassios Ferekidis,Paniliakos Pyrgos,29,1,0,Paniliakos Pyrgos vs. Panionios GSS 1:1,2000-09-17,2000-2001
Saša Jovanović,Panionios GSS,45,1,1,Paniliakos Pyrgos vs. Panionios GSS 1:1,2000-09-17,2000-2001
Darío Muchotrigo,Ionikos Nikea,45,1,0,Ionikos Nikea vs. Athinaikos 1:0,2000-09-17,2000-2001
Kostas Katsouranis,Panachaiki GE,23,1,0,Panachaiki GE vs. Skoda Xanthi 1:1,2000-09-17,2000-2001
Paris Zouboulis,Skoda Xanthi,56,1,1,Panachaiki GE vs. Skoda Xanthi 1:1,2000-09-17,2000-2001
Demis Nikolaidis,AEK Athen,43,1,0,AEK Athen vs. Iraklis Saloniki 2:0,2000-09-18,2000-2001
Demis Nikolaidis,AEK Athen,80,2,0,AEK Athen vs. Iraklis Saloniki 2:0,2000-09-18,2000-2001
Mauro Silva,OFI Heraklion,5,1,0,OFI Heraklion vs. Aris Saloniki 2:3,2000-09-18,2000-2001
Rónald Gómez,OFI Heraklion,15,2,0,OFI Heraklion vs. Aris Saloniki 2:3,2000-09-18,2000-2001
Marios Christodoulou,Aris Saloniki,39,2,1,OFI Heraklion vs. Aris Saloniki 2:3,2000-09-18,2000-2001
Marios Christodoulou,Aris Saloniki,63,2,2,OFI Heraklion vs. Aris Saloniki 2:3,2000-09-18,2000-2001
Nikolaos Kyzeridis,Aris Saloniki,77,2,3,OFI Heraklion vs. Aris Saloniki 2:3,2000-09-18,2000-2001
Angelos Basinas,Panathinaikos,28,0,1,Panionios GSS vs. Panathinaikos 0:2,2000-09-23,2000-2001
Nikos Liberopoulos,Panathinaikos,51,0,2,Panionios GSS vs. Panathinaikos 0:2,2000-09-23,2000-2001
Thomas Kyparissis,Aris Saloniki,14,1,0,Aris Saloniki vs. Paniliakos Pyrgos 1:0,2000-09-24,2000-2001
Emmanuel Ruiz,AEK Athen,21,0,1,Athinaikos vs. AEK Athen 0:3,2000-09-24,2000-2001
Emmanuel Ruiz,AEK Athen,36,0,2,Athinaikos vs. AEK Athen 0:3,2000-09-24,2000-2001
Milen Petkov,AEK Athen,80,0,3,Athinaikos vs. AEK Athen 0:3,2000-09-24,2000-2001
Darko Tešović,Ethnikos Asteras,40,1,0,Ethnikos Asteras vs. Ionikos Nikea 1:0,2000-09-24,2000-2001
Konstantinos Tsalikis,PAS Giannina,5,1,0,PAS Giannina vs. PAOK Saloniki 1:3,2000-09-24,2000-2001
Kofi Amponsah,PAOK Saloniki,24,1,1,PAS Giannina vs. PAOK Saloniki 1:3,2000-09-24,2000-2001
Yiannis Okkas,PAOK Saloniki,38,1,2,PAS Giannina vs. PAOK Saloniki 1:3,2000-09-24,2000-2001
Omari Tetradze,PAOK Saloniki,86,1,3,PAS Giannina vs. PAOK Saloniki 1:3,2000-09-24,2000-2001
James Debbah,Iraklis Saloniki,61,1,0,Iraklis Saloniki vs. Panachaiki GE 2:0,2000-09-24,2000-2001
Ebenezer Hagan,Iraklis Saloniki,62,2,0,Iraklis Saloniki vs. Panachaiki GE 2:0,2000-09-24,2000-2001
Predrag Đorđević,Olympiakos Piraeus,45,0,1,OFI Heraklion vs. Olympiakos Piraeus 1:2,2000-09-24,2000-2001
Alonso Solís,OFI Heraklion,66,1,1,OFI Heraklion vs. Olympiakos Piraeus 1:2,2000-09-24,2000-2001
Stylianos Giannakopoulos,Olympiakos Piraeus,90,1,2,OFI Heraklion vs. Olympiakos Piraeus 1:2,2000-09-24,2000-2001
Savvas Poursaitidis,Skoda Xanthi,19,1,0,Skoda Xanthi vs. PS Kalamata 2:1,2000-09-25,2000-2001
Vladimír Janočko,Skoda Xanthi,26,2,0,Skoda Xanthi vs. PS Kalamata 2:1,2000-09-25,2000-2001
Hilton Gerônimo,PS Kalamata,59,2,1,Skoda Xanthi vs. PS Kalamata 2:1,2000-09-25,2000-2001
Vladimír Janočko,Skoda Xanthi,16,0,1,PAS Giannina vs. Skoda Xanthi 1:1,2000-09-30,2000-2001
Elder,PAS Giannina,52,1,1,PAS Giannina vs. Skoda Xanthi 1:1,2000-09-30,2000-2001
Mihalis Kapsis,AEK Athen,37,1,0,AEK Athen vs. Ethnikos Asteras 2:2,2000-10-01,2000-2001
Demis Nikolaidis,AEK Athen,44,2,0,AEK Athen vs. Ethnikos Asteras 2:2,2000-10-01,2000-2001
Alexandros Alexoudis,Ethnikos Asteras,54,2,1,AEK Athen vs. Ethnikos Asteras 2:2,2000-10-01,2000-2001
Giannis Thomaidis,Ethnikos Asteras,87,2,2,AEK Athen vs. Ethnikos Asteras 2:2,2000-10-01,2000-2001
Mohamad Nasser Al Afash,Ionikos Nikea,34,0,1,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Lampros Choutos,Olympiakos Piraeus,61,1,1,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Alexios Alexandris,Olympiakos Piraeus,69,2,1,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Giannis Xanthopoulos,Ionikos Nikea,72,2,2,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Lampros Choutos,Olympiakos Piraeus,80,3,2,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Giannis Xanthopoulos,Ionikos Nikea,90,3,3,Olympiakos Piraeus vs. Ionikos Nikea 3:3,2000-10-01,2000-2001
Ilias Solakis,Panachaiki GE,24,1,0,Panachaiki GE vs. Athinaikos 3:1,2000-10-01,2000-2001
Ilias Solakis,Panachaiki GE,34,2,0,Panachaiki GE vs. Athinaikos 3:1,2000-10-01,2000-2001
Georgos Papandreou,Athinaikos,76,2,1,Panachaiki GE vs. Athinaikos 3:1,2000-10-01,2000-2001
Ilias Solakis,Panachaiki GE,80,3,1,Panachaiki GE vs. Athinaikos 3:1,2000-10-01,2000-2001
Ismaël Ba,Aris Saloniki,19,0,1,Panathinaikos vs. Aris Saloniki 2:2,2000-10-01,2000-2001
Giorgios Karagounis,Panathinaikos,52,1,1,Panathinaikos vs. Aris Saloniki 2:2,2000-10-01,2000-2001
Marios Agathocleous,Aris Saloniki,73,1,2,Panathinaikos vs. Aris Saloniki 2:2,2000-10-01,2000-2001
Goran Vlaović,Panathinaikos,82,2,2,Panathinaikos vs. Aris Saloniki 2:2,2000-10-01,2000-2001
Omari Tetradze,PAOK Saloniki,19,1,0,PAOK Saloniki vs. Panionios GSS 1:1,2000-10-02,2000-2001
Stelios Chasiotis,Panionios GSS,67,1,1,PAOK Saloniki vs. Panionios GSS 1:1,2000-10-02,2000-2001
Andreas Niniadis,Olympiakos Piraeus,42,0,1,Paniliakos Pyrgos vs. Olympiakos Piraeus 0:4,2000-10-29,2000-2001
Gabriel Álvez,Olympiakos Piraeus,68,0,2,Paniliakos Pyrgos vs. Olympiakos Piraeus 0:4,2000-10-29,2000-2001
Georgios Koltzos,Olympiakos Piraeus,76,0,3,Paniliakos Pyrgos vs. Olympiakos Piraeus 0:4,2000-10-29,2000-2001
Andreas Niniadis,Olympiakos Piraeus,90,0,4,Paniliakos Pyrgos vs. Olympiakos Piraeus 0:4,2000-10-29,2000-2001
Thomas Troupkos,PS Kalamata,17,0,1,Athinaikos vs. PS Kalamata 3:2,2000-10-29,2000-2001
Tasos Tasiopoulos,Athinaikos,60,1,1,Athinaikos vs. PS Kalamata 3:2,2000-10-29,2000-2001
Dimitris Zavadias,Athinaikos,79,2,1,Athinaikos vs. PS Kalamata 3:2,2000-10-29,2000-2001
Georgos Papandreou,Athinaikos,86,3,1,Athinaikos vs. PS Kalamata 3:2,2000-10-29,2000-2001
Thomas Troupkos,PS Kalamata,90,3,2,Athinaikos vs. PS Kalamata 3:2,2000-10-29,2000-2001
Vassilios Tsiartas,AEK Athen,82,0,1,Ionikos Nikea vs. AEK Athen 0:2,2000-10-29,2000-2001
Vassilios Tsiartas,AEK Athen,90,0,2,Ionikos Nikea vs. AEK Athen 0:2,2000-10-29,2000-2001
Konstantinos Kormaris,PAS Giannina,23,0,1,Iraklis Saloniki vs. PAS Giannina 2:1,2000-10-29,2000-2001
James Debbah,Iraklis Saloniki,74,1,1,Iraklis Saloniki vs. PAS Giannina 2:1,2000-10-29,2000-2001
James Debbah,Iraklis Saloniki,90,2,1,Iraklis Saloniki vs. PAS Giannina 2:1,2000-10-29,2000-2001
Darko Tešović,Ethnikos Asteras,2,1,0,Ethnikos Asteras vs. Panachaiki GE 3:1,2000-10-30,2000-2001
Nenad Vukčević,Panachaiki GE,39,1,1,Ethnikos Asteras vs. Panachaiki GE 3:1,2000-10-30,2000-2001
Darko Tešović,Ethnikos Asteras,84,2,1,Ethnikos Asteras vs. Panachaiki GE 3:1,2000-10-30,2000-2001
Georgios Kontopoulos,Ethnikos Asteras,90,3,1,Ethnikos Asteras vs. Panachaiki GE 3:1,2000-10-30,2000-2001
Thomas Kyparissis,Aris Saloniki,39,1,0,Aris Saloniki vs. PAOK Saloniki 4:0,2000-11-01,2000-2001
Georgios Koutsis,Aris Saloniki,45,2,0,Aris Saloniki vs. PAOK Saloniki 4:0,2000-11-01,2000-2001
Georgios Koltsidas,Aris Saloniki,49,3,0,Aris Saloniki vs. PAOK Saloniki 4:0,2000-11-01,2000-2001
Angelos Charisteas,Aris Saloniki,71,4,0,Aris Saloniki vs. PAOK Saloniki 4:0,2000-11-01,2000-2001
Arian Xhumba,PAS Giannina,49,1,0,PAS Giannina vs. Athinaikos 3:1,2000-11-05,2000-2001
Fangio Buyse,Athinaikos,61,1,1,PAS Giannina vs. Athinaikos 3:1,2000-11-05,2000-2001
Lazaros Semos,PAS Giannina,74,2,1,PAS Giannina vs. Athinaikos 3:1,2000-11-05,2000-2001
Elder,PAS Giannina,90,3,1,PAS Giannina vs. Athinaikos 3:1,2000-11-05,2000-2001
Darko Tešović,Ethnikos Asteras,37,0,1,PS Kalamata vs. Ethnikos Asteras 2:2,2000-11-05,2000-2001
