scoring_player,scoring_team,time,GH,GA,game,date,season
John Neijenhuis,FC Twente,18,0,1,Roda JC Kerkrade vs. FC Twente 1:2,1990-08-24,1990-1991
Youri Mulder,FC Twente,21,0,2,Roda JC Kerkrade vs. FC Twente 1:2,1990-08-24,1990-1991
René Hofman,Roda JC Kerkrade,35,1,2,Roda JC Kerkrade vs. FC Twente 1:2,1990-08-24,1990-1991
Carlos van Wanrooij,NEC Nijmegen,9,0,1,MVV vs. NEC Nijmegen 1:2,1990-08-25,1990-1991
Sánchez Torres,NEC Nijmegen,29,0,2,MVV vs. NEC Nijmegen 1:2,1990-08-25,1990-1991
Rob Delahaye,MVV,82,1,2,MVV vs. NEC Nijmegen 1:2,1990-08-25,1990-1991
Johan Steur,FC Volendam,17,0,1,sc Heerenveen vs. FC Volendam 1:3,1990-08-25,1990-1991
Maarten de Jong,sc Heerenveen,45,1,1,sc Heerenveen vs. FC Volendam 1:3,1990-08-25,1990-1991
Hans Bakker,FC Volendam,85,1,2,sc Heerenveen vs. FC Volendam 1:3,1990-08-25,1990-1991
Frank Berghuis,FC Volendam,90,1,3,sc Heerenveen vs. FC Volendam 1:3,1990-08-25,1990-1991
Stefan Pettersson,AFC Ajax,6,1,0,AFC Ajax vs. Willem II 3:1,1990-08-26,1990-1991
Danny Blind,AFC Ajax,15,2,0,AFC Ajax vs. Willem II 3:1,1990-08-26,1990-1991
Martin van Geel,Willem II,53,2,1,AFC Ajax vs. Willem II 3:1,1990-08-26,1990-1991
Bryan Roy,AFC Ajax,54,3,1,AFC Ajax vs. Willem II 3:1,1990-08-26,1990-1991
Edwin de Wijs,RKC Waalwijk,49,1,0,RKC Waalwijk vs. FC Groningen 1:1,1990-08-26,1990-1991
Henny Meijer,FC Groningen,88,1,1,RKC Waalwijk vs. FC Groningen 1:1,1990-08-26,1990-1991
Peter Houtman,Sparta Rotterdam,66,1,0,Sparta Rotterdam vs. Vitesse 1:1,1990-08-26,1990-1991
Huub Loeffen,Vitesse,70,1,1,Sparta Rotterdam vs. Vitesse 1:1,1990-08-26,1990-1991
Gerald Vanenburg,PSV Eindhoven,14,1,0,PSV Eindhoven vs. FC Utrecht 5:0,1990-08-28,1990-1991
Juul Ellerman,PSV Eindhoven,17,2,0,PSV Eindhoven vs. FC Utrecht 5:0,1990-08-28,1990-1991
Romário,PSV Eindhoven,68,3,0,PSV Eindhoven vs. FC Utrecht 5:0,1990-08-28,1990-1991
Gerald Vanenburg,PSV Eindhoven,76,4,0,PSV Eindhoven vs. FC Utrecht 5:0,1990-08-28,1990-1991
Romário,PSV Eindhoven,83,5,0,PSV Eindhoven vs. FC Utrecht 5:0,1990-08-28,1990-1991
Marcel Valk,FC Den Haag,23,0,1,FC Twente vs. FC Den Haag 2:1,1990-08-29,1990-1991
Youri Mulder,FC Twente,56,1,1,FC Twente vs. FC Den Haag 2:1,1990-08-29,1990-1991
Berthil ter Avest,FC Twente,58,2,1,FC Twente vs. FC Den Haag 2:1,1990-08-29,1990-1991
Marcel van Helmond,Fortuna Sittard,47,1,0,Fortuna Sittard vs. AFC Ajax 1:1,1990-08-31,1990-1991
Aron Winter,AFC Ajax,81,1,1,Fortuna Sittard vs. AFC Ajax 1:1,1990-08-31,1990-1991
