scoring_player,scoring_team,time,GH,GA,game,date,season
Bent Skammelsrud,Rosenborg BK,58,0,1,Stabæk IF vs. Rosenborg BK 0:2,2000-04-08,NA
Erik Hoftun,Rosenborg BK,61,0,2,Stabæk IF vs. Rosenborg BK 0:2,2000-04-08,NA
Raymond Kvisvik,SK Brann,8,1,0,SK Brann vs. Viking FK 4:1,2000-04-09,NA
Hannu Tihinen,Viking FK,32,1,1,SK Brann vs. Viking FK 4:1,2000-04-09,NA
Mons Ivar Mjelde,SK Brann,47,2,1,SK Brann vs. Viking FK 4:1,2000-04-09,NA
Mons Ivar Mjelde,SK Brann,57,3,1,SK Brann vs. Viking FK 4:1,2000-04-09,NA
Thorstein Helstad,SK Brann,78,4,1,SK Brann vs. Viking FK 4:1,2000-04-09,NA
Bent Apneseth,Bryne FK,5,1,0,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Jørgen Rangnes,Bryne FK,51,2,0,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Stian Ohr,IK Start,62,2,1,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Jørgen Rangnes,Bryne FK,63,3,1,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Raymond Hofstædter,IK Start,70,3,2,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Rune Medalen,Bryne FK,90,4,2,Bryne FK vs. IK Start 4:2,2000-04-09,NA
Tommy Bergersen,FK Bodø/Glimt,3,0,1,FK Haugesund vs. FK Bodø/Glimt 2:2,2000-04-09,NA
Bala Garba,FK Haugesund,22,1,1,FK Haugesund vs. FK Bodø/Glimt 2:2,2000-04-09,NA
Hans Berggren,FK Haugesund,80,2,1,FK Haugesund vs. FK Bodø/Glimt 2:2,2000-04-09,NA
Bengt Sæternes,FK Bodø/Glimt,88,2,2,FK Haugesund vs. FK Bodø/Glimt 2:2,2000-04-09,NA
Torgeir Bjarmann,Lillestrøm SK,19,1,0,Lillestrøm SK vs. Molde FK 1:1,2000-04-09,NA
Odd Inge Olsen,Molde FK,36,1,1,Lillestrøm SK vs. Molde FK 1:1,2000-04-09,NA
Dag Riisnæs,Vålerenga IF,23,1,0,Vålerenga IF vs. Tromsø IL 4:1,2000-04-09,NA
Espen Musæus,Vålerenga IF,48,2,0,Vålerenga IF vs. Tromsø IL 4:1,2000-04-09,NA
