scoring_player,scoring_team,time,GH,GA,game,date,season
Dariusz Podolski,Widzew Łódź,40,0,1,Warta Poznań vs. Widzew Łódź 0:4,1994-07-30,1994-1995
Wojciech Małocha,Widzew Łódź,52,0,2,Warta Poznań vs. Widzew Łódź 0:4,1994-07-30,1994-1995
Dariusz Podolski,Widzew Łódź,73,0,3,Warta Poznań vs. Widzew Łódź 0:4,1994-07-30,1994-1995
Bogdan Jóźwiak,Widzew Łódź,88,0,4,Warta Poznań vs. Widzew Łódź 0:4,1994-07-30,1994-1995
Andrzej Jasinski,Stomil Olsztyn,41,1,0,Stomil Olsztyn vs. Zagłębie Lubin 2:2,1994-07-30,1994-1995
Zbigniew Czajkowski,Zagłębie Lubin,44,1,1,Stomil Olsztyn vs. Zagłębie Lubin 2:2,1994-07-30,1994-1995
Andrzej Jasinski,Stomil Olsztyn,50,2,1,Stomil Olsztyn vs. Zagłębie Lubin 2:2,1994-07-30,1994-1995
Piotr Przerywacz,Zagłębie Lubin,55,2,2,Stomil Olsztyn vs. Zagłębie Lubin 2:2,1994-07-30,1994-1995
Marek Pawlak,Raków Częstochowa,25,0,1,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Andrzej Borówko,Olimpia Poznań,33,1,1,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Sławomir Palacz,Raków Częstochowa,38,1,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Grzegorz Mielcarski,Olimpia Poznań,44,2,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Andrzej Borówko,Olimpia Poznań,59,3,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Grzegorz Mielcarski,Olimpia Poznań,69,4,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Arkadiusz Bąk,Olimpia Poznań,75,5,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Andrzej Jaskot,Olimpia Poznań,89,6,2,Olimpia Poznań vs. Raków Częstochowa 6:2,1994-07-30,1994-1995
Krzysztof Walczak,GKS Katowice,82,1,0,GKS Katowice vs. Ruch Chorzów 1:0,1994-07-30,1994-1995
Zenon Burzawa,TS Tygodnik Miliarder Pniewy,45,1,0,TS Tygodnik Miliarder Pniewy vs. Petrochemia Plock 1:0,1994-07-30,1994-1995
