GH,GA,scorer,time,scoring,game,season
0,1,Valadas,44,União da Madeira,Vitória Setúbal vs. União da Madeira 0:1,1990-1991
1,0,Alain Thiriart,44,FC Tirsense,FC Tirsense vs. SC Salgueiros 2:1,1990-1991
2,0,Louro,60,FC Tirsense,FC Tirsense vs. SC Salgueiros 2:1,1990-1991
2,1,Tozé,64,SC Salgueiros,FC Tirsense vs. SC Salgueiros 2:1,1990-1991
1,0,Emil Kostadinov,2,FC Porto,FC Porto vs. FC Penafiel 2:0,1990-1991
2,0,Stéphane Paille,83,FC Porto,FC Porto vs. FC Penafiel 2:0,1990-1991
1,0,Marquinhos,1,CS Marítimo,CS Marítimo vs. SC Beira-Mar 2:2,1990-1991
1,1,Jorge Silvério,30,SC Beira-Mar,CS Marítimo vs. SC Beira-Mar 2:2,1990-1991
1,2,Jorge Silvério,62,SC Beira-Mar,CS Marítimo vs. SC Beira-Mar 2:2,1990-1991
2,2,Esquerdinha,68,CS Marítimo,CS Marítimo vs. SC Beira-Mar 2:2,1990-1991
0,1,Luizão,36,CD Nacional,SC Farense vs. CD Nacional 2:1,1990-1991
1,1,Luizão,65,SC Farense,SC Farense vs. CD Nacional 2:1,1990-1991
2,1,Ademar,83,SC Farense,SC Farense vs. CD Nacional 2:1,1990-1991
0,1,Miranda,15,Estrela Amadora,FC Famalicão vs. Estrela Amadora 1:1,1990-1991
1,1,Tanta,40,FC Famalicão,FC Famalicão vs. Estrela Amadora 1:1,1990-1991
0,1,Jorge Andrade,90,Boavista,GD Chaves vs. Boavista 0:1,1990-1991
1,0,Santos,53,Sporting Braga,Sporting Braga vs. Os Belenenses 2:0,1990-1991
2,0,Pingo,81,Sporting Braga,Sporting Braga vs. Os Belenenses 2:0,1990-1991
1,0,Vítor Paneira,18,SL Benfica,SL Benfica vs. Gil Vicente 3:0,1990-1991
2,0,Ricardo Gomes,48,SL Benfica,SL Benfica vs. Gil Vicente 3:0,1990-1991
3,0,Rui Águas,62,SL Benfica,SL Benfica vs. Gil Vicente 3:0,1990-1991
1,0,Careca,65,Sporting CP,Sporting CP vs. Vitória Guimarães 3:0,1990-1991
2,0,Venâncio,76,Sporting CP,Sporting CP vs. Vitória Guimarães 3:0,1990-1991
3,0,Fernando Gomes,86,Sporting CP,Sporting CP vs. Vitória Guimarães 3:0,1990-1991
0,1,Stefan Schwarz,4,SL Benfica,Vitória Guimarães vs. SL Benfica 0:2,1990-1991
0,2,Jonas Thern,43,SL Benfica,Vitória Guimarães vs. SL Benfica 0:2,1990-1991
1,0,Jairo,3,União da Madeira,União da Madeira vs. FC Famalicão 2:1,1990-1991
1,1,Tanta,25,FC Famalicão,União da Madeira vs. FC Famalicão 2:1,1990-1991
2,1,Matias,45,União da Madeira,União da Madeira vs. FC Famalicão 2:1,1990-1991
0,1,Steven Milovac,42,FC Porto,SC Salgueiros vs. FC Porto 1:3,1990-1991
1,1,Tozé,51,SC Salgueiros,SC Salgueiros vs. FC Porto 1:3,1990-1991
1,2,Emil Kostadinov,85,FC Porto,SC Salgueiros vs. FC Porto 1:3,1990-1991
1,3,Geraldão,90,FC Porto,SC Salgueiros vs. FC Porto 1:3,1990-1991
1,0,Jorge Costa,31,FC Penafiel,FC Penafiel vs. Sporting CP 2:5,1990-1991
1,1,Fernando Gomes,36,Sporting CP,FC Penafiel vs. Sporting CP 2:5,1990-1991
1,2,Venâncio,47,Sporting CP,FC Penafiel vs. Sporting CP 2:5,1990-1991
1,3,Litos,60,Sporting CP,FC Penafiel vs. Sporting CP 2:5,1990-1991
1,4,Oceano,68,Sporting CP,FC Penafiel vs. Sporting CP 2:5,1990-1991
2,4,Ricardo Lopes,80,FC Penafiel,FC Penafiel vs. Sporting CP 2:5,1990-1991
2,5,Fernando Gomes,89,Sporting CP,FC Penafiel vs. Sporting CP 2:5,1990-1991
1,0,Heitor,42,CD Nacional,CD Nacional vs. Vitória Setúbal 1:1,1990-1991
1,1,Stoicho Mladenov,44,Vitória Setúbal,CD Nacional vs. Vitória Setúbal 1:1,1990-1991
1,0,Valdir,20,Gil Vicente,Gil Vicente vs. CS Marítimo 2:0,1990-1991
2,0,Zé Carlos,47,Gil Vicente,Gil Vicente vs. CS Marítimo 2:0,1990-1991
1,0,Ricky Owubokiri,15,Estrela Amadora,Estrela Amadora vs. Sporting Braga 2:0,1990-1991
