scoring_player,scoring_team,time,GH,GA,game,date,season
Trevor Steven,Rangers FC,24,1,0,Rangers FC vs. Raith Rovers 1:0,1996-08-10,1996-1997
Ally Mitchell,Kilmarnock FC,20,0,1,Hibernian FC vs. Kilmarnock FC 1:2,1996-08-10,1996-1997
John Henry,Kilmarnock FC,26,0,2,Hibernian FC vs. Kilmarnock FC 1:2,1996-08-10,1996-1997
Michael Weir,Hibernian FC,28,1,2,Hibernian FC vs. Kilmarnock FC 1:2,1996-08-10,1996-1997
Gary McSwegan,Dundee United,7,1,0,Dundee United vs. Motherwell FC 1:1,1996-08-10,1996-1997
Mitchell van der Gaag,Motherwell FC,78,1,1,Dundee United vs. Motherwell FC 1:1,1996-08-10,1996-1997
Pierre van Hooijdonk,Celtic FC,24,0,1,Aberdeen FC vs. Celtic FC 2:2,1996-08-10,1996-1997
Dean Windass,Aberdeen FC,74,1,1,Aberdeen FC vs. Celtic FC 2:2,1996-08-10,1996-1997
Duncan Shearer,Aberdeen FC,80,2,1,Aberdeen FC vs. Celtic FC 2:2,1996-08-10,1996-1997
Andreas Thom,Celtic FC,90,2,2,Aberdeen FC vs. Celtic FC 2:2,1996-08-10,1996-1997
Dean Windass,Aberdeen FC,24,0,1,Motherwell FC vs. Aberdeen FC 2:2,1996-08-17,1996-1997
Shaun McSkimming,Motherwell FC,40,1,1,Motherwell FC vs. Aberdeen FC 2:2,1996-08-17,1996-1997
Shaun McSkimming,Motherwell FC,51,2,1,Motherwell FC vs. Aberdeen FC 2:2,1996-08-17,1996-1997
Duncan Shearer,Aberdeen FC,72,2,2,Motherwell FC vs. Aberdeen FC 2:2,1996-08-17,1996-1997
Paul Ritchie,Heart of Midlothian,12,1,0,Heart of Midlothian vs. Kilmarnock FC 3:2,1996-08-17,1996-1997
David Weir,Heart of Midlothian,14,2,0,Heart of Midlothian vs. Kilmarnock FC 3:2,1996-08-17,1996-1997
Paul Wright,Kilmarnock FC,43,2,1,Heart of Midlothian vs. Kilmarnock FC 3:2,1996-08-17,1996-1997
Paul Ritchie,Heart of Midlothian,63,3,1,Heart of Midlothian vs. Kilmarnock FC 3:2,1996-08-17,1996-1997
Jim Lauchlan,Kilmarnock FC,88,3,2,Heart of Midlothian vs. Kilmarnock FC 3:2,1996-08-17,1996-1997
Peter van Vossen,Rangers FC,17,0,1,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Ally McCoist,Rangers FC,46,0,2,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Allan Moore,Dunfermline Athletic,79,1,2,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Ally McCoist,Rangers FC,80,1,3,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Ally McCoist,Rangers FC,83,1,4,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Ivo den Bieman,Dunfermline Athletic,85,2,4,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Peter van Vossen,Rangers FC,88,2,5,Dunfermline Athletic vs. Rangers FC 2:5,1996-08-17,1996-1997
Kevin McAllister,Hibernian FC,30,0,1,Dundee United vs. Hibernian FC 0:1,1996-08-17,1996-1997
Pierre van Hooijdonk,Celtic FC,16,1,0,Celtic FC vs. Raith Rovers 4:1,1996-08-17,1996-1997
Andreas Thom,Celtic FC,25,2,0,Celtic FC vs. Raith Rovers 4:1,1996-08-17,1996-1997
Andreas Thom,Celtic FC,50,3,0,Celtic FC vs. Raith Rovers 4:1,1996-08-17,1996-1997
Peter Duffield,Raith Rovers,67,3,1,Celtic FC vs. Raith Rovers 4:1,1996-08-17,1996-1997
Simon Donnelly,Celtic FC,87,4,1,Celtic FC vs. Raith Rovers 4:1,1996-08-17,1996-1997
Paul Gascoigne,Rangers FC,77,1,0,Rangers FC vs. Dundee United 1:0,1996-08-24,1996-1997
