scoring_player,scoring_team,time,GH,GA,game,date,season
René Sutter,FC Aarau,21,1,0,FC Aarau vs. Grasshopper Club Zürich 4:0,1991-07-24,1991-1992
Uwe Wassmer,FC Aarau,57,2,0,FC Aarau vs. Grasshopper Club Zürich 4:0,1991-07-24,1991-1992
Uwe Wassmer,FC Aarau,59,3,0,FC Aarau vs. Grasshopper Club Zürich 4:0,1991-07-24,1991-1992
Petar Aleksandrov,FC Aarau,90,4,0,FC Aarau vs. Grasshopper Club Zürich 4:0,1991-07-24,1991-1992
Adrian Knup,FC Luzern,27,0,1,FC Lugano vs. FC Luzern 3:2,1991-07-24,1991-1992
Mauro Galvão,FC Lugano,52,1,1,FC Lugano vs. FC Luzern 3:2,1991-07-24,1991-1992
Alfredo Graciani,FC Lugano,62,2,1,FC Lugano vs. FC Luzern 3:2,1991-07-24,1991-1992
Adrian Knup,FC Luzern,64,2,2,FC Lugano vs. FC Luzern 3:2,1991-07-24,1991-1992
Dario Zuffi,FC Lugano,90,3,2,FC Lugano vs. FC Luzern 3:2,1991-07-24,1991-1992
David Orlando,FC Sion,56,0,1,Neuchâtel Xamax FC vs. FC Sion 0:2,1991-07-24,1991-1992
Giuseppe Manfreda,FC Sion,64,0,2,Neuchâtel Xamax FC vs. FC Sion 0:2,1991-07-24,1991-1992
Erik-Jan van den Boogaard,Lausanne Sports,59,0,1,FC St. Gallen vs. Lausanne Sports 0:2,1991-07-24,1991-1992
Erik-Jan van den Boogaard,Lausanne Sports,87,0,2,FC St. Gallen vs. Lausanne Sports 0:2,1991-07-24,1991-1992
Miklos Molnar,Servette FC,69,1,0,Servette FC vs. BSC Young Boys 2:0,1991-07-24,1991-1992
Xavier Dietlin,Servette FC,90,2,0,Servette FC vs. BSC Young Boys 2:0,1991-07-24,1991-1992
John Tréllez,FC Zürich,34,1,0,FC Zürich vs. FC Wettingen 1:1,1991-07-24,1991-1992
Markus Nyfeler,FC Wettingen,68,1,1,FC Zürich vs. FC Wettingen 1:1,1991-07-24,1991-1992
Adrián de Vicente,Grasshopper Club Zürich,1,1,0,Grasshopper Club Zürich vs. FC St. Gallen 5:0,1991-07-27,1991-1992
Ramon Vega,Grasshopper Club Zürich,3,2,0,Grasshopper Club Zürich vs. FC St. Gallen 5:0,1991-07-27,1991-1992
Peter Közle,Grasshopper Club Zürich,45,3,0,Grasshopper Club Zürich vs. FC St. Gallen 5:0,1991-07-27,1991-1992
Alain Sutter,Grasshopper Club Zürich,51,4,0,Grasshopper Club Zürich vs. FC St. Gallen 5:0,1991-07-27,1991-1992
Ciriaco Sforza,Grasshopper Club Zürich,88,5,0,Grasshopper Club Zürich vs. FC St. Gallen 5:0,1991-07-27,1991-1992
Didier Gigon,Lausanne Sports,63,1,0,Lausanne Sports vs. Neuchâtel Xamax FC 2:1,1991-07-27,1991-1992
Régis Rothenbühler,Lausanne Sports,86,2,0,Lausanne Sports vs. Neuchâtel Xamax FC 2:1,1991-07-27,1991-1992
Zé Maria,Neuchâtel Xamax FC,88,2,1,Lausanne Sports vs. Neuchâtel Xamax FC 2:1,1991-07-27,1991-1992
René van Eck,FC Luzern,70,1,0,FC Luzern vs. Servette FC 1:0,1991-07-27,1991-1992
Bernd Kilian,FC Aarau,45,0,1,FC Sion vs. FC Aarau 1:1,1991-07-27,1991-1992
Jean-Paul Brigger,FC Sion,85,1,1,FC Sion vs. FC Aarau 1:1,1991-07-27,1991-1992
Markus Nyfeler,FC Wettingen,47,1,0,FC Wettingen vs. FC Lugano 3:0,1991-07-27,1991-1992
Ørjan Berg,FC Wettingen,90,2,0,FC Wettingen vs. FC Lugano 3:0,1991-07-27,1991-1992
Reinhold Mathy,FC Wettingen,90,3,0,FC Wettingen vs. FC Lugano 3:0,1991-07-27,1991-1992
Roberto Fregno,FC Zürich,9,0,1,BSC Young Boys vs. FC Zürich 0:2,1991-07-27,1991-1992
John Tréllez,FC Zürich,78,0,2,BSC Young Boys vs. FC Zürich 0:2,1991-07-27,1991-1992
David Orlando,FC Sion,52,0,1,FC St. Gallen vs. FC Sion 0:2,1991-08-03,1991-1992
Reto Gertschen,FC Sion,90,0,2,FC St. Gallen vs. FC Sion 0:2,1991-08-03,1991-1992
Jürg Studer,Lausanne Sports,29,0,1,FC Aarau vs. Lausanne Sports 0:3,1991-08-03,1991-1992
Dominique Cina,Lausanne Sports,62,0,2,FC Aarau vs. Lausanne Sports 0:3,1991-08-03,1991-1992
Erik-Jan van den Boogaard,Lausanne Sports,81,0,3,FC Aarau vs. Lausanne Sports 0:3,1991-08-03,1991-1992
Jean-Daniel Gross,BSC Young Boys,3,0,1,FC Lugano vs. BSC Young Boys 1:4,1991-08-03,1991-1992
Bent Christensen,BSC Young Boys,8,0,2,FC Lugano vs. BSC Young Boys 1:4,1991-08-03,1991-1992
Georges Bregy,BSC Young Boys,58,0,3,FC Lugano vs. BSC Young Boys 1:4,1991-08-03,1991-1992
Dario Zuffi,FC Lugano,74,1,3,FC Lugano vs. BSC Young Boys 1:4,1991-08-03,1991-1992
Mini Jakobsen,BSC Young Boys,82,1,4,FC Lugano vs. BSC Young Boys 1:4,1991-08-03,1991-1992
Peter Közle,Grasshopper Club Zürich,61,0,1,Neuchâtel Xamax FC vs. Grasshopper Club Zürich 0:1,1991-08-03,1991-1992
Xavier Dietlin,Servette FC,47,1,0,Servette FC vs. FC Wettingen 1:1,1991-08-03,1991-1992
Ørjan Berg,FC Wettingen,87,1,1,Servette FC vs. FC Wettingen 1:1,1991-08-03,1991-1992
Peter Nadig,FC Luzern,86,0,1,FC Zürich vs. FC Luzern 0:1,1991-08-03,1991-1992
Peter Közle,Grasshopper Club Zürich,50,1,0,Grasshopper Club Zürich vs. Servette FC 1:0,1991-08-06,1991-1992
Dominique Cina,Lausanne Sports,48,1,0,Lausanne Sports vs. FC Lugano 4:0,1991-08-06,1991-1992
