scoring_player,scoring_team,time,GH,GA,game,date,season
Aykut Kocaman,Fenerbahçe,45,0,1,Zeytinburnuspor vs. Fenerbahçe 1:4,1994-08-13,1994-1995
Aykut Kocaman,Fenerbahçe,63,0,2,Zeytinburnuspor vs. Fenerbahçe 1:4,1994-08-13,1994-1995
Mecnur Çolak,Fenerbahçe,85,0,3,Zeytinburnuspor vs. Fenerbahçe 1:4,1994-08-13,1994-1995
Reha Kapsal,Zeytinburnuspor,88,1,3,Zeytinburnuspor vs. Fenerbahçe 1:4,1994-08-13,1994-1995
Oğuz Çetin,Fenerbahçe,89,1,4,Zeytinburnuspor vs. Fenerbahçe 1:4,1994-08-13,1994-1995
Soner Boz,Trabzonspor,24,1,0,Trabzonspor vs. Altay Izmir 3:1,1994-08-14,1994-1995
Kakhaber Katcharava,Trabzonspor,32,2,0,Trabzonspor vs. Altay Izmir 3:1,1994-08-14,1994-1995
Ünal Karaman,Trabzonspor,55,3,0,Trabzonspor vs. Altay Izmir 3:1,1994-08-14,1994-1995
Ahmet Akuygur,Altay Izmir,79,3,1,Trabzonspor vs. Altay Izmir 3:1,1994-08-14,1994-1995
Hüseyin Sarıçan,Vanspor AS,15,1,0,Vanspor AS vs. Kayserispor 3:0,1994-08-14,1994-1995
Hüseyin Sarıçan,Vanspor AS,51,2,0,Vanspor AS vs. Kayserispor 3:0,1994-08-14,1994-1995
Cumhur Alan,Vanspor AS,68,3,0,Vanspor AS vs. Kayserispor 3:0,1994-08-14,1994-1995
Volkan Gökdemir,Adana Demirspor,27,1,0,Adana Demirspor vs. Antalyaspor 1:0,1994-08-14,1994-1995
Ergün Yücel,MKE Ankaragücü,90,1,0,MKE Ankaragücü vs. Gaziantepspor 1:0,1994-08-14,1994-1995
Eyjólfur Sverrisson,Beşiktaş,14,0,1,Denizlispor vs. Beşiktaş 1:3,1994-08-14,1994-1995
Metin Tekin,Beşiktaş,55,0,2,Denizlispor vs. Beşiktaş 1:3,1994-08-14,1994-1995
Fevzi Gündoğdu,Denizlispor,71,1,2,Denizlispor vs. Beşiktaş 1:3,1994-08-14,1994-1995
