home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Faysali,Nebitchi FC,2005-03-09,1,1,F,AFC Pokal,Al Faysali (Jordan),Nebitchi FC (Turkmenistan),jordan,turkmenistan,JO,TM,Asia,Asia,Asia,international
East Bengal Club FC,Bangladesh Muktijoddha Sangsad Kc,2005-03-09,0,0,F,AFC Pokal,East Bengal Club FC (India),Bangladesh Muktijoddha Sangsad Kc (Bangladesh),india,bangladesh,IN,BD,Asia,Asia,Asia,international
Al Ahed,Dempo SC,2005-03-09,1,0,F,AFC Pokal,Al Ahed (Lebanon),Dempo SC (India),lebanon,india,LB,IN,Asia,Asia,Asia,international
Brothers Union,Nisa FC,2005-03-09,1,1,F,AFC Pokal,Brothers Union (Bangladesh),Nisa FC (Turkmenistan),bangladesh,turkmenistan,BD,TM,Asia,Asia,Asia,international
Perak,Tampines Rovers,2005-03-09,2,1,F,AFC Pokal,Perak (Malaysia),Tampines Rovers (Singapore),malaysia,singapore,MY,SG,Asia,Asia,Asia,international
Sun Hei SC,Club Valencia,2005-03-09,6,1,F,AFC Pokal,Sun Hei SC (Hong Kong),Club Valencia (Maldives),hong-kong,maldives,HK,MV,Asia,Asia,Asia,international
New Radiant,Happy Valley,2005-03-09,2,0,F,AFC Pokal,New Radiant (Maldives),Happy Valley (Hong Kong),maldives,hong-kong,MV,HK,Asia,Asia,Asia,international
Home United,Pahang,2005-03-09,2,1,F,AFC Pokal,Home United (Singapore),Pahang (Malaysia),singapore,malaysia,SG,MY,Asia,Asia,Asia,international
Nebitchi FC,East Bengal Club FC,2005-03-16,3,2,F,AFC Pokal,Nebitchi FC (Turkmenistan),East Bengal Club FC (India),turkmenistan,india,TM,IN,Asia,Asia,Asia,international
Bangladesh Muktijoddha Sangsad Kc,Al Faysali,2005-03-16,0,3,F,AFC Pokal,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),Al Faysali (Jordan),bangladesh,jordan,BD,JO,Asia,Asia,Asia,international
Al Hussein,Al Ahed,2005-03-16,4,0,F,AFC Pokal,Al Hussein (Jordan),Al Ahed (Lebanon),jordan,lebanon,JO,LB,Asia,Asia,Asia,international
Al Nejmeh,Brothers Union,2005-03-16,4,1,F,AFC Pokal,Al Nejmeh (Lebanon),Brothers Union (Bangladesh),lebanon,bangladesh,LB,BD,Asia,Asia,Asia,international
Tampines Rovers,Sun Hei SC,2005-03-16,1,1,F,AFC Pokal,Tampines Rovers (Singapore),Sun Hei SC (Hong Kong),singapore,hong-kong,SG,HK,Asia,Asia,Asia,international
Club Valencia,Perak,2005-03-16,1,1,F,AFC Pokal,Club Valencia (Maldives),Perak (Malaysia),maldives,malaysia,MV,MY,Asia,Asia,Asia,international
Happy Valley,Home United,2005-03-16,0,1,F,AFC Pokal,Happy Valley (Hong Kong),Home United (Singapore),hong-kong,singapore,HK,SG,Asia,Asia,Asia,international
Pahang,New Radiant,2005-03-16,1,0,F,AFC Pokal,Pahang (Malaysia),New Radiant (Maldives),malaysia,maldives,MY,MV,Asia,Asia,Asia,international
Nebitchi FC,Bangladesh Muktijoddha Sangsad Kc,2005-04-06,0,1,F,AFC Pokal,Nebitchi FC (Turkmenistan),Bangladesh Muktijoddha Sangsad Kc (Bangladesh),turkmenistan,bangladesh,TM,BD,Asia,Asia,Asia,international
Al Faysali,East Bengal Club FC,2005-04-06,5,0,F,AFC Pokal,Al Faysali (Jordan),East Bengal Club FC (India),jordan,india,JO,IN,Asia,Asia,Asia,international
Dempo SC,Al Hussein,2005-04-06,0,3,F,AFC Pokal,Dempo SC (India),Al Hussein (Jordan),india,jordan,IN,JO,Asia,Asia,Asia,international
Nisa FC,Al Nejmeh,2005-04-06,0,1,F,AFC Pokal,Nisa FC (Turkmenistan),Al Nejmeh (Lebanon),turkmenistan,lebanon,TM,LB,Asia,Asia,Asia,international
Tampines Rovers,Club Valencia,2005-04-06,1,0,F,AFC Pokal,Tampines Rovers (Singapore),Club Valencia (Maldives),singapore,maldives,SG,MV,Asia,Asia,Asia,international
Perak,Sun Hei SC,2005-04-06,0,1,F,AFC Pokal,Perak (Malaysia),Sun Hei SC (Hong Kong),malaysia,hong-kong,MY,HK,Asia,Asia,Asia,international
Happy Valley,Pahang,2005-04-06,1,1,F,AFC Pokal,Happy Valley (Hong Kong),Pahang (Malaysia),hong-kong,malaysia,HK,MY,Asia,Asia,Asia,international
New Radiant,Home United,2005-04-06,1,0,F,AFC Pokal,New Radiant (Maldives),Home United (Singapore),maldives,singapore,MV,SG,Asia,Asia,Asia,international
Bangladesh Muktijoddha Sangsad Kc,Nebitchi FC,2005-04-20,1,2,F,AFC Pokal,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),Nebitchi FC (Turkmenistan),bangladesh,turkmenistan,BD,TM,Asia,Asia,Asia,international
East Bengal Club FC,Al Faysali,2005-04-20,0,1,F,AFC Pokal,East Bengal Club FC (India),Al Faysali (Jordan),india,jordan,IN,JO,Asia,Asia,Asia,international
Al Hussein,Dempo SC,2005-04-20,2,0,F,AFC Pokal,Al Hussein (Jordan),Dempo SC (India),jordan,india,JO,IN,Asia,Asia,Asia,international
Al Nejmeh,Nisa FC,2005-04-20,1,0,F,AFC Pokal,Al Nejmeh (Lebanon),Nisa FC (Turkmenistan),lebanon,turkmenistan,LB,TM,Asia,Asia,Asia,international
Club Valencia,Tampines Rovers,2005-04-20,0,4,F,AFC Pokal,Club Valencia (Maldives),Tampines Rovers (Singapore),maldives,singapore,MV,SG,Asia,Asia,Asia,international
Sun Hei SC,Perak,2005-04-20,2,1,F,AFC Pokal,Sun Hei SC (Hong Kong),Perak (Malaysia),hong-kong,malaysia,HK,MY,Asia,Asia,Asia,international
Pahang,Happy Valley,2005-04-20,3,1,F,AFC Pokal,Pahang (Malaysia),Happy Valley (Hong Kong),malaysia,hong-kong,MY,HK,Asia,Asia,Asia,international
Home United,New Radiant,2005-04-20,2,0,F,AFC Pokal,Home United (Singapore),New Radiant (Maldives),singapore,maldives,SG,MV,Asia,Asia,Asia,international
Nebitchi FC,Al Faysali,2005-05-11,3,3,F,AFC Pokal,Nebitchi FC (Turkmenistan),Al Faysali (Jordan),turkmenistan,jordan,TM,JO,Asia,Asia,Asia,international
Bangladesh Muktijoddha Sangsad Kc,East Bengal Club FC,2005-05-11,0,1,F,AFC Pokal,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),East Bengal Club FC (India),bangladesh,india,BD,IN,Asia,Asia,Asia,international
Dempo SC,Al Ahed,2005-05-11,0,1,F,AFC Pokal,Dempo SC (India),Al Ahed (Lebanon),india,lebanon,IN,LB,Asia,Asia,Asia,international
Nisa FC,Brothers Union,2005-05-11,0,0,F,AFC Pokal,Nisa FC (Turkmenistan),Brothers Union (Bangladesh),turkmenistan,bangladesh,TM,BD,Asia,Asia,Asia,international
Tampines Rovers,Perak,2005-05-11,4,2,F,AFC Pokal,Tampines Rovers (Singapore),Perak (Malaysia),singapore,malaysia,SG,MY,Asia,Asia,Asia,international
