home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Regar Tadaz Tursunzoda,Transport United FC,2005-05-04,6,1,F,AFC Pres. Cup,Regar Tadaz Tursunzoda (Tajikistan),Transport United FC (Bhutan),tajikistan,bhutan,TJ,BT,Asia,Asia,Asia,international
Three Star Club,Taiwan Power Company,2005-05-04,1,1,F,AFC Pres. Cup,Three Star Club (Nepal),Taiwan Power Company (Chinese Taipei),nepal,chinese-taipei,NP,CHT,Asia,Asia,Asia,international
FC Dordoi Dynamo,Phnom Penh Empire,2005-05-05,6,1,F,AFC Pres. Cup,FC Dordoi Dynamo (Kyrgyzstan),Phnom Penh Empire (Cambodia),kyrgyzstan,cambodia,KG,KH,Asia,Asia,Asia,international
Wapda FC,Blue Star SC,2005-05-05,0,1,F,AFC Pres. Cup,Wapda FC (Pakistan),Blue Star SC (Sri Lanka),pakistan,sri-lanka,PK,LK,Asia,Asia,Asia,international
Taiwan Power Company,Regar Tadaz Tursunzoda,2005-05-06,0,3,F,AFC Pres. Cup,Taiwan Power Company (Chinese Taipei),Regar Tadaz Tursunzoda (Tajikistan),chinese-taipei,tajikistan,CHT,TJ,Asia,Asia,Asia,international
Transport United FC,Three Star Club,2005-05-06,1,2,F,AFC Pres. Cup,Transport United FC (Bhutan),Three Star Club (Nepal),bhutan,nepal,BT,NP,Asia,Asia,Asia,international
Phnom Penh Empire,Wapda FC,2005-05-07,2,1,F,AFC Pres. Cup,Phnom Penh Empire (Cambodia),Wapda FC (Pakistan),cambodia,pakistan,KH,PK,Asia,Asia,Asia,international
Blue Star SC,FC Dordoi Dynamo,2005-05-07,1,8,F,AFC Pres. Cup,Blue Star SC (Sri Lanka),FC Dordoi Dynamo (Kyrgyzstan),sri-lanka,kyrgyzstan,LK,KG,Asia,Asia,Asia,international
Taiwan Power Company,Transport United FC,2005-05-08,1,0,F,AFC Pres. Cup,Taiwan Power Company (Chinese Taipei),Transport United FC (Bhutan),chinese-taipei,bhutan,CHT,BT,Asia,Asia,Asia,international
Three Star Club,Regar Tadaz Tursunzoda,2005-05-08,0,0,F,AFC Pres. Cup,Three Star Club (Nepal),Regar Tadaz Tursunzoda (Tajikistan),nepal,tajikistan,NP,TJ,Asia,Asia,Asia,international
Phnom Penh Empire,Blue Star SC,2005-05-09,2,3,F,AFC Pres. Cup,Phnom Penh Empire (Cambodia),Blue Star SC (Sri Lanka),cambodia,sri-lanka,KH,LK,Asia,Asia,Asia,international
FC Dordoi Dynamo,Wapda FC,2005-05-09,0,1,F,AFC Pres. Cup,FC Dordoi Dynamo (Kyrgyzstan),Wapda FC (Pakistan),kyrgyzstan,pakistan,KG,PK,Asia,Asia,Asia,international
Regar Tadaz Tursunzoda,Blue Star SC,2005-05-12,6,0,F,AFC Pres. Cup,Regar Tadaz Tursunzoda (Tajikistan),Blue Star SC (Sri Lanka),tajikistan,sri-lanka,TJ,LK,Asia,Asia,Asia,international
FC Dordoi Dynamo,Three Star Club,2005-05-12,0,0,P,AFC Pres. Cup,FC Dordoi Dynamo (Kyrgyzstan),Three Star Club (Nepal),kyrgyzstan,nepal,KG,NP,Asia,Asia,Asia,international
Regar Tadaz Tursunzoda,FC Dordoi Dynamo,2005-05-14,3,0,F,AFC Pres. Cup,Regar Tadaz Tursunzoda (Tajikistan),FC Dordoi Dynamo (Kyrgyzstan),tajikistan,kyrgyzstan,TJ,KG,Asia,Asia,Asia,international
Pakistan Army,Tatung,2006-05-10,1,4,F,AFC Pres. Cup,Pakistan Army (Pakistan),Tatung (Chinese Taipei),pakistan,chinese-taipei,PK,CHT,Asia,Asia,Asia,international
Khemara Keila FC,Transport United FC,2006-05-10,2,1,F,AFC Pres. Cup,Khemara Keila FC (Cambodia),Transport United FC (Bhutan),cambodia,bhutan,KH,BT,Asia,Asia,Asia,international
Manang Marshyangdi Club,Ratnam Sports Club,2006-05-11,0,2,F,AFC Pres. Cup,Manang Marshyangdi Club (Nepal),Ratnam Sports Club (Sri Lanka),nepal,sri-lanka,NP,LK,Asia,Asia,Asia,international
FC Dordoi Dynamo,FK Vakhsh Qurghonteppa,2006-05-11,0,3,F,AFC Pres. Cup,FC Dordoi Dynamo (Kyrgyzstan),FK Vakhsh Qurghonteppa (Tajikistan),kyrgyzstan,tajikistan,KG,TJ,Asia,Asia,Asia,international
Transport United FC,Pakistan Army,2006-05-12,1,0,F,AFC Pres. Cup,Transport United FC (Bhutan),Pakistan Army (Pakistan),bhutan,pakistan,BT,PK,Asia,Asia,Asia,international
Tatung,Khemara Keila FC,2006-05-13,1,5,F,AFC Pres. Cup,Tatung (Chinese Taipei),Khemara Keila FC (Cambodia),chinese-taipei,cambodia,CHT,KH,Asia,Asia,Asia,international
Ratnam Sports Club,FC Dordoi Dynamo,2006-05-13,0,3,F,AFC Pres. Cup,Ratnam Sports Club (Sri Lanka),FC Dordoi Dynamo (Kyrgyzstan),sri-lanka,kyrgyzstan,LK,KG,Asia,Asia,Asia,international
FK Vakhsh Qurghonteppa,Manang Marshyangdi Club,2006-05-13,1,3,F,AFC Pres. Cup,FK Vakhsh Qurghonteppa (Tajikistan),Manang Marshyangdi Club (Nepal),tajikistan,nepal,TJ,NP,Asia,Asia,Asia,international
Pakistan Army,Khemara Keila FC,2006-05-14,1,1,F,AFC Pres. Cup,Pakistan Army (Pakistan),Khemara Keila FC (Cambodia),pakistan,cambodia,PK,KH,Asia,Asia,Asia,international
Tatung,Transport United FC,2006-05-14,5,0,F,AFC Pres. Cup,Tatung (Chinese Taipei),Transport United FC (Bhutan),chinese-taipei,bhutan,CHT,BT,Asia,Asia,Asia,international
Manang Marshyangdi Club,FC Dordoi Dynamo,2006-05-15,0,2,F,AFC Pres. Cup,Manang Marshyangdi Club (Nepal),FC Dordoi Dynamo (Kyrgyzstan),nepal,kyrgyzstan,NP,KG,Asia,Asia,Asia,international
Ratnam Sports Club,FK Vakhsh Qurghonteppa,2006-05-15,1,2,F,AFC Pres. Cup,Ratnam Sports Club (Sri Lanka),FK Vakhsh Qurghonteppa (Tajikistan),sri-lanka,tajikistan,LK,TJ,Asia,Asia,Asia,international
Khemara Keila FC,FC Dordoi Dynamo,2006-05-17,0,3,F,AFC Pres. Cup,Khemara Keila FC (Cambodia),FC Dordoi Dynamo (Kyrgyzstan),cambodia,kyrgyzstan,KH,KG,Asia,Asia,Asia,international
FK Vakhsh Qurghonteppa,Tatung,2006-05-18,3,1,F,AFC Pres. Cup,FK Vakhsh Qurghonteppa (Tajikistan),Tatung (Chinese Taipei),tajikistan,chinese-taipei,TJ,CHT,Asia,Asia,Asia,international
FC Dordoi Dynamo,FK Vakhsh Qurghonteppa,2006-05-21,2,1,E,AFC Pres. Cup,FC Dordoi Dynamo (Kyrgyzstan),FK Vakhsh Qurghonteppa (Tajikistan),kyrgyzstan,tajikistan,KG,TJ,Asia,Asia,Asia,international
Pakistan Army,Ratnam Sports Club,2007-09-20,3,3,F,AFC Pres. Cup,Pakistan Army (Pakistan),Ratnam Sports Club (Sri Lanka),pakistan,sri-lanka,PK,LK,Asia,Asia,Asia,international
