home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
De Maiwand Atalan FC,Shaheen Asmayee FC,2012-09-18,3,1,F,afghanistan,De Maiwand Atalan FC (Afghanistan),Shaheen Asmayee FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Mawjhai Amu FC,Oqaban Hindukush FC,2012-09-19,2,2,F,afghanistan,Mawjhai Amu FC (Afghanistan),Oqaban Hindukush FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
De Abasin Sape FC,De Spin Ghar Bazan FC,2012-09-20,0,1,F,afghanistan,De Abasin Sape FC (Afghanistan),De Spin Ghar Bazan FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Simorgh Alborz FC,Toofaan Harirod FC,2012-09-21,1,4,F,afghanistan,Simorgh Alborz FC (Afghanistan),Toofaan Harirod FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Shaheen Asmayee FC,De Spin Ghar Bazan FC,2012-09-25,0,1,F,afghanistan,Shaheen Asmayee FC (Afghanistan),De Spin Ghar Bazan FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Toofaan Harirod FC,Oqaban Hindukush FC,2012-09-26,4,0,F,afghanistan,Toofaan Harirod FC (Afghanistan),Oqaban Hindukush FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
De Maiwand Atalan FC,De Abasin Sape FC,2012-09-27,3,0,F,afghanistan,De Maiwand Atalan FC (Afghanistan),De Abasin Sape FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Simorgh Alborz FC,Mawjhai Amu FC,2012-09-28,4,2,F,afghanistan,Simorgh Alborz FC (Afghanistan),Mawjhai Amu FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
De Maiwand Atalan FC,De Spin Ghar Bazan FC,2012-10-02,1,1,F,afghanistan,De Maiwand Atalan FC (Afghanistan),De Spin Ghar Bazan FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Simorgh Alborz FC,Oqaban Hindukush FC,2012-10-03,2,1,F,afghanistan,Simorgh Alborz FC (Afghanistan),Oqaban Hindukush FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Shaheen Asmayee FC,De Abasin Sape FC,2012-10-04,3,0,F,afghanistan,Shaheen Asmayee FC (Afghanistan),De Abasin Sape FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Toofaan Harirod FC,Mawjhai Amu FC,2012-10-05,4,0,F,afghanistan,Toofaan Harirod FC (Afghanistan),Mawjhai Amu FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
De Maiwand Atalan FC,Simorgh Alborz FC,2012-10-11,1,2,F,afghanistan,De Maiwand Atalan FC (Afghanistan),Simorgh Alborz FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
De Spin Ghar Bazan FC,Toofaan Harirod FC,2012-10-12,0,10,F,afghanistan,De Spin Ghar Bazan FC (Afghanistan),Toofaan Harirod FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Simorgh Alborz FC,Toofaan Harirod FC,2012-10-19,1,2,F,afghanistan,Simorgh Alborz FC (Afghanistan),Toofaan Harirod FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
Toofaan Harirod FC,De Spin Ghar Bazan FC,2013-08-22,5,0,F,afghanistan,Toofaan Harirod FC (Afghanistan),De Spin Ghar Bazan FC (Afghanistan),afghanistan,afghanistan,AF,AF,Asia,Asia,Asia,national
