home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
KS Bylis Ballsh,KS Apolonia Fier,1997-09-13,3,1,F,albania,KS Bylis Ballsh (Albania),KS Apolonia Fier (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
FK Vllaznia,Albpetrol Patos,1997-09-13,2,0,F,albania,FK Vllaznia (Albania),Albpetrol Patos (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Laci,FK Partizani,1997-09-13,3,0,F,albania,KS Laci (Albania),FK Partizani (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Flamurtari Vlore,KS Shkumbini,1997-09-13,2,2,F,albania,KS Flamurtari Vlore (Albania),KS Shkumbini (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
FK Tomori Berat,KS Lushnja,1997-09-13,3,3,F,albania,FK Tomori Berat (Albania),KS Lushnja (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Teuta Durres,KS Elbasani,1997-09-13,1,0,F,albania,KS Teuta Durres (Albania),KS Elbasani (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Tirane,Luftetari Gjirokaster,1997-09-13,5,0,F,albania,KS Tirane (Albania),Luftetari Gjirokaster (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS SKenderbeu,FK Dinamo Tirana,1997-09-13,0,0,F,albania,KS SKenderbeu (Albania),FK Dinamo Tirana (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
Sopoti Librazhd,KS Besa,1997-09-13,3,2,F,albania,Sopoti Librazhd (Albania),KS Besa (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
Albpetrol Patos,KS Bylis Ballsh,1997-09-20,2,1,F,albania,Albpetrol Patos (Albania),KS Bylis Ballsh (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
FK Partizani,FK Vllaznia,1997-09-20,3,0,F,albania,FK Partizani (Albania),FK Vllaznia (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Shkumbini,KS Laci,1997-09-20,2,1,F,albania,KS Shkumbini (Albania),KS Laci (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Lushnja,KS Flamurtari Vlore,1997-09-20,2,1,F,albania,KS Lushnja (Albania),KS Flamurtari Vlore (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Elbasani,FK Tomori Berat,1997-09-20,5,0,F,albania,KS Elbasani (Albania),FK Tomori Berat (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Apolonia Fier,KS Teuta Durres,1997-09-20,1,0,F,albania,KS Apolonia Fier (Albania),KS Teuta Durres (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
Luftetari Gjirokaster,Sopoti Librazhd,1997-09-20,0,2,F,albania,Luftetari Gjirokaster (Albania),Sopoti Librazhd (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
FK Dinamo Tirana,KS Tirane,1997-09-20,1,4,F,albania,FK Dinamo Tirana (Albania),KS Tirane (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Besa,KS SKenderbeu,1997-09-20,6,1,F,albania,KS Besa (Albania),KS SKenderbeu (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Besa,FK Partizani,1997-09-27,0,1,F,albania,KS Besa (Albania),FK Partizani (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Elbasani,Luftetari Gjirokaster,1997-09-27,3,0,F,albania,KS Elbasani (Albania),Luftetari Gjirokaster (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
KS Laci,Albpetrol Patos,1997-09-27,7,0,F,albania,KS Laci (Albania),Albpetrol Patos (Albania),albania,albania,AL,AL,Europe,Europe,Europe,national
