home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
MC Alger,Jeunesse Sportive Madinet De Bejaia,1999-10-14,0,0,F,algeria,MC Alger (Algeria),Jeunesse Sportive Madinet De Bejaia (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
ES Setif,JS Kabylie,1999-10-14,2,1,F,algeria,ES Setif (Algeria),JS Kabylie (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
WA Tlemcen,CR Belouizdad,1999-10-14,1,1,F,algeria,WA Tlemcen (Algeria),CR Belouizdad (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Oran,Mouloudia Ouloum De Constantine,1999-10-14,0,2,F,algeria,MC Oran (Algeria),Mouloudia Ouloum De Constantine (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Alger,USM Annaba,1999-10-14,4,3,F,algeria,USM Alger (Algeria),USM Annaba (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Blida,CA Batna,1999-10-14,1,0,F,algeria,USM Blida (Algeria),CA Batna (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Annaba,USM Blida,1999-10-21,2,1,F,algeria,USM Annaba (Algeria),USM Blida (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Alger,ES Setif,1999-10-21,1,1,F,algeria,MC Alger (Algeria),ES Setif (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
Jeunesse Sportive Madinet De Bejaia,CA Batna,1999-10-21,3,0,F,algeria,Jeunesse Sportive Madinet De Bejaia (Algeria),CA Batna (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CR Belouizdad,MC Oran,1999-10-21,4,3,F,algeria,CR Belouizdad (Algeria),MC Oran (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
Mouloudia Ouloum De Constantine,USM Alger,1999-10-21,2,0,F,algeria,Mouloudia Ouloum De Constantine (Algeria),USM Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
JS Kabylie,WA Tlemcen,1999-10-21,2,1,F,algeria,JS Kabylie (Algeria),WA Tlemcen (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Oran,JS Kabylie,1999-10-25,1,1,F,algeria,MC Oran (Algeria),JS Kabylie (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
ES Setif,Jeunesse Sportive Madinet De Bejaia,1999-10-28,0,0,F,algeria,ES Setif (Algeria),Jeunesse Sportive Madinet De Bejaia (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
WA Tlemcen,MC Alger,1999-10-28,0,1,F,algeria,WA Tlemcen (Algeria),MC Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Alger,CR Belouizdad,1999-10-28,0,1,F,algeria,USM Alger (Algeria),CR Belouizdad (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Blida,Mouloudia Ouloum De Constantine,1999-10-28,0,1,F,algeria,USM Blida (Algeria),Mouloudia Ouloum De Constantine (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CA Batna,USM Annaba,1999-10-28,0,0,F,algeria,CA Batna (Algeria),USM Annaba (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
Jeunesse Sportive Madinet De Bejaia,USM Annaba,1999-11-01,2,0,F,algeria,Jeunesse Sportive Madinet De Bejaia (Algeria),USM Annaba (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
Mouloudia Ouloum De Constantine,CA Batna,1999-11-01,2,1,F,algeria,Mouloudia Ouloum De Constantine (Algeria),CA Batna (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CR Belouizdad,USM Blida,1999-11-01,2,0,F,algeria,CR Belouizdad (Algeria),USM Blida (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
JS Kabylie,USM Alger,1999-11-01,1,0,F,algeria,JS Kabylie (Algeria),USM Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
ES Setif,WA Tlemcen,1999-11-01,3,1,F,algeria,ES Setif (Algeria),WA Tlemcen (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
WA Tlemcen,Jeunesse Sportive Madinet De Bejaia,1999-11-04,4,0,F,algeria,WA Tlemcen (Algeria),Jeunesse Sportive Madinet De Bejaia (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Alger,MC Alger,1999-11-04,0,1,F,algeria,USM Alger (Algeria),MC Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Blida,JS Kabylie,1999-11-04,2,0,F,algeria,USM Blida (Algeria),JS Kabylie (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CA Batna,CR Belouizdad,1999-11-04,0,1,F,algeria,CA Batna (Algeria),CR Belouizdad (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Annaba,Mouloudia Ouloum De Constantine,1999-11-04,1,1,F,algeria,USM Annaba (Algeria),Mouloudia Ouloum De Constantine (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
Jeunesse Sportive Madinet De Bejaia,Mouloudia Ouloum De Constantine,1999-11-18,1,0,F,algeria,Jeunesse Sportive Madinet De Bejaia (Algeria),Mouloudia Ouloum De Constantine (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CR Belouizdad,USM Annaba,1999-11-18,4,2,F,algeria,CR Belouizdad (Algeria),USM Annaba (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
JS Kabylie,CA Batna,1999-11-18,1,1,F,algeria,JS Kabylie (Algeria),CA Batna (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Alger,USM Blida,1999-11-18,2,1,F,algeria,MC Alger (Algeria),USM Blida (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
ES Setif,USM Alger,1999-11-18,2,1,F,algeria,ES Setif (Algeria),USM Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
WA Tlemcen,MC Oran,1999-11-18,0,0,F,algeria,WA Tlemcen (Algeria),MC Oran (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Alger,MC Oran,1999-11-22,2,1,F,algeria,MC Alger (Algeria),MC Oran (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
MC Oran,Jeunesse Sportive Madinet De Bejaia,1999-11-25,1,0,F,algeria,MC Oran (Algeria),Jeunesse Sportive Madinet De Bejaia (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Alger,WA Tlemcen,1999-11-25,1,1,F,algeria,USM Alger (Algeria),WA Tlemcen (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
USM Blida,ES Setif,1999-11-25,3,3,F,algeria,USM Blida (Algeria),ES Setif (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
CA Batna,MC Alger,1999-11-25,2,2,F,algeria,CA Batna (Algeria),MC Alger (Algeria),algeria,algeria,DZ,DZ,Africa,Africa,Africa,national
