home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Sagrada Esperanca,Clube Desportivo Primeiro De Agosto,2000-03-18,0,0,F,angola,Sagrada Esperanca (Angola),Clube Desportivo Primeiro De Agosto (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Benfica Luanda,Onze Bravos Maqui,2000-03-18,2,1,F,angola,Benfica Luanda (Angola),Onze Bravos Maqui (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Sporting Bie,Atletico Petroleos Do Namibe,2000-03-18,0,1,F,angola,Sporting Bie (Angola),Atletico Petroleos Do Namibe (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Atletico Petroleos Do Huambo,FC De Cabinda,2000-03-18,2,0,F,angola,Atletico Petroleos Do Huambo (Angola),FC De Cabinda (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Sporting Cabinda,Atletico Petroleos De Luanda,2000-03-18,0,3,F,angola,Sporting Cabinda (Angola),Atletico Petroleos De Luanda (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
GD Interclube,Academica Petroleos Do Lobito,2000-03-18,3,1,F,angola,GD Interclube (Angola),Academica Petroleos Do Lobito (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Ara Gabela,ASA Luanda,2000-03-18,0,2,F,angola,Ara Gabela (Angola),ASA Luanda (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Academica Petroleos Do Lobito,Sporting Cabinda,2000-04-02,1,0,F,angola,Academica Petroleos Do Lobito (Angola),Sporting Cabinda (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
FC De Cabinda,Sporting Bie,2000-04-02,3,2,F,angola,FC De Cabinda (Angola),Sporting Bie (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Clube Desportivo Primeiro De Agosto,GD Interclube,2000-04-02,0,2,F,angola,Clube Desportivo Primeiro De Agosto (Angola),GD Interclube (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
Onze Bravos Maqui,Sagrada Esperanca,2000-04-02,1,0,F,angola,Onze Bravos Maqui (Angola),Sagrada Esperanca (Angola),angola,angola,AO,AO,Africa,Africa,Africa,national
