home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Liberta,English Harbour,2002-09-21,3,0,F,antigua-and-barbuda,Liberta (Antigua And Barbuda),English Harbour (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Hoppers Green Bay,Freemansville,2002-09-21,3,0,F,antigua-and-barbuda,Hoppers Green Bay (Antigua And Barbuda),Freemansville (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Parham,Lion Hill,2002-09-22,5,2,F,antigua-and-barbuda,Parham (Antigua And Barbuda),Lion Hill (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Empire Grays Farm,Bassa SC All Saints,2002-09-22,3,3,F,antigua-and-barbuda,Empire Grays Farm (Antigua And Barbuda),Bassa SC All Saints (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Sap Bolans,Villa Lions Saint Johns,2002-09-22,1,1,F,antigua-and-barbuda,Sap Bolans (Antigua And Barbuda),Villa Lions Saint Johns (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Villa Lions Saint Johns,Bassa SC All Saints,2002-09-27,3,0,F,antigua-and-barbuda,Villa Lions Saint Johns (Antigua And Barbuda),Bassa SC All Saints (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Sap Bolans,English Harbour,2002-09-28,5,2,F,antigua-and-barbuda,Sap Bolans (Antigua And Barbuda),English Harbour (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Empire Grays Farm,Lion Hill,2002-09-28,2,1,F,antigua-and-barbuda,Empire Grays Farm (Antigua And Barbuda),Lion Hill (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Parham,Liberta,2002-09-29,3,0,F,antigua-and-barbuda,Parham (Antigua And Barbuda),Liberta (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
English Harbour,Lion Hill,2002-10-04,5,2,F,antigua-and-barbuda,English Harbour (Antigua And Barbuda),Lion Hill (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Villa Lions Saint Johns,Liberta,2002-10-05,3,0,F,antigua-and-barbuda,Villa Lions Saint Johns (Antigua And Barbuda),Liberta (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Hoppers Green Bay,Bassa SC All Saints,2002-10-05,4,3,F,antigua-and-barbuda,Hoppers Green Bay (Antigua And Barbuda),Bassa SC All Saints (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Sap Bolans,Empire Grays Farm,2002-10-06,5,1,F,antigua-and-barbuda,Sap Bolans (Antigua And Barbuda),Empire Grays Farm (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
Parham,Freemansville,2002-10-06,2,0,F,antigua-and-barbuda,Parham (Antigua And Barbuda),Freemansville (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
English Harbour,Parham,2002-10-11,4,3,F,antigua-and-barbuda,English Harbour (Antigua And Barbuda),Parham (Antigua And Barbuda),antigua-and-barbuda,antigua-and-barbuda,AG,AG,North America,North America,North America,national
