home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Shirak FC,FC Lernagorts Ararat,2000-03-25,13,1,F,armenia,Shirak FC (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Ararat,FC Kilikia,2000-03-25,2,1,F,armenia,FC Ararat (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,Mika FC,2000-03-25,2,0,F,armenia,Araks Ararat (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,FC Dinamo Zenit Yerevan,2000-03-25,2,0,F,armenia,Zvartnots (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Lernagorts Ararat,FC Dinamo Zenit Yerevan,2000-04-04,4,2,F,armenia,FC Lernagorts Ararat (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,Zvartnots,2000-04-04,4,1,F,armenia,Mika FC (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,Araks Ararat,2000-04-04,1,3,F,armenia,FC Kilikia (Armenia),Araks Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Shirak FC,FC Ararat,2000-04-04,1,0,F,armenia,Shirak FC (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Ararat,FC Lernagorts Ararat,2000-04-14,5,0,F,armenia,FC Ararat (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,Shirak FC,2000-04-14,0,2,F,armenia,Araks Ararat (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,FC Kilikia,2000-04-14,3,1,F,armenia,Zvartnots (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,Mika FC,2000-04-14,0,1,F,armenia,FC Dinamo Zenit Yerevan (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,FC Lernagorts Ararat,2000-04-30,4,0,F,armenia,Araks Ararat (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,FC Ararat,2000-04-30,4,0,F,armenia,Zvartnots (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,Shirak FC,2000-04-30,1,1,F,armenia,FC Dinamo Zenit Yerevan (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,FC Kilikia,2000-04-30,2,0,F,armenia,Mika FC (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Lernagorts Ararat,FC Kilikia,2000-05-09,1,3,F,armenia,FC Lernagorts Ararat (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Shirak FC,Mika FC,2000-05-09,0,0,F,armenia,Shirak FC (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Ararat,FC Dinamo Zenit Yerevan,2000-05-09,1,0,F,armenia,FC Ararat (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,Zvartnots,2000-05-09,2,0,F,armenia,Araks Ararat (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,FC Lernagorts Ararat,2000-05-18,3,1,F,armenia,Zvartnots (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,Araks Ararat,2000-05-18,0,6,F,armenia,FC Dinamo Zenit Yerevan (Armenia),Araks Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,FC Ararat,2000-05-18,0,1,F,armenia,Mika FC (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Lernagorts Ararat,Shirak FC,2000-05-23,0,4,F,armenia,FC Lernagorts Ararat (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,FC Ararat,2000-05-23,1,2,F,armenia,FC Kilikia (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,Araks Ararat,2000-05-23,2,2,F,armenia,Mika FC (Armenia),Araks Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,Zvartnots,2000-05-23,1,3,F,armenia,FC Dinamo Zenit Yerevan (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,FC Lernagorts Ararat,2000-05-31,4,2,F,armenia,FC Dinamo Zenit Yerevan (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,Mika FC,2000-05-31,2,0,F,armenia,Zvartnots (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,FC Kilikia,2000-05-31,3,2,F,armenia,Araks Ararat (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Ararat,Shirak FC,2000-05-31,0,1,F,armenia,FC Ararat (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Lernagorts Ararat,FC Ararat,2000-06-08,1,2,F,armenia,FC Lernagorts Ararat (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Shirak FC,Araks Ararat,2000-06-08,6,0,F,armenia,Shirak FC (Armenia),Araks Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,Zvartnots,2000-06-08,1,1,F,armenia,FC Kilikia (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,FC Dinamo Zenit Yerevan,2000-06-08,5,1,F,armenia,Mika FC (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,FC Lernagorts Ararat,2000-06-13,2,0,F,armenia,Mika FC (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Dinamo Zenit Yerevan,FC Kilikia,2000-06-13,2,4,F,armenia,FC Dinamo Zenit Yerevan (Armenia),FC Kilikia (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Zvartnots,Shirak FC,2000-06-13,1,1,F,armenia,Zvartnots (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Araks Ararat,FC Ararat,2000-06-13,0,2,F,armenia,Araks Ararat (Armenia),FC Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Lernagorts Ararat,Mika FC,2000-06-17,1,3,F,armenia,FC Lernagorts Ararat (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,FC Dinamo Zenit Yerevan,2000-06-17,3,1,F,armenia,FC Kilikia (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Shirak FC,Zvartnots,2000-06-17,1,3,F,armenia,Shirak FC (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Ararat,Zvartnots,2000-06-21,0,0,F,armenia,FC Ararat (Armenia),Zvartnots (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,Mika FC,2000-06-21,0,3,F,armenia,FC Kilikia (Armenia),Mika FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Shirak FC,FC Dinamo Zenit Yerevan,2000-06-24,3,0,F,armenia,Shirak FC (Armenia),FC Dinamo Zenit Yerevan (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
FC Kilikia,FC Lernagorts Ararat,2000-06-29,3,2,F,armenia,FC Kilikia (Armenia),FC Lernagorts Ararat (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
Mika FC,Shirak FC,2000-06-29,1,0,F,armenia,Mika FC (Armenia),Shirak FC (Armenia),armenia,armenia,AM,AM,Europe,Europe,Europe,national
