home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
SV Deportivo Nacional,SV Jong Aruba,2004-09-17,4,1,F,aruba,SV Deportivo Nacional (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Juventud Tanki Leendert,2004-09-18,1,2,F,aruba,SV Estrella Papilon (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Britannia,2004-09-18,0,2,F,aruba,SV Dakota (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Racing Club Aruba,2004-09-20,1,6,F,aruba,SV Independiente Caravel (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Independiente Caravel,2004-09-24,2,1,F,aruba,SV Estrella Papilon (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Jong Aruba,SV Britannia,2004-09-25,0,1,F,aruba,SV Jong Aruba (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Juventud Tanki Leendert,2004-09-25,0,1,F,aruba,SV Sportboys Angochi (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Dakota,2004-09-27,1,2,F,aruba,SV Deportivo Nacional (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,La Fama,2004-09-29,2,1,F,aruba,SV Sportboys Angochi (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Juventud Tanki Leendert,SV Britannia,2004-10-01,2,4,F,aruba,SV Juventud Tanki Leendert (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Estrella Papilon,2004-10-02,0,0,F,aruba,SV Dakota (Aruba),SV Estrella Papilon (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Racing Club Aruba,2004-10-02,1,2,F,aruba,SV Sportboys Angochi (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Jong Aruba,La Fama,2004-10-03,2,1,F,aruba,SV Jong Aruba (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Independiente Caravel,2004-10-03,4,1,F,aruba,SV Deportivo Nacional (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Estrella Papilon,2004-10-06,1,0,F,aruba,SV Deportivo Nacional (Aruba),SV Estrella Papilon (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,La Fama,2004-10-15,1,1,F,aruba,SV Deportivo Nacional (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Juventud Tanki Leendert,SV Dakota,2004-10-16,2,7,F,aruba,SV Juventud Tanki Leendert (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Racing Club Aruba,SV Britannia,2004-10-16,2,2,F,aruba,SV Racing Club Aruba (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Jong Aruba,2004-10-17,3,2,F,aruba,SV Estrella Papilon (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Sportboys Angochi,2004-10-17,1,1,F,aruba,SV Independiente Caravel (Aruba),SV Sportboys Angochi (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Racing Club Aruba,SV Deportivo Nacional,2004-10-22,1,0,F,aruba,SV Racing Club Aruba (Aruba),SV Deportivo Nacional (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Britannia,2004-10-23,1,2,F,aruba,SV Independiente Caravel (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Juventud Tanki Leendert,SV Jong Aruba,2004-10-23,0,2,F,aruba,SV Juventud Tanki Leendert (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Estrella Papilon,2004-10-24,0,0,F,aruba,La Fama (Aruba),SV Estrella Papilon (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Dakota,2004-10-24,1,4,F,aruba,SV Sportboys Angochi (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Racing Club Aruba,2004-10-27,1,4,F,aruba,La Fama (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Britannia,2004-11-05,0,1,F,aruba,SV Sportboys Angochi (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Jong Aruba,2004-11-06,5,0,F,aruba,SV Dakota (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Racing Club Aruba,SV Juventud Tanki Leendert,2004-11-07,2,0,F,aruba,SV Racing Club Aruba (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,La Fama,2004-11-07,4,2,F,aruba,SV Independiente Caravel (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Independiente Caravel,2004-11-12,2,2,F,aruba,SV Dakota (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Racing Club Aruba,SV Jong Aruba,2004-11-13,3,1,F,aruba,SV Racing Club Aruba (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Sportboys Angochi,2004-11-13,0,1,F,aruba,SV Estrella Papilon (Aruba),SV Sportboys Angochi (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Juventud Tanki Leendert,2004-11-14,5,1,F,aruba,SV Deportivo Nacional (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Britannia,2004-11-14,0,0,F,aruba,La Fama (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Britannia,2004-11-19,2,3,F,aruba,SV Estrella Papilon (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Juventud Tanki Leendert,2004-11-20,0,3,F,aruba,La Fama (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Racing Club Aruba,2004-11-20,2,5,F,aruba,SV Dakota (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Jong Aruba,2004-11-21,1,3,F,aruba,SV Independiente Caravel (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Deportivo Nacional,2004-11-21,0,2,F,aruba,SV Sportboys Angochi (Aruba),SV Deportivo Nacional (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Juventud Tanki Leendert,2004-11-26,2,2,F,aruba,SV Independiente Caravel (Aruba),SV Juventud Tanki Leendert (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,La Fama,2004-11-27,3,1,F,aruba,SV Dakota (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Racing Club Aruba,2004-11-27,1,2,F,aruba,SV Estrella Papilon (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Jong Aruba,2004-11-28,2,1,F,aruba,SV Sportboys Angochi (Aruba),SV Jong Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Britannia,2004-11-28,2,2,F,aruba,SV Deportivo Nacional (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Britannia,2005-01-13,3,1,F,aruba,SV Dakota (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Britannia,SV Racing Club Aruba,2005-09-15,3,0,F,aruba,SV Britannia (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Caiquetio,SV Estudiantes,2005-09-15,3,0,F,aruba,SV Caiquetio (Aruba),SV Estudiantes (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Independiente Caravel,2005-09-15,2,2,F,aruba,SV Estrella Papilon (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Deportivo Nacional,2005-09-15,0,0,F,aruba,SV Dakota (Aruba),SV Deportivo Nacional (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,La Fama,2005-09-15,0,1,F,aruba,SV Sportboys Angochi (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Britannia,SV Caiquetio,2005-09-22,2,1,F,aruba,SV Britannia (Aruba),SV Caiquetio (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Sportboys Angochi,2005-09-22,3,0,F,aruba,SV Independiente Caravel (Aruba),SV Sportboys Angochi (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estudiantes,SV Dakota,2005-09-22,2,0,F,aruba,SV Estudiantes (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Estrella Papilon,2005-09-22,2,3,F,aruba,La Fama (Aruba),SV Estrella Papilon (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Racing Club Aruba,2005-09-22,1,1,F,aruba,SV Deportivo Nacional (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
La Fama,SV Britannia,2005-10-01,2,0,F,aruba,La Fama (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Caiquetio,SV Independiente Caravel,2005-10-01,0,0,F,aruba,SV Caiquetio (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Dakota,2005-10-01,1,2,F,aruba,SV Sportboys Angochi (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Deportivo Nacional,2005-10-01,2,1,F,aruba,SV Estrella Papilon (Aruba),SV Deportivo Nacional (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Racing Club Aruba,SV Estudiantes,2005-10-01,1,1,F,aruba,SV Racing Club Aruba (Aruba),SV Estudiantes (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Independiente Caravel,SV Britannia,2005-10-08,1,1,F,aruba,SV Independiente Caravel (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Caiquetio,SV Racing Club Aruba,2005-10-08,0,1,F,aruba,SV Caiquetio (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Dakota,SV Estrella Papilon,2005-10-08,1,1,F,aruba,SV Dakota (Aruba),SV Estrella Papilon (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,La Fama,2005-10-08,0,0,F,aruba,SV Deportivo Nacional (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Sportboys Angochi,SV Britannia,2005-10-15,1,4,F,aruba,SV Sportboys Angochi (Aruba),SV Britannia (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Caiquetio,SV Dakota,2005-10-15,2,3,F,aruba,SV Caiquetio (Aruba),SV Dakota (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estrella Papilon,SV Racing Club Aruba,2005-10-15,2,1,F,aruba,SV Estrella Papilon (Aruba),SV Racing Club Aruba (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Independiente Caravel,2005-10-15,1,1,F,aruba,SV Deportivo Nacional (Aruba),SV Independiente Caravel (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Estudiantes,La Fama,2005-10-15,1,4,F,aruba,SV Estudiantes (Aruba),La Fama (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
SV Deportivo Nacional,SV Caiquetio,2005-10-22,0,1,F,aruba,SV Deportivo Nacional (Aruba),SV Caiquetio (Aruba),aruba,aruba,AW,AW,North America,North America,North America,national
