home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Canberra City,West Adelaide Hellas,1977-04-02,1,3,F,australia,Canberra City (Australia),West Adelaide Hellas (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Footscray Just,St George FC,1977-04-02,0,0,F,australia,Footscray Just (Australia),St George FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Sydney Olympic,South Melbourne FC,1977-04-02,0,2,F,australia,Sydney Olympic (Australia),South Melbourne FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Adelaide City FC,Brisbane Roar,1977-04-03,0,0,F,australia,Adelaide City FC (Australia),Brisbane Roar (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Brisbane City FC,Marconi Stallions,1977-04-03,0,1,F,australia,Brisbane City FC (Australia),Marconi Stallions (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Western Suburbs,Mooroolbark FC,1977-04-03,5,0,F,australia,Western Suburbs (Australia),Mooroolbark FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Heidelberg United,Hakoah Sydney City East,1977-04-03,1,3,F,australia,Heidelberg United (Australia),Hakoah Sydney City East (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Hakoah Sydney City East,Footscray Just,1977-04-10,4,3,F,australia,Hakoah Sydney City East (Australia),Footscray Just (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Mooroolbark FC,Sydney Olympic,1977-04-10,1,1,F,australia,Mooroolbark FC (Australia),Sydney Olympic (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Brisbane Roar,Canberra City,1977-04-10,0,1,F,australia,Brisbane Roar (Australia),Canberra City (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Marconi Stallions,Adelaide City FC,1977-04-11,0,4,F,australia,Marconi Stallions (Australia),Adelaide City FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
St George FC,Brisbane City FC,1977-04-11,3,2,F,australia,St George FC (Australia),Brisbane City FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
West Adelaide Hellas,Western Suburbs,1977-04-11,0,1,F,australia,West Adelaide Hellas (Australia),Western Suburbs (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
South Melbourne FC,Heidelberg United,1977-04-11,1,1,F,australia,South Melbourne FC (Australia),Heidelberg United (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Heidelberg United,Mooroolbark FC,1977-04-17,2,0,F,australia,Heidelberg United (Australia),Mooroolbark FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
St George FC,Marconi Stallions,1977-04-17,1,3,F,australia,St George FC (Australia),Marconi Stallions (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Adelaide City FC,Canberra City,1977-04-18,2,0,F,australia,Adelaide City FC (Australia),Canberra City (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Brisbane City FC,Hakoah Sydney City East,1977-04-18,0,0,F,australia,Brisbane City FC (Australia),Hakoah Sydney City East (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Footscray Just,South Melbourne FC,1977-04-18,2,2,F,australia,Footscray Just (Australia),South Melbourne FC (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Sydney Olympic,West Adelaide Hellas,1977-04-18,0,4,F,australia,Sydney Olympic (Australia),West Adelaide Hellas (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Western Suburbs,Brisbane Roar,1977-04-18,3,0,F,australia,Western Suburbs (Australia),Brisbane Roar (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
Canberra City,Western Suburbs,1977-04-24,0,3,F,australia,Canberra City (Australia),Western Suburbs (Australia),australia,australia,AU,AU,Oceania,Oceania,Oceania,national
