home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Austria Wien,FC Wien,1945-09-01,10,2,F,austria,Austria Wien (Austria),FC Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Rapid Oberlaa,Sportclub,1945-09-01,0,7,F,austria,SC Rapid Oberlaa (Austria),Sportclub (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Ostbahn XI,Rapid Wien,1945-09-02,1,9,F,austria,SC Ostbahn XI (Austria),Rapid Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Wiener AC,First Vienna FC,1945-09-02,4,2,F,austria,Wiener AC (Austria),First Vienna FC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Favoritner AC,SPC Helfort 15,1945-09-02,4,1,F,austria,Favoritner AC (Austria),SPC Helfort 15 (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Wacker Wien,SK Admira Vienna,1945-09-02,2,0,F,austria,SC Wacker Wien (Austria),SK Admira Vienna (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SPC Helfort 15,SC Ostbahn XI,1945-09-08,2,1,F,austria,SPC Helfort 15 (Austria),SC Ostbahn XI (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Sportclub,Austria Wien,1945-09-09,2,2,F,austria,Sportclub (Austria),Austria Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
FC Wien,Favoritner AC,1945-09-09,3,3,F,austria,FC Wien (Austria),Favoritner AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Rapid Wien,Wiener AC,1945-09-09,4,1,F,austria,Rapid Wien (Austria),Wiener AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Wacker Wien,SC Rapid Oberlaa,1945-09-09,4,2,F,austria,SC Wacker Wien (Austria),SC Rapid Oberlaa (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
First Vienna FC,SK Admira Vienna,1945-09-09,2,1,F,austria,First Vienna FC (Austria),SK Admira Vienna (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
First Vienna FC,SC Rapid Oberlaa,1945-09-15,8,0,F,austria,First Vienna FC (Austria),SC Rapid Oberlaa (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Wacker Wien,Sportclub,1945-09-15,0,0,F,austria,SC Wacker Wien (Austria),Sportclub (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Favoritner AC,Austria Wien,1945-09-16,2,9,F,austria,Favoritner AC (Austria),Austria Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SK Admira Vienna,Rapid Wien,1945-09-16,1,2,F,austria,SK Admira Vienna (Austria),Rapid Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Ostbahn XI,FC Wien,1945-09-16,1,4,F,austria,SC Ostbahn XI (Austria),FC Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Wiener AC,SPC Helfort 15,1945-09-16,3,1,F,austria,Wiener AC (Austria),SPC Helfort 15 (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Sportclub,Favoritner AC,1945-09-16,3,2,F,austria,Sportclub (Austria),Favoritner AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
First Vienna FC,SC Wacker Wien,1945-09-16,1,1,F,austria,First Vienna FC (Austria),SC Wacker Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Austria Wien,SC Ostbahn XI,1945-09-16,14,0,F,austria,Austria Wien (Austria),SC Ostbahn XI (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SPC Helfort 15,SK Admira Vienna,1945-09-16,3,3,F,austria,SPC Helfort 15 (Austria),SK Admira Vienna (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
FC Wien,Wiener AC,1945-09-16,2,1,F,austria,FC Wien (Austria),Wiener AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Rapid Wien,SC Rapid Oberlaa,1945-09-16,5,1,F,austria,Rapid Wien (Austria),SC Rapid Oberlaa (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Rapid Oberlaa,SPC Helfort 15,1945-09-29,1,1,F,austria,SC Rapid Oberlaa (Austria),SPC Helfort 15 (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Ostbahn XI,Favoritner AC,1945-09-29,0,5,F,austria,SC Ostbahn XI (Austria),Favoritner AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
First Vienna FC,Sportclub,1945-09-30,3,4,F,austria,First Vienna FC (Austria),Sportclub (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Wacker Wien,Rapid Wien,1945-09-30,3,3,F,austria,SC Wacker Wien (Austria),Rapid Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Wiener AC,Austria Wien,1945-09-30,1,4,F,austria,Wiener AC (Austria),Austria Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SK Admira Vienna,FC Wien,1945-09-30,5,2,F,austria,SK Admira Vienna (Austria),FC Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Rapid Wien,First Vienna FC,1945-10-07,0,3,F,austria,Rapid Wien (Austria),First Vienna FC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
FC Wien,SC Rapid Oberlaa,1945-10-07,4,1,F,austria,FC Wien (Austria),SC Rapid Oberlaa (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SPC Helfort 15,SC Wacker Wien,1945-10-07,3,5,F,austria,SPC Helfort 15 (Austria),SC Wacker Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Austria Wien,SK Admira Vienna,1945-10-07,9,1,F,austria,Austria Wien (Austria),SK Admira Vienna (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Sportclub,SC Ostbahn XI,1945-10-07,14,0,F,austria,Sportclub (Austria),SC Ostbahn XI (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SC Rapid Oberlaa,Austria Wien,1945-10-13,0,3,F,austria,SC Rapid Oberlaa (Austria),Austria Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
SK Admira Vienna,Favoritner AC,1945-10-14,1,3,F,austria,SK Admira Vienna (Austria),Favoritner AC (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
Sportclub,Rapid Wien,1945-10-14,1,5,F,austria,Sportclub (Austria),Rapid Wien (Austria),austria,austria,AT,AT,Europe,Europe,Europe,national
