home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
PFK Turan Tavuz,FC Dinamo Baku,2000-03-03,2,1,F,azerbaijan,PFK Turan Tavuz (Azerbaijan),FC Dinamo Baku (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shafa,Khazar Lankaran,2000-03-04,0,1,F,azerbaijan,FK Shafa (Azerbaijan),Khazar Lankaran (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Vilash,Shamkir FK,2000-03-04,1,1,F,azerbaijan,FC Vilash (Azerbaijan),Shamkir FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Neftci PFK,Qarabag FK,2000-03-04,3,0,F,azerbaijan,Neftci PFK (Azerbaijan),Qarabag FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shahdagh Gusar,FK Moik Baki,2000-03-07,2,0,F,azerbaijan,FK Shahdagh Gusar (Azerbaijan),FK Moik Baki (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Khazar Lankaran,FK Kapaz,2000-03-08,3,0,F,azerbaijan,Khazar Lankaran (Azerbaijan),FK Kapaz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Qarabag FK,FC Vilash,2000-03-08,0,1,F,azerbaijan,Qarabag FK (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,FK Shafa,2000-03-08,2,1,F,azerbaijan,Shamkir FK (Azerbaijan),FK Shafa (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,Mkt Araz Imisli,2000-03-08,3,0,F,azerbaijan,FC Dinamo Baku (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Vilash,FC Dinamo Baku,2000-03-11,2,1,F,azerbaijan,FC Vilash (Azerbaijan),FC Dinamo Baku (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shafa,Qarabag FK,2000-03-11,2,1,F,azerbaijan,FK Shafa (Azerbaijan),Qarabag FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
PFK Turan Tavuz,Neftci PFK,2000-03-11,1,2,F,azerbaijan,PFK Turan Tavuz (Azerbaijan),Neftci PFK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Kapaz,Shamkir FK,2000-03-11,0,3,F,azerbaijan,FK Kapaz (Azerbaijan),Shamkir FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Moik Baki,Shamkir FK,2000-03-13,0,1,F,azerbaijan,FK Moik Baki (Azerbaijan),Shamkir FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,Khazar Lankaran,2000-03-17,5,0,F,azerbaijan,Shamkir FK (Azerbaijan),Khazar Lankaran (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Qarabag FK,FK Kapaz,2000-03-18,2,1,F,azerbaijan,Qarabag FK (Azerbaijan),FK Kapaz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,FK Shafa,2000-03-18,0,1,F,azerbaijan,FC Dinamo Baku (Azerbaijan),FK Shafa (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Mkt Araz Imisli,PFK Turan Tavuz,2000-03-31,1,1,F,azerbaijan,Mkt Araz Imisli (Azerbaijan),PFK Turan Tavuz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Khazar Lankaran,Qarabag FK,2000-03-31,0,0,F,azerbaijan,Khazar Lankaran (Azerbaijan),Qarabag FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Kapaz,FC Dinamo Baku,2000-04-01,1,2,F,azerbaijan,FK Kapaz (Azerbaijan),FC Dinamo Baku (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Neftci PFK,FK Shafa,2000-04-05,3,1,F,azerbaijan,Neftci PFK (Azerbaijan),FK Shafa (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Qarabag FK,Shamkir FK,2000-04-05,0,1,F,azerbaijan,Qarabag FK (Azerbaijan),Shamkir FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
PFK Turan Tavuz,FC Vilash,2000-04-06,0,0,F,azerbaijan,PFK Turan Tavuz (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,Khazar Lankaran,2000-04-06,1,2,F,azerbaijan,FC Dinamo Baku (Azerbaijan),Khazar Lankaran (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Neftci PFK,FC Vilash,2000-04-11,0,0,F,azerbaijan,Neftci PFK (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Mkt Araz Imisli,Qarabag FK,2000-04-12,0,0,F,azerbaijan,Mkt Araz Imisli (Azerbaijan),Qarabag FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Vilash,Mkt Araz Imisli,2000-04-14,2,1,F,azerbaijan,FC Vilash (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Kapaz,Neftci PFK,2000-04-15,1,3,F,azerbaijan,FK Kapaz (Azerbaijan),Neftci PFK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,FC Dinamo Baku,2000-04-15,3,1,F,azerbaijan,Shamkir FK (Azerbaijan),FC Dinamo Baku (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shafa,PFK Turan Tavuz,2000-04-15,0,0,F,azerbaijan,FK Shafa (Azerbaijan),PFK Turan Tavuz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,Qarabag FK,2000-04-18,2,4,F,azerbaijan,FC Dinamo Baku (Azerbaijan),Qarabag FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Mkt Araz Imisli,FK Shafa,2000-04-18,0,4,F,azerbaijan,Mkt Araz Imisli (Azerbaijan),FK Shafa (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Neftci PFK,Khazar Lankaran,2000-04-19,7,2,F,azerbaijan,Neftci PFK (Azerbaijan),Khazar Lankaran (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
PFK Turan Tavuz,FK Kapaz,2000-04-19,3,0,F,azerbaijan,PFK Turan Tavuz (Azerbaijan),FK Kapaz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Kapaz,Mkt Araz Imisli,2000-04-23,6,0,F,azerbaijan,FK Kapaz (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,Neftci PFK,2000-04-24,2,0,F,azerbaijan,Shamkir FK (Azerbaijan),Neftci PFK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shafa,FC Vilash,2000-04-24,1,0,F,azerbaijan,FK Shafa (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Khazar Lankaran,PFK Turan Tavuz,2000-04-24,1,0,F,azerbaijan,Khazar Lankaran (Azerbaijan),PFK Turan Tavuz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Neftci PFK,Mkt Araz Imisli,2000-04-26,6,0,F,azerbaijan,Neftci PFK (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Mkt Araz Imisli,Khazar Lankaran,2000-04-29,2,0,F,azerbaijan,Mkt Araz Imisli (Azerbaijan),Khazar Lankaran (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Vilash,FK Kapaz,2000-04-29,2,0,F,azerbaijan,FC Vilash (Azerbaijan),FK Kapaz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
PFK Turan Tavuz,Shamkir FK,2000-04-29,1,2,F,azerbaijan,PFK Turan Tavuz (Azerbaijan),Shamkir FK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,Neftci PFK,2000-05-05,0,2,F,azerbaijan,FC Dinamo Baku (Azerbaijan),Neftci PFK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Qarabag FK,PFK Turan Tavuz,2000-05-05,1,5,F,azerbaijan,Qarabag FK (Azerbaijan),PFK Turan Tavuz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Khazar Lankaran,FC Vilash,2000-05-05,2,0,F,azerbaijan,Khazar Lankaran (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,Mkt Araz Imisli,2000-05-05,4,0,F,azerbaijan,Shamkir FK (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Kapaz,FK Shafa,2000-05-05,2,3,F,azerbaijan,FK Kapaz (Azerbaijan),FK Shafa (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FC Dinamo Baku,PFK Turan Tavuz,2000-08-05,4,1,F,azerbaijan,FC Dinamo Baku (Azerbaijan),PFK Turan Tavuz (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Qarabag FK,Mkt Araz Imisli,2000-08-05,1,0,F,azerbaijan,Qarabag FK (Azerbaijan),Mkt Araz Imisli (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
FK Shahdagh Gusar,Neftci PFK,2000-08-05,0,3,F,azerbaijan,FK Shahdagh Gusar (Azerbaijan),Neftci PFK (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
Shamkir FK,FC Vilash,2000-08-06,0,1,F,azerbaijan,Shamkir FK (Azerbaijan),FC Vilash (Azerbaijan),azerbaijan,azerbaijan,AZ,AZ,Europe,Europe,Europe,national
