home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
United FC,FC Nassau,2007-02-25,0,3,F,bahamas,United FC (Bahamas),FC Nassau (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Thistle,Bears FC,2007-02-25,0,8,F,bahamas,Caledonia Thistle (Bahamas),Bears FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Cavalier FC,Dynamos FC,2007-02-25,5,0,F,bahamas,Cavalier FC (Bahamas),Dynamos FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Bears FC,Cavalier FC,2007-03-04,1,1,F,bahamas,Bears FC (Bahamas),Cavalier FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Celtic,United FC,2007-03-04,1,1,F,bahamas,Caledonia Celtic (Bahamas),United FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
FC Nassau,Dynamos FC,2007-03-04,2,1,F,bahamas,FC Nassau (Bahamas),Dynamos FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Bears FC,United FC,2007-03-11,3,1,F,bahamas,Bears FC (Bahamas),United FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Cavalier FC,FC Nassau,2007-03-11,1,0,F,bahamas,Cavalier FC (Bahamas),FC Nassau (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Thistle,Caledonia Celtic,2007-03-11,0,4,F,bahamas,Caledonia Thistle (Bahamas),Caledonia Celtic (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
FC Nassau,Bears FC,2007-03-18,1,5,F,bahamas,FC Nassau (Bahamas),Bears FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Celtic,Dynamos FC,2007-03-18,5,0,F,bahamas,Caledonia Celtic (Bahamas),Dynamos FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
United FC,Caledonia Thistle,2007-03-18,3,1,F,bahamas,United FC (Bahamas),Caledonia Thistle (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Celtic,Cavalier FC,2007-03-25,3,0,F,bahamas,Caledonia Celtic (Bahamas),Cavalier FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Caledonia Thistle,FC Nassau,2007-03-25,0,5,F,bahamas,Caledonia Thistle (Bahamas),FC Nassau (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Dynamos FC,United FC,2007-03-25,0,6,F,bahamas,Dynamos FC (Bahamas),United FC (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
Bears FC,Caledonia Celtic,2007-04-01,3,0,F,bahamas,Bears FC (Bahamas),Caledonia Celtic (Bahamas),bahamas,bahamas,BS,BS,North America,North America,North America,national
