home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Al Muharraq,Sitra,2003-02-06,3,0,F,bahrain,Al Muharraq (Bahrain),Sitra (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ahli,Al Ittifaq Maqaba,2003-02-06,3,1,F,bahrain,Al Ahli (Bahrain),Al Ittifaq Maqaba (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Najma,Al Ittihad,2003-02-07,1,2,F,bahrain,Al Najma (Bahrain),Al Ittihad (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Hala Muharraq,Budaiya,2003-02-07,0,0,F,bahrain,Al Hala Muharraq (Bahrain),Budaiya (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Sahel,East Riffa Club,2003-02-07,1,2,F,bahrain,Al Sahel (Bahrain),East Riffa Club (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Shabab,Bahrain FC Manama,2003-02-08,2,2,F,bahrain,Al Shabab (Bahrain),Bahrain FC Manama (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Manama,Isa Town FC,2003-02-08,0,2,F,bahrain,Manama (Bahrain),Isa Town FC (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Tadamun Buri,Malkiya Club,2003-02-08,1,2,F,bahrain,Al Tadamun Buri (Bahrain),Malkiya Club (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Riffa,Busaiteen,2003-02-08,2,2,F,bahrain,Riffa (Bahrain),Busaiteen (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Hala Muharraq,Al Ittifaq Maqaba,2003-02-13,2,1,F,bahrain,Al Hala Muharraq (Bahrain),Al Ittifaq Maqaba (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Manama,Sitra,2003-02-13,1,3,F,bahrain,Manama (Bahrain),Sitra (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Busaiteen,Al Ittihad,2003-02-13,3,1,F,bahrain,Busaiteen (Bahrain),Al Ittihad (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ahli,Malkiya Club,2003-02-13,2,1,F,bahrain,Al Ahli (Bahrain),Malkiya Club (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Muharraq,Al Najma,2003-02-13,1,0,F,bahrain,Al Muharraq (Bahrain),Al Najma (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
East Riffa Club,Budaiya,2003-02-14,0,0,F,bahrain,East Riffa Club (Bahrain),Budaiya (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Isa Town FC,Al Shabab,2003-02-14,1,1,F,bahrain,Isa Town FC (Bahrain),Al Shabab (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Riffa,Al Sahel,2003-02-14,3,2,F,bahrain,Riffa (Bahrain),Al Sahel (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Bahrain FC Manama,Al Tadamun Buri,2003-02-14,0,1,F,bahrain,Bahrain FC Manama (Bahrain),Al Tadamun Buri (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Hala Muharraq,Al Muharraq,2003-02-18,1,1,F,bahrain,Al Hala Muharraq (Bahrain),Al Muharraq (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Manama,Al Najma,2003-02-18,1,1,F,bahrain,Manama (Bahrain),Al Najma (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ahli,East Riffa Club,2003-02-19,1,0,F,bahrain,Al Ahli (Bahrain),East Riffa Club (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Malkiya Club,Al Ittifaq Maqaba,2003-02-19,4,1,F,bahrain,Malkiya Club (Bahrain),Al Ittifaq Maqaba (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Busaiteen,Sitra,2003-02-19,2,0,F,bahrain,Busaiteen (Bahrain),Sitra (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Shabab,Al Ittihad,2003-02-19,1,0,F,bahrain,Al Shabab (Bahrain),Al Ittihad (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Isa Town FC,Al Sahel,2003-02-20,6,0,F,bahrain,Isa Town FC (Bahrain),Al Sahel (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Riffa,Al Tadamun Buri,2003-02-20,1,0,F,bahrain,Riffa (Bahrain),Al Tadamun Buri (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Bahrain FC Manama,Budaiya,2003-02-20,1,1,F,bahrain,Bahrain FC Manama (Bahrain),Budaiya (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Shabab,Sitra,2003-02-26,3,2,F,bahrain,Al Shabab (Bahrain),Sitra (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Isa Town FC,Al Tadamun Buri,2003-02-26,2,4,F,bahrain,Isa Town FC (Bahrain),Al Tadamun Buri (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Malkiya Club,Al Hala Muharraq,2003-02-26,1,1,F,bahrain,Malkiya Club (Bahrain),Al Hala Muharraq (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Riffa,Budaiya,2003-02-27,0,0,F,bahrain,Riffa (Bahrain),Budaiya (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ittihad,Al Sahel,2003-02-27,1,1,F,bahrain,Al Ittihad (Bahrain),Al Sahel (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ahli,Bahrain FC Manama,2003-02-27,2,1,F,bahrain,Al Ahli (Bahrain),Bahrain FC Manama (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Najma,Busaiteen,2003-02-27,1,2,F,bahrain,Al Najma (Bahrain),Busaiteen (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ahli,Al Hala Muharraq,2003-03-03,5,2,F,bahrain,Al Ahli (Bahrain),Al Hala Muharraq (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
Al Ittihad,Manama,2003-03-03,0,0,F,bahrain,Al Ittihad (Bahrain),Manama (Bahrain),bahrain,bahrain,BH,BH,Asia,Asia,Asia,national
