home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Bangladesh Muktijoddha Sangsad Kc,Abahani Ltd,2007-03-02,0,0,F,bangladesh,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),Abahani Ltd (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Brothers Union,Chittagong Abahani,2007-03-03,3,0,F,bangladesh,Brothers Union (Bangladesh),Chittagong Abahani (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Khulna Abahani Kc,Rahmatgonj Mfs,2007-03-03,2,0,F,bangladesh,Khulna Abahani Kc (Bangladesh),Rahmatgonj Mfs (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Sheikh Russel Kc,Chittagong Mohammedan,2007-03-06,2,1,F,bangladesh,Sheikh Russel Kc (Bangladesh),Chittagong Mohammedan (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Arambagh KS,Mohammedan SC Dhaka,2007-03-07,0,1,F,bangladesh,Arambagh KS (Bangladesh),Mohammedan SC Dhaka (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Chittagong Abahani,Khulna Abahani Kc,2007-03-09,2,0,F,bangladesh,Chittagong Abahani (Bangladesh),Khulna Abahani Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Farashganj SC,Brothers Union,2007-03-09,0,0,F,bangladesh,Farashganj SC (Bangladesh),Brothers Union (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Chittagong Mohammedan,Bangladesh Muktijoddha Sangsad Kc,2007-03-10,1,0,F,bangladesh,Chittagong Mohammedan (Bangladesh),Bangladesh Muktijoddha Sangsad Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Mohammedan SC Dhaka,Sheikh Russel Kc,2007-03-13,1,1,F,bangladesh,Mohammedan SC Dhaka (Bangladesh),Sheikh Russel Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Rahmatgonj Mfs,Arambagh KS,2007-03-14,0,0,F,bangladesh,Rahmatgonj Mfs (Bangladesh),Arambagh KS (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Abahani Ltd,Chittagong Mohammedan,2007-03-16,0,0,F,bangladesh,Abahani Ltd (Bangladesh),Chittagong Mohammedan (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Khulna Abahani Kc,Farashganj SC,2007-03-16,0,1,F,bangladesh,Khulna Abahani Kc (Bangladesh),Farashganj SC (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Bangladesh Muktijoddha Sangsad Kc,Mohammedan SC Dhaka,2007-03-17,1,0,F,bangladesh,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),Mohammedan SC Dhaka (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Arambagh KS,Chittagong Abahani,2007-03-20,2,0,F,bangladesh,Arambagh KS (Bangladesh),Chittagong Abahani (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Sheikh Russel Kc,Rahmatgonj Mfs,2007-03-21,2,0,F,bangladesh,Sheikh Russel Kc (Bangladesh),Rahmatgonj Mfs (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Brothers Union,Khulna Abahani Kc,2007-03-23,2,4,F,bangladesh,Brothers Union (Bangladesh),Khulna Abahani Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Mohammedan SC Dhaka,Abahani Ltd,2007-03-24,0,1,F,bangladesh,Mohammedan SC Dhaka (Bangladesh),Abahani Ltd (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Rahmatgonj Mfs,Bangladesh Muktijoddha Sangsad Kc,2007-03-27,1,4,F,bangladesh,Rahmatgonj Mfs (Bangladesh),Bangladesh Muktijoddha Sangsad Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Chittagong Abahani,Sheikh Russel Kc,2007-03-27,0,3,F,bangladesh,Chittagong Abahani (Bangladesh),Sheikh Russel Kc (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Farashganj SC,Arambagh KS,2007-03-28,0,2,F,bangladesh,Farashganj SC (Bangladesh),Arambagh KS (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Abahani Ltd,Rahmatgonj Mfs,2007-03-30,1,0,F,bangladesh,Abahani Ltd (Bangladesh),Rahmatgonj Mfs (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Chittagong Mohammedan,Mohammedan SC Dhaka,2007-03-30,0,0,F,bangladesh,Chittagong Mohammedan (Bangladesh),Mohammedan SC Dhaka (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Bangladesh Muktijoddha Sangsad Kc,Chittagong Abahani,2007-03-31,4,0,F,bangladesh,Bangladesh Muktijoddha Sangsad Kc (Bangladesh),Chittagong Abahani (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Arambagh KS,Brothers Union,2007-04-03,1,3,F,bangladesh,Arambagh KS (Bangladesh),Brothers Union (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Sheikh Russel Kc,Farashganj SC,2007-04-04,0,0,F,bangladesh,Sheikh Russel Kc (Bangladesh),Farashganj SC (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Rahmatgonj Mfs,Chittagong Mohammedan,2007-04-06,0,2,F,bangladesh,Rahmatgonj Mfs (Bangladesh),Chittagong Mohammedan (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Chittagong Abahani,Abahani Ltd,2007-04-06,0,2,F,bangladesh,Chittagong Abahani (Bangladesh),Abahani Ltd (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
Khulna Abahani Kc,Arambagh KS,2007-04-07,1,3,F,bangladesh,Khulna Abahani Kc (Bangladesh),Arambagh KS (Bangladesh),bangladesh,bangladesh,BD,BD,Asia,Asia,Asia,national
