home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Saint Johns Sonnets FC,First Call Brittons Hill,2003-01-18,1,1,F,barbados,Saint Johns Sonnets FC (Barbados),First Call Brittons Hill (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Benfica,Tropical Laundries Pride Of Gall Hill,2003-01-18,0,3,F,barbados,Benfica (Barbados),Tropical Laundries Pride Of Gall Hill (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Ellerton FC,Arawak Cement Youth Milan,2003-01-19,1,3,F,barbados,Ellerton FC (Barbados),Arawak Cement Youth Milan (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Ajax Construction Silver Sands,Caribsurf Paradise,2003-01-19,2,0,F,barbados,Ajax Construction Silver Sands (Barbados),Caribsurf Paradise (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Ivy Rovers,Claytons Kola Tonic Notre Dame,2003-01-19,1,2,F,barbados,Ivy Rovers (Barbados),Claytons Kola Tonic Notre Dame (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Haynesville,Barbados Defence Force,2003-01-22,1,3,F,barbados,Haynesville (Barbados),Barbados Defence Force (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Caribsurf Paradise,Ivy Rovers,2003-01-22,3,1,F,barbados,Caribsurf Paradise (Barbados),Ivy Rovers (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Benfica,Haynesville,2003-01-25,2,1,F,barbados,Benfica (Barbados),Haynesville (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Saint Johns Sonnets FC,Ajax Construction Silver Sands,2003-01-25,2,4,F,barbados,Saint Johns Sonnets FC (Barbados),Ajax Construction Silver Sands (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Tropical Laundries Pride Of Gall Hill,Arawak Cement Youth Milan,2003-01-28,1,1,F,barbados,Tropical Laundries Pride Of Gall Hill (Barbados),Arawak Cement Youth Milan (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
First Call Brittons Hill,Claytons Kola Tonic Notre Dame,2003-01-28,0,4,F,barbados,First Call Brittons Hill (Barbados),Claytons Kola Tonic Notre Dame (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Claytons Kola Tonic Notre Dame,Saint Johns Sonnets FC,2003-02-01,0,0,F,barbados,Claytons Kola Tonic Notre Dame (Barbados),Saint Johns Sonnets FC (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
Ellerton FC,Haynesville,2003-02-01,2,3,F,barbados,Ellerton FC (Barbados),Haynesville (Barbados),barbados,barbados,BB,BB,North America,North America,North America,national
