home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
FK Rechytsa 2014,FK Gomel,1992-04-18,1,1,F,belarus,FK Rechytsa 2014 (Belarus),FK Gomel (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Minsk,FK Starye Dorogi,1992-04-18,3,1,F,belarus,Torpedo Minsk (Belarus),FK Starye Dorogi (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Shakhter Soligorsk,Lokomotiv Vitebsk Old,1992-04-18,4,0,F,belarus,Shakhter Soligorsk (Belarus),Lokomotiv Vitebsk Old (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Neman Grodno,FK Lida,1992-04-18,1,0,F,belarus,Neman Grodno (Belarus),FK Lida (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Belaz Zhodino,FK Vitebsk,1992-04-18,1,3,F,belarus,Torpedo Belaz Zhodino (Belarus),FK Vitebsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Brest,Torpedo Mogilev,1992-04-18,1,1,F,belarus,Dinamo Brest (Belarus),Torpedo Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dnepr Mogilev,FK Bobruisk,1992-04-18,0,1,F,belarus,Dnepr Mogilev (Belarus),FK Bobruisk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Minsk,FK Molodechno,1992-04-18,0,0,F,belarus,Dinamo Minsk (Belarus),FK Molodechno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Bobruisk,Neman Grodno,1992-04-25,1,0,F,belarus,FK Bobruisk (Belarus),Neman Grodno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Starye Dorogi,Torpedo Belaz Zhodino,1992-04-25,2,1,F,belarus,FK Starye Dorogi (Belarus),Torpedo Belaz Zhodino (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Lokomotiv Vitebsk Old,Dnepr Mogilev,1992-04-25,0,3,F,belarus,Lokomotiv Vitebsk Old (Belarus),Dnepr Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Lida,Torpedo Minsk,1992-04-25,0,0,F,belarus,FK Lida (Belarus),Torpedo Minsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Mogilev,FK Rechytsa 2014,1992-04-25,1,1,F,belarus,Torpedo Mogilev (Belarus),FK Rechytsa 2014 (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Vitebsk,Dinamo Brest,1992-04-25,1,0,F,belarus,FK Vitebsk (Belarus),Dinamo Brest (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Molodechno,FK Gomel,1992-04-25,1,1,F,belarus,FK Molodechno (Belarus),FK Gomel (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Minsk,Shakhter Soligorsk,1992-04-25,2,1,F,belarus,Dinamo Minsk (Belarus),Shakhter Soligorsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Minsk,FK Bobruisk,1992-04-29,0,0,F,belarus,Torpedo Minsk (Belarus),FK Bobruisk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Neman Grodno,Lokomotiv Vitebsk Old,1992-04-29,4,1,F,belarus,Neman Grodno (Belarus),Lokomotiv Vitebsk Old (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dnepr Mogilev,Dinamo Minsk,1992-04-29,0,1,F,belarus,Dnepr Mogilev (Belarus),Dinamo Minsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Rechytsa 2014,FK Vitebsk,1992-04-29,3,1,F,belarus,FK Rechytsa 2014 (Belarus),FK Vitebsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Gomel,Torpedo Mogilev,1992-04-29,0,0,F,belarus,FK Gomel (Belarus),Torpedo Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Belaz Zhodino,FK Lida,1992-04-29,1,0,F,belarus,Torpedo Belaz Zhodino (Belarus),FK Lida (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Shakhter Soligorsk,FK Molodechno,1992-04-29,0,3,F,belarus,Shakhter Soligorsk (Belarus),FK Molodechno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Brest,FK Starye Dorogi,1992-04-29,3,0,F,belarus,Dinamo Brest (Belarus),FK Starye Dorogi (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Bobruisk,Torpedo Belaz Zhodino,1992-05-02,1,0,F,belarus,FK Bobruisk (Belarus),Torpedo Belaz Zhodino (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Starye Dorogi,FK Rechytsa 2014,1992-05-02,2,0,F,belarus,FK Starye Dorogi (Belarus),FK Rechytsa 2014 (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Lokomotiv Vitebsk Old,Torpedo Minsk,1992-05-02,2,1,F,belarus,Lokomotiv Vitebsk Old (Belarus),Torpedo Minsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Shakhter Soligorsk,Dnepr Mogilev,1992-05-02,0,2,F,belarus,Shakhter Soligorsk (Belarus),Dnepr Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Molodechno,Torpedo Mogilev,1992-05-02,2,3,F,belarus,FK Molodechno (Belarus),Torpedo Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Vitebsk,FK Gomel,1992-05-02,5,0,F,belarus,FK Vitebsk (Belarus),FK Gomel (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Lida,Dinamo Brest,1992-05-02,0,2,F,belarus,FK Lida (Belarus),Dinamo Brest (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Minsk,Neman Grodno,1992-05-02,6,0,F,belarus,Dinamo Minsk (Belarus),Neman Grodno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Minsk,Dinamo Minsk,1992-05-06,0,3,F,belarus,Torpedo Minsk (Belarus),Dinamo Minsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Mogilev,FK Vitebsk,1992-05-06,0,0,F,belarus,Torpedo Mogilev (Belarus),FK Vitebsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Torpedo Belaz Zhodino,Lokomotiv Vitebsk Old,1992-05-06,2,1,F,belarus,Torpedo Belaz Zhodino (Belarus),Lokomotiv Vitebsk Old (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Rechytsa 2014,FK Lida,1992-05-06,1,0,F,belarus,FK Rechytsa 2014 (Belarus),FK Lida (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Gomel,FK Starye Dorogi,1992-05-06,1,0,F,belarus,FK Gomel (Belarus),FK Starye Dorogi (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dnepr Mogilev,FK Molodechno,1992-05-06,3,0,F,belarus,Dnepr Mogilev (Belarus),FK Molodechno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Neman Grodno,Shakhter Soligorsk,1992-05-06,3,0,F,belarus,Neman Grodno (Belarus),Shakhter Soligorsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Brest,FK Bobruisk,1992-05-06,2,0,F,belarus,Dinamo Brest (Belarus),FK Bobruisk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Bobruisk,FK Rechytsa 2014,1992-05-09,2,1,F,belarus,FK Bobruisk (Belarus),FK Rechytsa 2014 (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Starye Dorogi,Torpedo Mogilev,1992-05-09,2,2,F,belarus,FK Starye Dorogi (Belarus),Torpedo Mogilev (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Lokomotiv Vitebsk Old,Dinamo Brest,1992-05-09,1,4,F,belarus,Lokomotiv Vitebsk Old (Belarus),Dinamo Brest (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Shakhter Soligorsk,Torpedo Minsk,1992-05-09,0,1,F,belarus,Shakhter Soligorsk (Belarus),Torpedo Minsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Molodechno,FK Vitebsk,1992-05-09,1,0,F,belarus,FK Molodechno (Belarus),FK Vitebsk (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
FK Lida,FK Gomel,1992-05-09,4,1,F,belarus,FK Lida (Belarus),FK Gomel (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dnepr Mogilev,Neman Grodno,1992-05-09,2,0,F,belarus,Dnepr Mogilev (Belarus),Neman Grodno (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
Dinamo Minsk,Torpedo Belaz Zhodino,1992-05-09,8,1,F,belarus,Dinamo Minsk (Belarus),Torpedo Belaz Zhodino (Belarus),belarus,belarus,BY,BY,Europe,Europe,Europe,national
