home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Athletic Running Bruxelles,Skill Bruxelles,1900-10-21,2,2,FALSE,belgium,Athletic Running Bruxelles (Belgium),Skill Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
K Beerschot Vac,Cercle Brugge,1900-10-21,10,2,FALSE,belgium,K Beerschot Vac (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RFC De Liege,Royal Leopold Uccle FC,1900-10-21,3,1,FALSE,belgium,RFC De Liege (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Racing Bruxelles,Club Brugge KV,1900-10-21,5,0,FALSE,belgium,Racing Bruxelles (Belgium),Club Brugge KV (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,RCS Vervietois,1900-10-28,2,3,FALSE,belgium,Club Brugge KV (Belgium),RCS Vervietois (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Cercle Brugge,Racing Bruxelles,1900-10-28,1,2,FALSE,belgium,Cercle Brugge (Belgium),Racing Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Royal Leopold Uccle FC,Athletic Running Bruxelles,1900-10-28,3,5,FALSE,belgium,Royal Leopold Uccle FC (Belgium),Athletic Running Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Skill Bruxelles,K Beerschot Vac,1900-10-28,3,3,FALSE,belgium,Skill Bruxelles (Belgium),K Beerschot Vac (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Athletic Running Bruxelles,K Beerschot Vac,1900-11-04,3,1,FALSE,belgium,Athletic Running Bruxelles (Belgium),K Beerschot Vac (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Cercle Brugge,Club Brugge KV,1900-11-04,0,0,FALSE,belgium,Cercle Brugge (Belgium),Club Brugge KV (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Royal Leopold Uccle FC,Skill Bruxelles,1900-11-04,3,1,FALSE,belgium,Royal Leopold Uccle FC (Belgium),Skill Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RCS Vervietois,RFC De Liege,1900-11-04,2,1,FALSE,belgium,RCS Vervietois (Belgium),RFC De Liege (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
K Beerschot Vac,Racing Bruxelles,1900-11-11,2,2,FALSE,belgium,K Beerschot Vac (Belgium),Racing Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RFC De Liege,Athletic Running Bruxelles,1900-11-11,3,2,FALSE,belgium,RFC De Liege (Belgium),Athletic Running Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Skill Bruxelles,Cercle Brugge,1900-11-11,7,0,FALSE,belgium,Skill Bruxelles (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RCS Vervietois,Royal Leopold Uccle FC,1900-11-11,1,4,FALSE,belgium,RCS Vervietois (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Athletic Running Bruxelles,Cercle Brugge,1900-11-18,6,0,FALSE,belgium,Athletic Running Bruxelles (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,RFC De Liege,1900-11-18,2,2,FALSE,belgium,Club Brugge KV (Belgium),RFC De Liege (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Royal Leopold Uccle FC,K Beerschot Vac,1900-11-18,3,2,FALSE,belgium,Royal Leopold Uccle FC (Belgium),K Beerschot Vac (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Racing Bruxelles,RCS Vervietois,1900-11-18,8,0,FALSE,belgium,Racing Bruxelles (Belgium),RCS Vervietois (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Athletic Running Bruxelles,Racing Bruxelles,1900-11-25,1,1,FALSE,belgium,Athletic Running Bruxelles (Belgium),Racing Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
K Beerschot Vac,Club Brugge KV,1900-11-25,2,0,FALSE,belgium,K Beerschot Vac (Belgium),Club Brugge KV (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Cercle Brugge,RCS Vervietois,1900-11-25,1,2,FALSE,belgium,Cercle Brugge (Belgium),RCS Vervietois (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RFC De Liege,Skill Bruxelles,1900-11-25,2,0,FALSE,belgium,RFC De Liege (Belgium),Skill Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,Royal Leopold Uccle FC,1900-12-02,0,1,FALSE,belgium,Club Brugge KV (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RFC De Liege,K Beerschot Vac,1900-12-02,2,4,FALSE,belgium,RFC De Liege (Belgium),K Beerschot Vac (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Skill Bruxelles,Racing Bruxelles,1900-12-02,1,4,FALSE,belgium,Skill Bruxelles (Belgium),Racing Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RCS Vervietois,Athletic Running Bruxelles,1900-12-02,2,4,FALSE,belgium,RCS Vervietois (Belgium),Athletic Running Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
K Beerschot Vac,RCS Vervietois,1900-12-09,2,0,FALSE,belgium,K Beerschot Vac (Belgium),RCS Vervietois (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Royal Leopold Uccle FC,Cercle Brugge,1900-12-09,3,1,FALSE,belgium,Royal Leopold Uccle FC (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Racing Bruxelles,RFC De Liege,1900-12-09,5,0,FALSE,belgium,Racing Bruxelles (Belgium),RFC De Liege (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Skill Bruxelles,Club Brugge KV,1900-12-09,7,0,FALSE,belgium,Skill Bruxelles (Belgium),Club Brugge KV (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,Athletic Running Bruxelles,1900-12-16,2,0,FALSE,belgium,Club Brugge KV (Belgium),Athletic Running Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Cercle Brugge,RFC De Liege,1900-12-16,4,1,FALSE,belgium,Cercle Brugge (Belgium),RFC De Liege (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Racing Bruxelles,Royal Leopold Uccle FC,1900-12-16,1,1,FALSE,belgium,Racing Bruxelles (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RCS Vervietois,Skill Bruxelles,1900-12-16,3,2,FALSE,belgium,RCS Vervietois (Belgium),Skill Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,Racing Bruxelles,1901-01-13,1,4,FALSE,belgium,Club Brugge KV (Belgium),Racing Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Cercle Brugge,K Beerschot Vac,1901-01-13,0,3,FALSE,belgium,Cercle Brugge (Belgium),K Beerschot Vac (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Royal Leopold Uccle FC,RFC De Liege,1901-01-13,6,0,FALSE,belgium,Royal Leopold Uccle FC (Belgium),RFC De Liege (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Athletic Running Bruxelles,Royal Leopold Uccle FC,1901-01-20,1,1,FALSE,belgium,Athletic Running Bruxelles (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Racing Bruxelles,Cercle Brugge,1901-01-20,4,1,FALSE,belgium,Racing Bruxelles (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
K Beerschot Vac,Athletic Running Bruxelles,1901-01-27,1,0,FALSE,belgium,K Beerschot Vac (Belgium),Athletic Running Bruxelles (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Club Brugge KV,Cercle Brugge,1901-01-27,2,2,FALSE,belgium,Club Brugge KV (Belgium),Cercle Brugge (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
RFC De Liege,RCS Vervietois,1901-01-27,3,2,FALSE,belgium,RFC De Liege (Belgium),RCS Vervietois (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
Skill Bruxelles,Royal Leopold Uccle FC,1901-01-27,2,3,FALSE,belgium,Skill Bruxelles (Belgium),Royal Leopold Uccle FC (Belgium),belgium,belgium,BE,BE,Europe,Europe,Europe,national
