home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Sagitun FC,Griga United FC,2003-07-12,2,0,F,belize,Sagitun FC (Belize),Griga United FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Belmopan Bandits Football Sporting Club,Hankook Verdes,2003-07-13,3,1,F,belize,Belmopan Bandits Football Sporting Club (Belize),Hankook Verdes (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Kulture Yabra,Suga Boys Juventus,2003-07-13,0,0,F,belize,Kulture Yabra (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Suga Boys Juventus,Jacintoville United,2003-07-18,7,1,F,belize,Suga Boys Juventus (Belize),Jacintoville United (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,Belmopan Bandits Football Sporting Club,2003-07-18,1,2,F,belize,Griga United FC (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Hankook Verdes,San Pedro Seahawks,2003-07-19,2,0,F,belize,Hankook Verdes (Belize),San Pedro Seahawks (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Kulture Yabra,Sagitun FC,2003-07-20,0,0,F,belize,Kulture Yabra (Belize),Sagitun FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Belmopan Bandits Football Sporting Club,Kulture Yabra,2003-07-26,2,1,F,belize,Belmopan Bandits Football Sporting Club (Belize),Kulture Yabra (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Sagitun FC,Suga Boys Juventus,2003-07-26,0,0,F,belize,Sagitun FC (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Jacintoville United,Hankook Verdes,2003-07-27,2,1,F,belize,Jacintoville United (Belize),Hankook Verdes (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
San Pedro Seahawks,Griga United FC,2003-07-27,2,1,F,belize,San Pedro Seahawks (Belize),Griga United FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Sagitun FC,Belmopan Bandits Football Sporting Club,2003-08-02,2,1,F,belize,Sagitun FC (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,Jacintoville United,2003-08-02,4,3,F,belize,Griga United FC (Belize),Jacintoville United (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Suga Boys Juventus,Hankook Verdes,2003-08-02,5,0,F,belize,Suga Boys Juventus (Belize),Hankook Verdes (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Kulture Yabra,San Pedro Seahawks,2003-08-03,3,1,F,belize,Kulture Yabra (Belize),San Pedro Seahawks (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
San Pedro Seahawks,Sagitun FC,2003-08-08,0,3,F,belize,San Pedro Seahawks (Belize),Sagitun FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Jacintoville United,Kulture Yabra,2003-08-08,2,4,F,belize,Jacintoville United (Belize),Kulture Yabra (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Hankook Verdes,Griga United FC,2003-08-08,1,0,F,belize,Hankook Verdes (Belize),Griga United FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Belmopan Bandits Football Sporting Club,Suga Boys Juventus,2003-08-09,0,0,F,belize,Belmopan Bandits Football Sporting Club (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Belmopan Bandits Football Sporting Club,San Pedro Seahawks,2003-08-16,2,0,F,belize,Belmopan Bandits Football Sporting Club (Belize),San Pedro Seahawks (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Sagitun FC,Jacintoville United,2003-08-16,1,1,F,belize,Sagitun FC (Belize),Jacintoville United (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Kulture Yabra,Hankook Verdes,2003-08-17,3,0,F,belize,Kulture Yabra (Belize),Hankook Verdes (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Suga Boys Juventus,Griga United FC,2003-08-17,4,3,F,belize,Suga Boys Juventus (Belize),Griga United FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,Kulture Yabra,2003-08-24,0,1,F,belize,Griga United FC (Belize),Kulture Yabra (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
San Pedro Seahawks,Suga Boys Juventus,2003-08-24,2,1,F,belize,San Pedro Seahawks (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Jacintoville United,Belmopan Bandits Football Sporting Club,2003-08-25,2,2,F,belize,Jacintoville United (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Hankook Verdes,Sagitun FC,2003-08-25,0,0,F,belize,Hankook Verdes (Belize),Sagitun FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Jacintoville United,San Pedro Seahawks,2003-08-31,0,0,F,belize,Jacintoville United (Belize),San Pedro Seahawks (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Suga Boys Juventus,Kulture Yabra,2003-08-31,0,1,F,belize,Suga Boys Juventus (Belize),Kulture Yabra (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Hankook Verdes,Belmopan Bandits Football Sporting Club,2003-08-31,1,3,F,belize,Hankook Verdes (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
San Pedro Seahawks,Jacintoville United,2003-08-31,0,1,F,belize,San Pedro Seahawks (Belize),Jacintoville United (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,Sagitun FC,2003-08-31,1,1,F,belize,Griga United FC (Belize),Sagitun FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Sagitun FC,Kulture Yabra,2003-09-06,0,0,F,belize,Sagitun FC (Belize),Kulture Yabra (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,Belmopan Bandits Football Sporting Club,2003-09-07,0,0,F,belize,Griga United FC (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Jacintoville United,Suga Boys Juventus,2003-09-07,1,2,F,belize,Jacintoville United (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
San Pedro Seahawks,Hankook Verdes,2003-09-07,0,1,F,belize,San Pedro Seahawks (Belize),Hankook Verdes (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Kulture Yabra,Belmopan Bandits Football Sporting Club,2003-09-17,0,1,F,belize,Kulture Yabra (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Suga Boys Juventus,Sagitun FC,2003-09-17,2,1,F,belize,Suga Boys Juventus (Belize),Sagitun FC (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Griga United FC,San Pedro Seahawks,2003-09-17,0,0,F,belize,Griga United FC (Belize),San Pedro Seahawks (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Hankook Verdes,Suga Boys Juventus,2003-09-20,2,1,F,belize,Hankook Verdes (Belize),Suga Boys Juventus (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
Sagitun FC,Belmopan Bandits Football Sporting Club,2003-09-20,3,0,F,belize,Sagitun FC (Belize),Belmopan Bandits Football Sporting Club (Belize),belize,belize,BZ,BZ,North America,North America,North America,national
