home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Dynamo Unacob FC De Parakou,Universite Nationale Du Benin,2008-08-06,0,1,F,benin,Dynamo Unacob FC De Parakou (Benin),Universite Nationale Du Benin (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
US Seme Krake,Mambas Noirs FC,2008-08-06,3,1,F,benin,US Seme Krake (Benin),Mambas Noirs FC (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Pantheres FC,As Port Autonome De Cotonou,2008-08-06,1,0,F,benin,Pantheres FC (Benin),As Port Autonome De Cotonou (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Tonnerre D Abomey,Espoir FC,2008-08-06,1,0,F,benin,Tonnerre D Abomey (Benin),Espoir FC (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Soleil FC,Jeunesse Sportive Pobe,2008-08-06,3,0,F,benin,Soleil FC (Benin),Jeunesse Sportive Pobe (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Avrankou Omnisport FC,Ja Misserete,2008-08-06,1,0,F,benin,Avrankou Omnisport FC (Benin),Ja Misserete (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Mogas 90,Association Sportive Oussou Saka,2008-08-07,1,0,F,benin,Mogas 90 (Benin),Association Sportive Oussou Saka (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
As Dragons,Energie,2008-08-07,0,0,F,benin,As Dragons (Benin),Energie (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Buffles De Borgou,Requins De Latlantique,2008-08-07,1,0,F,benin,Buffles De Borgou (Benin),Requins De Latlantique (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
US Cotonou,Universite Nationale Du Benin,2008-08-09,0,1,F,benin,US Cotonou (Benin),Universite Nationale Du Benin (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Dynamo Abomey FC,Mogas 90,2008-08-10,1,0,F,benin,Dynamo Abomey FC (Benin),Mogas 90 (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Mambas Noirs FC,As Dragons,2008-08-10,1,2,F,benin,Mambas Noirs FC (Benin),As Dragons (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Energie,US Seme Krake,2008-08-10,0,0,F,benin,Energie (Benin),US Seme Krake (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
Association Sportive Oussou Saka,Dynamo Unacob FC De Parakou,2008-08-10,1,1,F,benin,Association Sportive Oussou Saka (Benin),Dynamo Unacob FC De Parakou (Benin),benin,benin,BJ,BJ,Africa,Africa,Africa,national
