home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Rigzung,Yeedzin FC,2009-06-20,2,10,F,bhutan,Rigzung (Bhutan),Yeedzin FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rba,Druk Pol FC,2009-06-21,0,2,F,bhutan,Rba (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Druk Athletic FC,2009-06-21,5,0,F,bhutan,Druk Star FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Choden FC,Transport United FC,2009-06-22,3,3,F,bhutan,Choden FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Pol FC,2009-06-23,3,0,F,bhutan,Yeedzin FC (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Rba,2009-06-24,1,5,F,bhutan,Rigzung (Bhutan),Rba (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Choden FC,2009-06-25,1,1,F,bhutan,Druk Star FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Athletic FC,Transport United FC,2009-06-26,1,9,F,bhutan,Druk Athletic FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Star FC,2009-06-27,0,11,F,bhutan,Rigzung (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Choden FC,2009-06-27,3,2,F,bhutan,Yeedzin FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rba,Druk Athletic FC,2009-06-28,5,0,F,bhutan,Rba (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Transport United FC,2009-06-28,2,2,F,bhutan,Druk Pol FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Choden FC,2009-06-29,2,3,F,bhutan,Rigzung (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Star FC,2009-06-30,1,2,F,bhutan,Yeedzin FC (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Druk Athletic FC,2009-07-01,10,1,F,bhutan,Druk Pol FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rba,Transport United FC,2009-07-02,3,3,F,bhutan,Rba (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Pol FC,2009-07-03,0,9,F,bhutan,Rigzung (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Rba,2009-07-04,1,2,F,bhutan,Yeedzin FC (Bhutan),Rba (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Transport United FC,2009-07-04,1,1,F,bhutan,Druk Star FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Athletic FC,2009-07-05,6,0,F,bhutan,Rigzung (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Choden FC,2009-07-05,0,0,F,bhutan,Druk Pol FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Transport United FC,2009-07-06,3,1,F,bhutan,Yeedzin FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rba,Druk Star FC,2009-07-07,1,7,F,bhutan,Rba (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Athletic FC,Choden FC,2009-07-08,2,7,F,bhutan,Druk Athletic FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Transport United FC,2009-07-09,2,5,F,bhutan,Rigzung (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Athletic FC,2009-07-10,20,0,F,bhutan,Yeedzin FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Druk Star FC,2009-07-11,0,5,F,bhutan,Druk Pol FC (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Yeedzin FC,2009-07-14,2,9,F,bhutan,Rigzung (Bhutan),Yeedzin FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Druk Pol FC,2009-07-16,2,2,F,bhutan,Druk Star FC (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Athletic FC,2009-07-17,1,3,F,bhutan,Rigzung (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Choden FC,2009-07-18,2,1,F,bhutan,Yeedzin FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Druk Athletic FC,2009-07-19,8,1,F,bhutan,Druk Pol FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Transport United FC,2009-07-20,7,2,F,bhutan,Druk Star FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Pol FC,2009-07-21,0,6,F,bhutan,Rigzung (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Athletic FC,2009-07-22,16,1,F,bhutan,Yeedzin FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Choden FC,2009-07-23,2,1,F,bhutan,Druk Star FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Transport United FC,2009-07-24,3,2,F,bhutan,Druk Pol FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Choden FC,2009-07-25,0,5,F,bhutan,Rigzung (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Druk Athletic FC,2009-07-26,13,1,F,bhutan,Druk Star FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Transport United FC,2009-07-27,10,1,F,bhutan,Yeedzin FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Pol FC,Choden FC,2009-07-28,1,1,F,bhutan,Druk Pol FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Athletic FC,Transport United FC,2009-07-29,2,2,F,bhutan,Druk Athletic FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Rigzung,Druk Star FC,2009-07-30,0,13,F,bhutan,Rigzung (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Athletic FC,Choden FC,2009-07-31,0,11,F,bhutan,Druk Athletic FC (Bhutan),Choden FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Pol FC,2009-08-01,2,2,F,bhutan,Yeedzin FC (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Transport United FC,Rigzung,2009-08-02,3,2,F,bhutan,Transport United FC (Bhutan),Rigzung (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Star FC,2009-08-03,2,3,F,bhutan,Yeedzin FC (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Choden FC,Transport United FC,2009-08-04,4,1,F,bhutan,Choden FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Choden FC,Yeedzin FC,2010-06-26,0,6,F,bhutan,Choden FC (Bhutan),Yeedzin FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Athletic FC,Transport United FC,2010-06-28,1,4,F,bhutan,Druk Athletic FC (Bhutan),Transport United FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Choden FC,Druk Pol FC,2010-06-29,2,3,F,bhutan,Choden FC (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Nangpa FC,2010-06-30,9,1,F,bhutan,Yeedzin FC (Bhutan),Nangpa FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Druk Star FC,Druk Athletic FC,2010-07-01,12,1,F,bhutan,Druk Star FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Transport United FC,Druk Pol FC,2010-07-02,3,2,F,bhutan,Transport United FC (Bhutan),Druk Pol FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Choden FC,Nangpa FC,2010-07-03,4,2,F,bhutan,Choden FC (Bhutan),Nangpa FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Yeedzin FC,Druk Star FC,2010-07-04,3,1,F,bhutan,Yeedzin FC (Bhutan),Druk Star FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
Nangpa FC,Druk Athletic FC,2010-07-05,1,1,F,bhutan,Nangpa FC (Bhutan),Druk Athletic FC (Bhutan),bhutan,bhutan,BT,BT,Asia,Asia,Asia,national
