home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Atc,Atletiko Flamingo,2013-03-10,1,2,F,bonaire,Atc (Bonaire),Atletiko Flamingo (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Estrellas,Arriba Peru,2013-03-13,3,2,F,bonaire,Estrellas (Bonaire),Arriba Peru (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Juventus,Bonaire SV Vespo,2013-03-15,3,0,F,bonaire,Juventus (Bonaire),Bonaire SV Vespo (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire Real Rincon,Vitesse,2013-03-17,6,0,F,bonaire,Bonaire Real Rincon (Bonaire),Vitesse (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Atc,Bonaire SV Uruguay,2013-03-20,0,3,F,bonaire,Atc (Bonaire),Bonaire SV Uruguay (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Atletiko Flamingo,Estrellas,2013-03-22,1,1,F,bonaire,Atletiko Flamingo (Bonaire),Estrellas (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Arriba Peru,Juventus,2013-03-24,0,2,F,bonaire,Arriba Peru (Bonaire),Juventus (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire SV Vespo,Bonaire Real Rincon,2013-03-27,0,1,F,bonaire,Bonaire SV Vespo (Bonaire),Bonaire Real Rincon (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Vitesse,Atc,2013-03-31,0,6,F,bonaire,Vitesse (Bonaire),Atc (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Estrellas,Bonaire SV Uruguay,2013-04-03,2,1,F,bonaire,Estrellas (Bonaire),Bonaire SV Uruguay (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Juventus,Atletiko Flamingo,2013-04-05,4,1,F,bonaire,Juventus (Bonaire),Atletiko Flamingo (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire Real Rincon,Arriba Peru,2013-04-07,4,0,F,bonaire,Bonaire Real Rincon (Bonaire),Arriba Peru (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Atc,Bonaire SV Vespo,2013-04-10,2,2,F,bonaire,Atc (Bonaire),Bonaire SV Vespo (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Estrellas,Vitesse,2013-04-12,3,3,F,bonaire,Estrellas (Bonaire),Vitesse (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire SV Uruguay,Juventus,2013-04-14,0,0,F,bonaire,Bonaire SV Uruguay (Bonaire),Juventus (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Atletiko Flamingo,Bonaire Real Rincon,2013-04-17,0,5,F,bonaire,Atletiko Flamingo (Bonaire),Bonaire Real Rincon (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Arriba Peru,Atc,2013-04-19,3,0,F,bonaire,Arriba Peru (Bonaire),Atc (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire SV Vespo,Estrellas,2013-04-21,0,2,F,bonaire,Bonaire SV Vespo (Bonaire),Estrellas (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Juventus,Vitesse,2013-04-24,8,0,F,bonaire,Juventus (Bonaire),Vitesse (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire SV Uruguay,Bonaire Real Rincon,2013-04-26,1,4,F,bonaire,Bonaire SV Uruguay (Bonaire),Bonaire Real Rincon (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Atc,Estrellas,2013-05-03,0,0,F,bonaire,Atc (Bonaire),Estrellas (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
Bonaire SV Vespo,Vitesse,2013-05-05,7,0,F,bonaire,Bonaire SV Vespo (Bonaire),Vitesse (Bonaire),bonaire,bonaire,BQ,BQ,North America,North America,North America,national
