home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Celik Zenica,Sloboda Tuzla,2000-02-24,1,1,F,bosnia-herzegovina,Celik Zenica (Bosnia Herzegovina),Sloboda Tuzla (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Iskra Bugojno,Kiseljak,2000-02-24,1,1,F,bosnia-herzegovina,Nk Iskra Bugojno (Bosnia Herzegovina),Kiseljak (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Jedinstvo,Siroki Brijeg,2000-02-24,1,1,F,bosnia-herzegovina,Nk Jedinstvo (Bosnia Herzegovina),Siroki Brijeg (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Velez Mostar,Zrinjski Mostar,2000-02-24,2,0,F,bosnia-herzegovina,Velez Mostar (Bosnia Herzegovina),Zrinjski Mostar (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Capljina,Nk Travnik,2000-02-24,2,0,F,bosnia-herzegovina,Nk Capljina (Bosnia Herzegovina),Nk Travnik (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Rudar Prijedor,Olimpik Sarajevo,2000-02-24,1,0,F,bosnia-herzegovina,FK Rudar Prijedor (Bosnia Herzegovina),Olimpik Sarajevo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Buducnost Banovici,FK Derzelez Zenica,2000-02-24,5,0,F,bosnia-herzegovina,Buducnost Banovici (Bosnia Herzegovina),FK Derzelez Zenica (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Sarajevo,HNK Orasje,2000-02-24,2,0,F,bosnia-herzegovina,FK Sarajevo (Bosnia Herzegovina),HNK Orasje (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Brotnjo,Zeljeznicar Sarajevo,2000-02-25,2,0,F,bosnia-herzegovina,Nk Brotnjo (Bosnia Herzegovina),Zeljeznicar Sarajevo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Troglav Livno,Ljubuski,2000-02-25,2,0,F,bosnia-herzegovina,Nk Troglav Livno (Bosnia Herzegovina),Ljubuski (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Posusje,Krajina Cazin,2000-02-25,4,0,F,bosnia-herzegovina,Nk Posusje (Bosnia Herzegovina),Krajina Cazin (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Sarajevo,Nk Brotnjo,2000-03-03,1,0,F,bosnia-herzegovina,FK Sarajevo (Bosnia Herzegovina),Nk Brotnjo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
HNK Orasje,Buducnost Banovici,2000-03-03,3,1,F,bosnia-herzegovina,HNK Orasje (Bosnia Herzegovina),Buducnost Banovici (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Derzelez Zenica,FK Rudar Prijedor,2000-03-03,0,9,F,bosnia-herzegovina,FK Derzelez Zenica (Bosnia Herzegovina),FK Rudar Prijedor (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Travnik,Nk Posusje,2000-03-03,2,1,F,bosnia-herzegovina,Nk Travnik (Bosnia Herzegovina),Nk Posusje (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Sloboda Tuzla,Zeljeznicar Sarajevo,2000-03-03,1,1,F,bosnia-herzegovina,Sloboda Tuzla (Bosnia Herzegovina),Zeljeznicar Sarajevo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Velez Mostar,Nk Jedinstvo,2000-03-03,3,0,F,bosnia-herzegovina,Velez Mostar (Bosnia Herzegovina),Nk Jedinstvo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Siroki Brijeg,Nk Iskra Bugojno,2000-03-04,1,1,F,bosnia-herzegovina,Siroki Brijeg (Bosnia Herzegovina),Nk Iskra Bugojno (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Kiseljak,Nk Troglav Livno,2000-03-04,1,2,F,bosnia-herzegovina,Kiseljak (Bosnia Herzegovina),Nk Troglav Livno (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Ljubuski,Celik Zenica,2000-03-04,0,2,F,bosnia-herzegovina,Ljubuski (Bosnia Herzegovina),Celik Zenica (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Olimpik Sarajevo,Nk Capljina,2000-03-04,0,3,F,bosnia-herzegovina,Olimpik Sarajevo (Bosnia Herzegovina),Nk Capljina (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Iskra Bugojno,Velez Mostar,2000-03-07,2,1,F,bosnia-herzegovina,Nk Iskra Bugojno (Bosnia Herzegovina),Velez Mostar (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Jedinstvo,Krajina Cazin,2000-03-07,7,0,F,bosnia-herzegovina,Nk Jedinstvo (Bosnia Herzegovina),Krajina Cazin (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Zrinjski Mostar,Nk Travnik,2000-03-07,2,1,F,bosnia-herzegovina,Zrinjski Mostar (Bosnia Herzegovina),Nk Travnik (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Capljina,FK Derzelez Zenica,2000-03-07,4,0,F,bosnia-herzegovina,Nk Capljina (Bosnia Herzegovina),FK Derzelez Zenica (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Rudar Prijedor,HNK Orasje,2000-03-07,1,0,F,bosnia-herzegovina,FK Rudar Prijedor (Bosnia Herzegovina),HNK Orasje (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Brotnjo,Sloboda Tuzla,2000-03-07,2,1,F,bosnia-herzegovina,Nk Brotnjo (Bosnia Herzegovina),Sloboda Tuzla (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Buducnost Banovici,FK Sarajevo,2000-03-07,1,2,F,bosnia-herzegovina,Buducnost Banovici (Bosnia Herzegovina),FK Sarajevo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Zeljeznicar Sarajevo,Ljubuski,2000-03-07,3,0,F,bosnia-herzegovina,Zeljeznicar Sarajevo (Bosnia Herzegovina),Ljubuski (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Celik Zenica,Kiseljak,2000-03-07,2,0,F,bosnia-herzegovina,Celik Zenica (Bosnia Herzegovina),Kiseljak (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Troglav Livno,Siroki Brijeg,2000-03-07,2,0,F,bosnia-herzegovina,Nk Troglav Livno (Bosnia Herzegovina),Siroki Brijeg (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
Nk Posusje,Olimpik Sarajevo,2000-03-07,3,1,F,bosnia-herzegovina,Nk Posusje (Bosnia Herzegovina),Olimpik Sarajevo (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
FK Sarajevo,FK Rudar Prijedor,2000-03-11,1,0,F,bosnia-herzegovina,FK Sarajevo (Bosnia Herzegovina),FK Rudar Prijedor (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
HNK Orasje,Nk Capljina,2000-03-11,1,0,F,bosnia-herzegovina,HNK Orasje (Bosnia Herzegovina),Nk Capljina (Bosnia Herzegovina),bosnia-herzegovina,bosnia-herzegovina,BOS,BOS,Europe,Europe,Europe,national
