home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Twonship Rollers,Extension Gunners FC,2004-11-05,1,0,F,botswana,Twonship Rollers (Botswana),Extension Gunners FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Police Xi,Botswana Meat Comission FC,2004-11-06,2,1,F,botswana,Police Xi (Botswana),Botswana Meat Comission FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Notwane FC,Centre Chiefs,2004-11-06,3,3,F,botswana,Notwane FC (Botswana),Centre Chiefs (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Ecco City Greens,Tasc FC,2004-11-06,3,1,F,botswana,Ecco City Greens (Botswana),Tasc FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Orapa United,FC Satmos,2004-11-06,0,1,F,botswana,Orapa United (Botswana),FC Satmos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Botswana Defence Force FC,Uniao Flamengo Santos,2004-11-06,0,0,F,botswana,Botswana Defence Force FC (Botswana),Uniao Flamengo Santos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Prisons Xi Gaborone,Mogoditshane Fighters,2004-11-06,0,0,F,botswana,Prisons Xi Gaborone (Botswana),Mogoditshane Fighters (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Nico United,Tafic FC,2004-11-06,0,1,F,botswana,Nico United (Botswana),Tafic FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Centre Chiefs,Twonship Rollers,2004-11-14,1,0,F,botswana,Centre Chiefs (Botswana),Twonship Rollers (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Extension Gunners FC,Uniao Flamengo Santos,2004-11-14,1,2,F,botswana,Extension Gunners FC (Botswana),Uniao Flamengo Santos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Nico United,Prisons Xi Gaborone,2004-11-14,1,0,F,botswana,Nico United (Botswana),Prisons Xi Gaborone (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Tafic FC,Orapa United,2004-11-14,1,1,F,botswana,Tafic FC (Botswana),Orapa United (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Centre Chiefs,Police Xi,2004-11-28,2,2,F,botswana,Centre Chiefs (Botswana),Police Xi (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Nico United,Uniao Flamengo Santos,2004-11-28,1,1,F,botswana,Nico United (Botswana),Uniao Flamengo Santos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Tasc FC,Mogoditshane Fighters,2004-11-28,1,2,F,botswana,Tasc FC (Botswana),Mogoditshane Fighters (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Prisons Xi Gaborone,Ecco City Greens,2004-11-28,4,1,F,botswana,Prisons Xi Gaborone (Botswana),Ecco City Greens (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Uniao Flamengo Santos,Tasc FC,2004-12-04,0,1,F,botswana,Uniao Flamengo Santos (Botswana),Tasc FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Botswana Meat Comission FC,Orapa United,2004-12-04,2,1,F,botswana,Botswana Meat Comission FC (Botswana),Orapa United (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Botswana Defence Force FC,Nico United,2004-12-04,2,0,F,botswana,Botswana Defence Force FC (Botswana),Nico United (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Tafic FC,Prisons Xi Gaborone,2004-12-04,0,1,F,botswana,Tafic FC (Botswana),Prisons Xi Gaborone (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
FC Satmos,Notwane FC,2004-12-04,3,3,F,botswana,FC Satmos (Botswana),Notwane FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Mogoditshane Fighters,Centre Chiefs,2004-12-05,3,0,F,botswana,Mogoditshane Fighters (Botswana),Centre Chiefs (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Uniao Flamengo Santos,Mogoditshane Fighters,2004-12-08,0,0,F,botswana,Uniao Flamengo Santos (Botswana),Mogoditshane Fighters (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Centre Chiefs,Botswana Defence Force FC,2004-12-08,1,1,F,botswana,Centre Chiefs (Botswana),Botswana Defence Force FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Police Xi,Tafic FC,2004-12-09,0,1,F,botswana,Police Xi (Botswana),Tafic FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Twonship Rollers,FC Satmos,2004-12-11,1,0,F,botswana,Twonship Rollers (Botswana),FC Satmos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Tasc FC,Extension Gunners FC,2004-12-11,0,1,F,botswana,Tasc FC (Botswana),Extension Gunners FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Notwane FC,Uniao Flamengo Santos,2004-12-11,0,1,F,botswana,Notwane FC (Botswana),Uniao Flamengo Santos (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Police Xi,Ecco City Greens,2004-12-11,0,1,F,botswana,Police Xi (Botswana),Ecco City Greens (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Nico United,Mogoditshane Fighters,2004-12-11,2,2,F,botswana,Nico United (Botswana),Mogoditshane Fighters (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Prisons Xi Gaborone,Botswana Meat Comission FC,2004-12-12,1,0,F,botswana,Prisons Xi Gaborone (Botswana),Botswana Meat Comission FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
Orapa United,Botswana Defence Force FC,2004-12-12,1,1,F,botswana,Orapa United (Botswana),Botswana Defence Force FC (Botswana),botswana,botswana,BW,BW,Africa,Africa,Africa,national
