home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
River Atletico Clube,America RN,1977-10-15,5,1,F,brazil,River Atletico Clube (Brazil),America RN (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Desportiva Capixaba,Fluminense RJ,1977-10-16,0,5,F,brazil,Desportiva Capixaba (Brazil),Fluminense RJ (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Botafogo PB,Sport Club Recife,1977-10-16,1,0,F,brazil,Botafogo PB (Brazil),Sport Club Recife (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Esporte Clube Xv De Novembro Piracicaba,CS Alagoano,1977-10-16,0,0,F,brazil,Esporte Clube Xv De Novembro Piracicaba (Brazil),CS Alagoano (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Flamengo RJ,EC Vitoria Ba,1977-10-16,5,0,F,brazil,Flamengo RJ (Brazil),EC Vitoria Ba (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Clube Nautico,Sao Paulo FC,1977-10-16,0,1,F,brazil,Clube Nautico (Brazil),Sao Paulo FC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Santos FC,Cruzeiro EC,1977-10-16,0,2,F,brazil,Santos FC (Brazil),Cruzeiro EC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Operario MS,Internacional,1977-10-16,0,0,F,brazil,Operario MS (Brazil),Internacional (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Londrina Esporte Clube,Goiania Esporte Clube,1977-10-16,3,2,F,brazil,Londrina Esporte Clube (Brazil),Goiania Esporte Clube (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Atletico Paranaense,Brasilia FC,1977-10-16,1,2,F,brazil,Atletico Paranaense (Brazil),Brasilia FC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Vila Nova Futebol Clube,Botafogo RJ,1977-10-16,0,0,F,brazil,Vila Nova Futebol Clube (Brazil),Botafogo RJ (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
Volta Redonda Futebol Clube,EC Vitoria Ba,1977-10-16,3,0,F,brazil,Volta Redonda Futebol Clube (Brazil),EC Vitoria Ba (Brazil),brazil,brazil,BR,BR,South America,South America,South America,national
