home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Jerudong FC,Kota Ranger,2003-05-16,1,0,F,brunei-darussalam,Jerudong FC (Brunei Darussalam),Kota Ranger (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Sabina FC,Lun Bawang,2003-05-17,6,0,F,brunei-darussalam,Sabina FC (Brunei Darussalam),Lun Bawang (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Qaf FC,Akse Bersatu,2003-05-18,4,0,F,brunei-darussalam,Qaf FC (Brunei Darussalam),Akse Bersatu (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Sengkurong FC,Mulaut FC,2003-05-18,2,1,F,brunei-darussalam,Sengkurong FC (Brunei Darussalam),Mulaut FC (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Kasuka,Pesaka FC,2003-05-18,3,1,F,brunei-darussalam,Kasuka (Brunei Darussalam),Pesaka FC (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
IBM Bokok,Bandaran KB,2003-05-18,1,2,F,brunei-darussalam,IBM Bokok (Brunei Darussalam),Bandaran KB (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Indera FC,Kilanas,2003-05-18,4,0,F,brunei-darussalam,Indera FC (Brunei Darussalam),Kilanas (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Kamudi,Mengelella FC,2003-05-18,3,4,F,brunei-darussalam,Kamudi (Brunei Darussalam),Mengelella FC (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
Brunei DPMM,Ah United FC,2003-05-20,1,2,F,brunei-darussalam,Brunei DPMM (Brunei Darussalam),Ah United FC (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
MS Angkatan Bersenjata Diraja Brunei FC,Wijaya FC,2003-05-21,1,2,F,brunei-darussalam,MS Angkatan Bersenjata Diraja Brunei FC (Brunei Darussalam),Wijaya FC (Brunei Darussalam),brunei-darussalam,brunei-darussalam,BRU,BRU,Asia,Asia,Asia,national
