home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Lokomotiv Sofia,Levski Sofia,1948-10-09,0,1,FALSE,bulgaria,Lokomotiv Sofia (Bulgaria),Levski Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
FK Bdin Vidin,Slavia Sofia,1948-10-10,0,1,FALSE,bulgaria,FK Bdin Vidin (Bulgaria),Slavia Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Marek Stanke Dimitrov,Spartak Sofia,1948-10-10,0,2,FALSE,bulgaria,Marek Stanke Dimitrov (Bulgaria),Spartak Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
CSKA Sofia,Levski Burgas,1948-10-10,2,0,FALSE,bulgaria,CSKA Sofia (Bulgaria),Levski Burgas (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Lokomotiv Plovdiv,PFC Cherno More Varna,1948-10-10,1,1,FALSE,bulgaria,Lokomotiv Plovdiv (Bulgaria),PFC Cherno More Varna (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Levski Sofia,Spartak Sofia,1948-10-16,3,0,FALSE,bulgaria,Levski Sofia (Bulgaria),Spartak Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
FK Bdin Vidin,Marek Stanke Dimitrov,1948-10-17,4,0,FALSE,bulgaria,FK Bdin Vidin (Bulgaria),Marek Stanke Dimitrov (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
PFC Cherno More Varna,CSKA Sofia,1948-10-17,2,0,FALSE,bulgaria,PFC Cherno More Varna (Bulgaria),CSKA Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Levski Burgas,Lokomotiv Sofia,1948-10-17,0,2,FALSE,bulgaria,Levski Burgas (Bulgaria),Lokomotiv Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Slavia Sofia,Lokomotiv Plovdiv,1948-10-17,1,0,FALSE,bulgaria,Slavia Sofia (Bulgaria),Lokomotiv Plovdiv (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Lokomotiv Sofia,CSKA Sofia,1948-10-23,2,2,FALSE,bulgaria,Lokomotiv Sofia (Bulgaria),CSKA Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Levski Burgas,PFC Cherno More Varna,1948-10-24,2,4,FALSE,bulgaria,Levski Burgas (Bulgaria),PFC Cherno More Varna (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Marek Stanke Dimitrov,Slavia Sofia,1948-10-24,0,3,FALSE,bulgaria,Marek Stanke Dimitrov (Bulgaria),Slavia Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
Lokomotiv Plovdiv,Levski Sofia,1948-10-24,0,1,FALSE,bulgaria,Lokomotiv Plovdiv (Bulgaria),Levski Sofia (Bulgaria),bulgaria,bulgaria,BG,BG,Europe,Europe,Europe,national
