home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Atheletico Olympic FC,Muzinga FC,2010-10-29,2,1,F,burundi,Atheletico Olympic FC (Burundi),Muzinga FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Union Sporting De Bujumbura,Inter Stars,2010-10-29,0,1,F,burundi,Union Sporting De Bujumbura (Burundi),Inter Stars (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Lydia Ludic Burundi Academic,Flamengo De Ngagara,2010-10-30,2,0,F,burundi,Lydia Ludic Burundi Academic (Burundi),Flamengo De Ngagara (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Maniema Fantastique,Espoir FC De Mutimbuzi,2010-10-30,1,6,F,burundi,Maniema Fantastique (Burundi),Espoir FC De Mutimbuzi (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Vital O FC,Prince Louis FC,2010-10-31,1,2,F,burundi,Vital O FC (Burundi),Prince Louis FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Flamengo De Ngagara,Maniema Fantastique,2010-10-31,3,0,F,burundi,Flamengo De Ngagara (Burundi),Maniema Fantastique (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Royal FC De Muramvya,Academie Tchite FC,2010-10-31,3,1,F,burundi,Royal FC De Muramvya (Burundi),Academie Tchite FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Prince Louis FC,Academie Tchite FC,2010-10-31,0,1,F,burundi,Prince Louis FC (Burundi),Academie Tchite FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Lydia Ludic Burundi Academic,Espoir FC De Mutimbuzi,2010-11-05,1,1,F,burundi,Lydia Ludic Burundi Academic (Burundi),Espoir FC De Mutimbuzi (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Atheletico Olympic FC,Inter Stars,2010-11-05,1,0,F,burundi,Atheletico Olympic FC (Burundi),Inter Stars (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Muzinga FC,Union Sporting De Bujumbura,2010-11-06,5,0,F,burundi,Muzinga FC (Burundi),Union Sporting De Bujumbura (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Vital O FC,Royal FC De Muramvya,2010-11-06,4,1,F,burundi,Vital O FC (Burundi),Royal FC De Muramvya (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Inter Stars,Espoir FC De Mutimbuzi,2010-11-12,3,0,F,burundi,Inter Stars (Burundi),Espoir FC De Mutimbuzi (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Flamengo De Ngagara,Muzinga FC,2010-11-14,1,1,F,burundi,Flamengo De Ngagara (Burundi),Muzinga FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Prince Louis FC,Royal FC De Muramvya,2010-11-14,0,2,F,burundi,Prince Louis FC (Burundi),Royal FC De Muramvya (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Lydia Ludic Burundi Academic,Atheletico Olympic FC,2010-11-14,0,0,F,burundi,Lydia Ludic Burundi Academic (Burundi),Atheletico Olympic FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Royal FC De Muramvya,Flamengo De Ngagara,2010-11-27,0,0,F,burundi,Royal FC De Muramvya (Burundi),Flamengo De Ngagara (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Muzinga FC,Maniema Fantastique,2010-11-27,3,2,F,burundi,Muzinga FC (Burundi),Maniema Fantastique (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Maniema Fantastique,Academie Tchite FC,2010-12-03,1,1,F,burundi,Maniema Fantastique (Burundi),Academie Tchite FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Espoir FC De Mutimbuzi,Royal FC De Muramvya,2010-12-04,1,2,F,burundi,Espoir FC De Mutimbuzi (Burundi),Royal FC De Muramvya (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Muzinga FC,Lydia Ludic Burundi Academic,2010-12-04,2,3,F,burundi,Muzinga FC (Burundi),Lydia Ludic Burundi Academic (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Flamengo De Ngagara,Vital O FC,2010-12-17,0,2,F,burundi,Flamengo De Ngagara (Burundi),Vital O FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Lydia Ludic Burundi Academic,Maniema Fantastique,2010-12-18,6,2,F,burundi,Lydia Ludic Burundi Academic (Burundi),Maniema Fantastique (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Atheletico Olympic FC,Royal FC De Muramvya,2010-12-18,1,0,F,burundi,Atheletico Olympic FC (Burundi),Royal FC De Muramvya (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Academie Tchite FC,Espoir FC De Mutimbuzi,2010-12-18,0,0,F,burundi,Academie Tchite FC (Burundi),Espoir FC De Mutimbuzi (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Inter Stars,Muzinga FC,2010-12-19,3,2,F,burundi,Inter Stars (Burundi),Muzinga FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Prince Louis FC,Union Sporting De Bujumbura,2010-12-19,0,2,F,burundi,Prince Louis FC (Burundi),Union Sporting De Bujumbura (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Atheletico Olympic FC,Prince Louis FC,2010-12-24,2,1,F,burundi,Atheletico Olympic FC (Burundi),Prince Louis FC (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
Muzinga FC,Royal FC De Muramvya,2010-12-25,0,1,F,burundi,Muzinga FC (Burundi),Royal FC De Muramvya (Burundi),burundi,burundi,BI,BI,Africa,Africa,Africa,national
