home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Notwane FC,Defence,2007-01-27,1,1,F,CAF CC,Notwane FC (Botswana),Defence (Ethiopia),botswana,ethiopia,BW,ET,Africa,Africa,Africa,international
Ports Authority,AS Bamako,2007-01-27,2,0,F,CAF CC,Ports Authority (Sierra Leone),AS Bamako (Mali),sierra-leone,mali,SL,ML,Africa,Africa,Africa,international
Asec Concorde,Aso Chlef,2007-01-27,0,1,F,CAF CC,Asec Concorde (Mauritania),Aso Chlef (Algeria),mauritania,algeria,MR,DZ,Africa,Africa,Africa,international
Telestars,Oc Bukavu Dawa,2007-01-27,1,0,F,CAF CC,Telestars (Gabon),Oc Bukavu Dawa (Congo Dr),gabon,congo-dr,GA,CDR,Africa,Africa,Africa,international
Sporting Clube Bissau,Satellite,2007-01-27,1,3,F,CAF CC,Sporting Clube Bissau (Guinea Bissau),Satellite (Guinea),guinea-bissau,guinea,GW,GN,Africa,Africa,Africa,international
Hawks FC,Association Sportive Denguele Sport D Odienne,2007-01-27,0,0,F,CAF CC,Hawks FC (Gambia),Association Sportive Denguele Sport D Odienne (Ivory Coast),gambia,cote-divoire,GM,IVR,Africa,Africa,Africa,international
Npa Anchors,Union Sportive Goreenne,2007-01-27,2,3,F,CAF CC,Npa Anchors (Liberia),Union Sportive Goreenne (Senegal),liberia,senegal,LR,SN,Africa,Africa,Africa,international
Textile De Pungue,Simba,2007-01-27,1,1,F,CAF CC,Textile De Pungue (Mozambique),Simba (Tanzania),mozambique,tanzania,MZ,TZ,Africa,Africa,Africa,international
Prince Louis FC,Atraco FC,2007-01-28,0,0,F,CAF CC,Prince Louis FC (Burundi),Atraco FC (Rwanda),burundi,rwanda,BI,RW,Africa,Africa,Africa,international
Port De Lome,Egs Gafsa,2007-01-28,1,1,F,CAF CC,Port De Lome (Togo),Egs Gafsa (Tunisia),togo,tunisia,TG,TN,Africa,Africa,Africa,international
Al Ahli Tripoli,Ascoton Chad,2007-01-28,2,1,F,CAF CC,Al Ahli Tripoli (Libya),Ascoton Chad (Chad),libya,chad,LY,TD,Africa,Africa,Africa,international
Curepipe Starlight,Ajesaia,2007-01-28,1,0,F,CAF CC,Curepipe Starlight (Mauritius),Ajesaia (Madagascar),mauritius,madagascar,MU,MG,Africa,Africa,Africa,international
St Michel United,St Pauloise FC,2007-01-28,2,1,F,CAF CC,St Michel United (Seychelles),St Pauloise FC (Reunion),seychelles,reunion,SC,REU,Africa,Africa,Africa,international
San Pedro Claver,Benfica Luanda,2007-01-28,1,5,F,CAF CC,San Pedro Claver (Equatorial Guinea),Benfica Luanda (Angola),equatorial-guinea,angola,GQ,AO,Africa,Africa,Africa,international
JS De Talangai,Astres FC De Douala,2007-01-28,0,2,F,CAF CC,JS De Talangai (Congo),Astres FC De Douala (Cameroon),congo,cameroon,CON,CM,Africa,Africa,Africa,international
Sahel FC,Etoile Filante,2007-01-28,2,2,F,CAF CC,Sahel FC (Niger),Etoile Filante (Burkina Faso),niger,burkina-faso,NE,BF,Africa,Africa,Africa,international
Mundu FC,Mwana Africa,2007-01-28,0,3,F,CAF CC,Mundu FC (Zanzibar),Mwana Africa (Zimbabwe),zanzibar,zimbabwe,ZAN,ZW,Africa,Africa,Africa,international
As Dragons,Kwara United,2007-01-28,0,1,F,CAF CC,As Dragons (Benin),Kwara United (Nigeria),benin,nigeria,BJ,NG,Africa,Africa,Africa,international
Aso Chlef,Asec Concorde,2007-02-09,2,1,F,CAF CC,Aso Chlef (Algeria),Asec Concorde (Mauritania),algeria,mauritania,DZ,MR,Africa,Africa,Africa,international
Egs Gafsa,Port De Lome,2007-02-10,2,0,F,CAF CC,Egs Gafsa (Tunisia),Port De Lome (Togo),tunisia,togo,TN,TG,Africa,Africa,Africa,international
Astres FC De Douala,JS De Talangai,2007-02-10,1,0,F,CAF CC,Astres FC De Douala (Cameroon),JS De Talangai (Congo),cameroon,congo,CM,CON,Africa,Africa,Africa,international
Etoile Filante,Sahel FC,2007-02-10,1,1,F,CAF CC,Etoile Filante (Burkina Faso),Sahel FC (Niger),burkina-faso,niger,BF,NE,Africa,Africa,Africa,international
Mwana Africa,Mundu FC,2007-02-10,3,1,F,CAF CC,Mwana Africa (Zimbabwe),Mundu FC (Zanzibar),zimbabwe,zanzibar,ZW,ZAN,Africa,Africa,Africa,international
Union Sportive Goreenne,Npa Anchors,2007-02-10,1,0,F,CAF CC,Union Sportive Goreenne (Senegal),Npa Anchors (Liberia),senegal,liberia,SN,LR,Africa,Africa,Africa,international
Atraco FC,Prince Louis FC,2007-02-11,3,0,F,CAF CC,Atraco FC (Rwanda),Prince Louis FC (Burundi),rwanda,burundi,RW,BI,Africa,Africa,Africa,international
Defence,Notwane FC,2007-02-11,1,0,F,CAF CC,Defence (Ethiopia),Notwane FC (Botswana),ethiopia,botswana,ET,BW,Africa,Africa,Africa,international
AS Bamako,Ports Authority,2007-02-11,0,1,F,CAF CC,AS Bamako (Mali),Ports Authority (Sierra Leone),mali,sierra-leone,ML,SL,Africa,Africa,Africa,international
