home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Phuchung Neak,Build Bright United FC,2008-05-03,3,2,F,cambodia,Phuchung Neak (Cambodia),Build Bright United FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Post Tel Club,Moha Garuda,2008-05-04,3,2,F,cambodia,Post Tel Club (Cambodia),Moha Garuda (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Khemara Keila FC,Kirivong Sok Sen Chey FC,2008-05-04,3,1,F,cambodia,Khemara Keila FC (Cambodia),Kirivong Sok Sen Chey FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Kirivong Sok Sen Chey FC,Build Bright United FC,2008-05-07,0,5,F,cambodia,Kirivong Sok Sen Chey FC (Cambodia),Build Bright United FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Khemara Keila FC,Post Tel Club,2008-05-07,4,1,F,cambodia,Khemara Keila FC (Cambodia),Post Tel Club (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Moha Garuda,Phuchung Neak,2008-05-07,0,0,F,cambodia,Moha Garuda (Cambodia),Phuchung Neak (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Kirivong Sok Sen Chey FC,Moha Garuda,2008-05-10,1,2,F,cambodia,Kirivong Sok Sen Chey FC (Cambodia),Moha Garuda (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Post Tel Club,Build Bright United FC,2008-05-11,0,2,F,cambodia,Post Tel Club (Cambodia),Build Bright United FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Khemara Keila FC,Phuchung Neak,2008-05-11,2,1,F,cambodia,Khemara Keila FC (Cambodia),Phuchung Neak (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Build Bright United FC,Moha Garuda,2008-05-14,3,1,F,cambodia,Build Bright United FC (Cambodia),Moha Garuda (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Phuchung Neak,Post Tel Club,2008-05-14,2,0,F,cambodia,Phuchung Neak (Cambodia),Post Tel Club (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Kirivong Sok Sen Chey FC,Post Tel Club,2008-05-18,4,1,F,cambodia,Kirivong Sok Sen Chey FC (Cambodia),Post Tel Club (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Khemara Keila FC,Build Bright United FC,2008-05-18,0,2,F,cambodia,Khemara Keila FC (Cambodia),Build Bright United FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Moha Garuda,Khemara Keila FC,2008-05-21,1,0,F,cambodia,Moha Garuda (Cambodia),Khemara Keila FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Phuchung Neak,Kirivong Sok Sen Chey FC,2008-05-21,3,3,F,cambodia,Phuchung Neak (Cambodia),Kirivong Sok Sen Chey FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
Post Tel Club,Nagacorp FC,2008-06-04,0,2,F,cambodia,Post Tel Club (Cambodia),Nagacorp FC (Cambodia),cambodia,cambodia,KH,KH,Asia,Asia,Asia,national
