home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Girondins De Ngaoundere,Panthere Du Nde,2000-01-15,2,0,F,cameroon,Girondins De Ngaoundere (Cameroon),Panthere Du Nde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Union Sportive De Douala,Stade Bandjoun,2000-01-15,3,1,F,cameroon,Union Sportive De Douala (Cameroon),Stade Bandjoun (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Caiman Club Douala,Cotonsport De Garoua,2000-01-15,2,1,F,cameroon,Caiman Club Douala (Cameroon),Cotonsport De Garoua (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Canon Yaounde,Kumbo Strikers,2000-01-15,2,2,F,cameroon,Canon Yaounde (Cameroon),Kumbo Strikers (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Cintra De Yaounde,Racing De Bafoussam,2000-01-15,2,3,F,cameroon,Cintra De Yaounde (Cameroon),Racing De Bafoussam (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Esperance De Guider,Port FC,2000-01-15,1,1,F,cameroon,Esperance De Guider (Cameroon),Port FC (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Fovu Club De Baham,Olympic Mvolye,2000-01-15,1,0,F,cameroon,Fovu Club De Baham (Cameroon),Olympic Mvolye (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Sable De Batie,Tonnerre Kalara Club De Yaounde,2000-01-15,2,0,F,cameroon,Sable De Batie (Cameroon),Tonnerre Kalara Club De Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Union Sportive De Douala,Kumbo Strikers,2000-01-19,0,0,F,cameroon,Union Sportive De Douala (Cameroon),Kumbo Strikers (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Olympic Mvolye,Panthere Du Nde,2000-01-19,3,1,F,cameroon,Olympic Mvolye (Cameroon),Panthere Du Nde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Tonnerre Kalara Club De Yaounde,Cotonsport De Garoua,2000-01-19,2,2,F,cameroon,Tonnerre Kalara Club De Yaounde (Cameroon),Cotonsport De Garoua (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Racing De Bafoussam,Port FC,2000-01-19,1,0,F,cameroon,Racing De Bafoussam (Cameroon),Port FC (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Sable De Batie,Caiman Club Douala,2000-01-19,4,0,F,cameroon,Sable De Batie (Cameroon),Caiman Club Douala (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Stade Bandjoun,Canon Yaounde,2000-01-19,0,0,F,cameroon,Stade Bandjoun (Cameroon),Canon Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Girondins De Ngaoundere,Cintra De Yaounde,2000-01-19,1,1,F,cameroon,Girondins De Ngaoundere (Cameroon),Cintra De Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Esperance De Guider,Fovu Club De Baham,2000-01-19,2,2,F,cameroon,Esperance De Guider (Cameroon),Fovu Club De Baham (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Tonnerre Kalara Club De Yaounde,Racing De Bafoussam,2000-01-24,3,0,F,cameroon,Tonnerre Kalara Club De Yaounde (Cameroon),Racing De Bafoussam (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Canon Yaounde,Union Sportive De Douala,2000-01-24,1,0,F,cameroon,Canon Yaounde (Cameroon),Union Sportive De Douala (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Cotonsport De Garoua,Fovu Club De Baham,2000-01-24,2,0,F,cameroon,Cotonsport De Garoua (Cameroon),Fovu Club De Baham (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Sable De Batie,Panthere Du Nde,2000-01-24,3,1,F,cameroon,Sable De Batie (Cameroon),Panthere Du Nde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Caiman Club Douala,Esperance De Guider,2000-01-24,4,0,F,cameroon,Caiman Club Douala (Cameroon),Esperance De Guider (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Port FC,Girondins De Ngaoundere,2000-01-24,3,1,F,cameroon,Port FC (Cameroon),Girondins De Ngaoundere (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Stade Bandjoun,Olympic Mvolye,2000-01-24,2,1,F,cameroon,Stade Bandjoun (Cameroon),Olympic Mvolye (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Kumbo Strikers,Cintra De Yaounde,2000-01-24,1,0,F,cameroon,Kumbo Strikers (Cameroon),Cintra De Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Port FC,Caiman Club Douala,2000-01-24,0,1,F,cameroon,Port FC (Cameroon),Caiman Club Douala (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Cotonsport De Garoua,Sable De Batie,2000-01-24,3,0,F,cameroon,Cotonsport De Garoua (Cameroon),Sable De Batie (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Olympic Mvolye,Tonnerre Kalara Club De Yaounde,2000-01-24,1,1,F,cameroon,Olympic Mvolye (Cameroon),Tonnerre Kalara Club De Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Cintra De Yaounde,Canon Yaounde,2000-01-24,3,3,F,cameroon,Cintra De Yaounde (Cameroon),Canon Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Racing De Bafoussam,Esperance De Guider,2000-01-24,1,2,F,cameroon,Racing De Bafoussam (Cameroon),Esperance De Guider (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Panthere Du Nde,Stade Bandjoun,2000-01-24,0,0,F,cameroon,Panthere Du Nde (Cameroon),Stade Bandjoun (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Kumbo Strikers,Girondins De Ngaoundere,2000-01-24,1,0,F,cameroon,Kumbo Strikers (Cameroon),Girondins De Ngaoundere (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Fovu Club De Baham,Union Sportive De Douala,2000-01-24,1,1,F,cameroon,Fovu Club De Baham (Cameroon),Union Sportive De Douala (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Olympic Mvolye,Caiman Club Douala,2000-02-02,1,1,F,cameroon,Olympic Mvolye (Cameroon),Caiman Club Douala (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Cintra De Yaounde,Stade Bandjoun,2000-02-02,2,0,F,cameroon,Cintra De Yaounde (Cameroon),Stade Bandjoun (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Racing De Bafoussam,Cotonsport De Garoua,2000-02-02,0,0,F,cameroon,Racing De Bafoussam (Cameroon),Cotonsport De Garoua (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Fovu Club De Baham,Kumbo Strikers,2000-02-02,1,0,F,cameroon,Fovu Club De Baham (Cameroon),Kumbo Strikers (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Girondins De Ngaoundere,Canon Yaounde,2000-02-02,1,0,F,cameroon,Girondins De Ngaoundere (Cameroon),Canon Yaounde (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
Sable De Batie,Port FC,2000-02-02,2,2,F,cameroon,Sable De Batie (Cameroon),Port FC (Cameroon),cameroon,cameroon,CM,CM,Africa,Africa,Africa,national
