home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Vaughan Shooters,Portugal FC,2004-05-24,2,2,F,canada,Vaughan Shooters (Canada),Portugal FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Hamilton Thunder,Metro Lions FC,2004-05-27,1,1,F,canada,Hamilton Thunder (Canada),Metro Lions FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Vaughan Shooters,Durham Storm,2004-05-30,5,0,F,canada,Vaughan Shooters (Canada),Durham Storm (Canada),canada,canada,CA,CA,North America,North America,North America,national
Brampton Hitmen,St Catharines Roma Wolves,2004-05-30,0,0,F,canada,Brampton Hitmen (Canada),St Catharines Roma Wolves (Canada),canada,canada,CA,CA,North America,North America,North America,national
London City FC,Durham Storm,2004-06-04,4,1,F,canada,London City FC (Canada),Durham Storm (Canada),canada,canada,CA,CA,North America,North America,North America,national
Windsor Border Stars,Toronto Croatia,2004-06-05,1,0,F,canada,Windsor Border Stars (Canada),Toronto Croatia (Canada),canada,canada,CA,CA,North America,North America,North America,national
Vaughan Shooters,St Catharines Roma Wolves,2004-06-06,2,1,F,canada,Vaughan Shooters (Canada),St Catharines Roma Wolves (Canada),canada,canada,CA,CA,North America,North America,North America,national
Brampton Hitmen,Metro Lions FC,2004-06-06,2,1,F,canada,Brampton Hitmen (Canada),Metro Lions FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
North York Astros,Brampton Hitmen,2004-06-08,0,2,F,canada,North York Astros (Canada),Brampton Hitmen (Canada),canada,canada,CA,CA,North America,North America,North America,national
St Catharines Roma Wolves,Hamilton Thunder,2004-06-09,3,2,F,canada,St Catharines Roma Wolves (Canada),Hamilton Thunder (Canada),canada,canada,CA,CA,North America,North America,North America,national
Toronto Croatia,Portugal FC,2004-06-11,1,3,F,canada,Toronto Croatia (Canada),Portugal FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Durham Storm,Vaughan Shooters,2004-06-11,1,2,F,canada,Durham Storm (Canada),Vaughan Shooters (Canada),canada,canada,CA,CA,North America,North America,North America,national
Windsor Border Stars,North York Astros,2004-06-12,3,1,F,canada,Windsor Border Stars (Canada),North York Astros (Canada),canada,canada,CA,CA,North America,North America,North America,national
Metro Lions FC,Windsor Border Stars,2004-06-13,3,2,F,canada,Metro Lions FC (Canada),Windsor Border Stars (Canada),canada,canada,CA,CA,North America,North America,North America,national
Brampton Hitmen,Hamilton Thunder,2004-06-13,0,3,F,canada,Brampton Hitmen (Canada),Hamilton Thunder (Canada),canada,canada,CA,CA,North America,North America,North America,national
St Catharines Roma Wolves,Toronto Croatia,2004-06-16,1,1,F,canada,St Catharines Roma Wolves (Canada),Toronto Croatia (Canada),canada,canada,CA,CA,North America,North America,North America,national
Portugal FC,North York Astros,2004-06-17,0,0,F,canada,Portugal FC (Canada),North York Astros (Canada),canada,canada,CA,CA,North America,North America,North America,national
Toronto Croatia,Vaughan Shooters,2004-06-18,2,1,F,canada,Toronto Croatia (Canada),Vaughan Shooters (Canada),canada,canada,CA,CA,North America,North America,North America,national
London City FC,Metro Lions FC,2004-06-18,1,2,F,canada,London City FC (Canada),Metro Lions FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Durham Storm,Windsor Border Stars,2004-06-18,1,2,F,canada,Durham Storm (Canada),Windsor Border Stars (Canada),canada,canada,CA,CA,North America,North America,North America,national
Vaughan Shooters,Brampton Hitmen,2004-06-20,0,0,F,canada,Vaughan Shooters (Canada),Brampton Hitmen (Canada),canada,canada,CA,CA,North America,North America,North America,national
Metro Lions FC,North York Astros,2004-06-20,3,0,F,canada,Metro Lions FC (Canada),North York Astros (Canada),canada,canada,CA,CA,North America,North America,North America,national
St Catharines Roma Wolves,London City FC,2004-06-23,2,4,F,canada,St Catharines Roma Wolves (Canada),London City FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Portugal FC,Toronto Croatia,2004-06-24,3,1,F,canada,Portugal FC (Canada),Toronto Croatia (Canada),canada,canada,CA,CA,North America,North America,North America,national
London City FC,North York Astros,2004-06-25,3,2,F,canada,London City FC (Canada),North York Astros (Canada),canada,canada,CA,CA,North America,North America,North America,national
Durham Storm,Brampton Hitmen,2004-06-25,1,2,F,canada,Durham Storm (Canada),Brampton Hitmen (Canada),canada,canada,CA,CA,North America,North America,North America,national
Windsor Border Stars,St Catharines Roma Wolves,2004-06-26,0,0,F,canada,Windsor Border Stars (Canada),St Catharines Roma Wolves (Canada),canada,canada,CA,CA,North America,North America,North America,national
Vaughan Shooters,Hamilton Thunder,2004-06-27,1,0,F,canada,Vaughan Shooters (Canada),Hamilton Thunder (Canada),canada,canada,CA,CA,North America,North America,North America,national
Toronto Croatia,Metro Lions FC,2004-06-27,1,2,F,canada,Toronto Croatia (Canada),Metro Lions FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
North York Astros,Durham Storm,2004-06-29,3,2,F,canada,North York Astros (Canada),Durham Storm (Canada),canada,canada,CA,CA,North America,North America,North America,national
St Catharines Roma Wolves,Portugal FC,2004-07-07,1,2,F,canada,St Catharines Roma Wolves (Canada),Portugal FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Hamilton Thunder,Brampton Hitmen,2004-07-08,4,1,F,canada,Hamilton Thunder (Canada),Brampton Hitmen (Canada),canada,canada,CA,CA,North America,North America,North America,national
Toronto Croatia,North York Astros,2004-07-09,3,1,F,canada,Toronto Croatia (Canada),North York Astros (Canada),canada,canada,CA,CA,North America,North America,North America,national
London City FC,Windsor Border Stars,2004-07-09,0,2,F,canada,London City FC (Canada),Windsor Border Stars (Canada),canada,canada,CA,CA,North America,North America,North America,national
Windsor Border Stars,Durham Storm,2004-07-10,6,0,F,canada,Windsor Border Stars (Canada),Durham Storm (Canada),canada,canada,CA,CA,North America,North America,North America,national
Metro Lions FC,Toronto Croatia,2004-07-11,4,3,F,canada,Metro Lions FC (Canada),Toronto Croatia (Canada),canada,canada,CA,CA,North America,North America,North America,national
Brampton Hitmen,Portugal FC,2004-07-11,0,2,F,canada,Brampton Hitmen (Canada),Portugal FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
North York Astros,St Catharines Roma Wolves,2004-07-13,3,2,F,canada,North York Astros (Canada),St Catharines Roma Wolves (Canada),canada,canada,CA,CA,North America,North America,North America,national
Portugal FC,Hamilton Thunder,2004-07-16,2,1,F,canada,Portugal FC (Canada),Hamilton Thunder (Canada),canada,canada,CA,CA,North America,North America,North America,national
London City FC,Toronto Croatia,2004-07-16,2,2,F,canada,London City FC (Canada),Toronto Croatia (Canada),canada,canada,CA,CA,North America,North America,North America,national
Durham Storm,Metro Lions FC,2004-07-16,0,6,F,canada,Durham Storm (Canada),Metro Lions FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Windsor Border Stars,Brampton Hitmen,2004-07-17,1,2,F,canada,Windsor Border Stars (Canada),Brampton Hitmen (Canada),canada,canada,CA,CA,North America,North America,North America,national
Vaughan Shooters,London City FC,2004-07-18,3,0,F,canada,Vaughan Shooters (Canada),London City FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
Metro Lions FC,Portugal FC,2004-07-18,2,2,F,canada,Metro Lions FC (Canada),Portugal FC (Canada),canada,canada,CA,CA,North America,North America,North America,national
St Catharines Roma Wolves,Windsor Border Stars,2004-07-18,0,2,F,canada,St Catharines Roma Wolves (Canada),Windsor Border Stars (Canada),canada,canada,CA,CA,North America,North America,North America,national
Hamilton Thunder,Durham Storm,2004-07-19,7,0,F,canada,Hamilton Thunder (Canada),Durham Storm (Canada),canada,canada,CA,CA,North America,North America,North America,national
