home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Onze Unidos,Derby,2000-04-14,1,0,F,cape-verde-islands,Onze Unidos (Cape Verde Islands),Derby (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Desportivo No Pintcha,Solpontense FC,2000-04-15,1,3,F,cape-verde-islands,Desportivo No Pintcha (Cape Verde Islands),Solpontense FC (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Academica Sal,FC Ultramarina,2000-04-15,2,0,F,cape-verde-islands,Academica Sal (Cape Verde Islands),FC Ultramarina (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Botafogo FC,Onze Unidos,2000-04-21,1,1,F,cape-verde-islands,Botafogo FC (Cape Verde Islands),Onze Unidos (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Derby,Academica Sal,2000-04-21,0,0,F,cape-verde-islands,Derby (Cape Verde Islands),Academica Sal (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
FC Ultramarina,Desportivo No Pintcha,2000-04-21,1,1,F,cape-verde-islands,FC Ultramarina (Cape Verde Islands),Desportivo No Pintcha (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Solpontense FC,FC Ultramarina,2000-04-28,1,0,F,cape-verde-islands,Solpontense FC (Cape Verde Islands),FC Ultramarina (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Desportivo No Pintcha,Derby,2000-04-28,0,2,F,cape-verde-islands,Desportivo No Pintcha (Cape Verde Islands),Derby (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Academica Sal,Botafogo FC,2000-04-28,1,0,F,cape-verde-islands,Academica Sal (Cape Verde Islands),Botafogo FC (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
Onze Unidos,Academica Sal,2000-05-05,2,1,F,cape-verde-islands,Onze Unidos (Cape Verde Islands),Academica Sal (Cape Verde Islands),cape-verde-islands,cape-verde-islands,CVI,CVI,Africa,Africa,Africa,national
