home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Elite FC,Latinos FC,2008-10-19,1,0,F,cayman-islands,Elite FC (Cayman Islands),Latinos FC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Tigers FC,Roma United SC,2008-10-19,1,0,F,cayman-islands,Tigers FC (Cayman Islands),Roma United SC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Sunset FC,Future SC,2008-10-19,1,0,F,cayman-islands,Sunset FC (Cayman Islands),Future SC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
George Town SC,Scholars International FC,2008-10-19,0,0,F,cayman-islands,George Town SC (Cayman Islands),Scholars International FC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Scholars International FC,Tigers FC,2008-10-26,3,2,F,cayman-islands,Scholars International FC (Cayman Islands),Tigers FC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Latinos FC,George Town SC,2008-10-26,2,2,F,cayman-islands,Latinos FC (Cayman Islands),George Town SC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Roma United SC,Sunset FC,2008-10-26,0,2,F,cayman-islands,Roma United SC (Cayman Islands),Sunset FC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Elite FC,Future SC,2008-10-26,0,0,F,cayman-islands,Elite FC (Cayman Islands),Future SC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Sunset FC,George Town SC,2008-11-02,3,2,F,cayman-islands,Sunset FC (Cayman Islands),George Town SC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
Roma United SC,Elite FC,2008-11-02,1,2,F,cayman-islands,Roma United SC (Cayman Islands),Elite FC (Cayman Islands),cayman-islands,cayman-islands,KY,KY,North America,North America,North America,national
