home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Etoile Morne A L Eau,Claytons Kola Tonic Notre Dame,1997-07-16,0,0,F,CFU CC,Etoile Morne A L Eau (Guadeloupe),Claytons Kola Tonic Notre Dame (Barbados),guadeloupe,barbados,GP,BB,North America,North America,North America,international
United Petrotrin,Omai Gold Seekers,1997-07-16,2,0,F,CFU CC,United Petrotrin (Trinidad And Tobago),Omai Gold Seekers (Guyana),trinidad-and-tobago,guyana,TT,GY,North America,South America,North America,international
Omai Gold Seekers,Claytons Kola Tonic Notre Dame,1997-07-18,0,2,F,CFU CC,Omai Gold Seekers (Guyana),Claytons Kola Tonic Notre Dame (Barbados),guyana,barbados,GY,BB,South America,North America,North America,international
Etoile Morne A L Eau,United Petrotrin,1997-07-18,1,7,F,CFU CC,Etoile Morne A L Eau (Guadeloupe),United Petrotrin (Trinidad And Tobago),guadeloupe,trinidad-and-tobago,GP,TT,North America,North America,North America,international
Omai Gold Seekers,Etoile Morne A L Eau,1997-07-20,1,1,F,CFU CC,Omai Gold Seekers (Guyana),Etoile Morne A L Eau (Guadeloupe),guyana,guadeloupe,GY,GP,South America,North America,North America,international
United Petrotrin,Claytons Kola Tonic Notre Dame,1997-07-20,5,0,F,CFU CC,United Petrotrin (Trinidad And Tobago),Claytons Kola Tonic Notre Dame (Barbados),trinidad-and-tobago,barbados,TT,BB,North America,North America,North America,international
Transvaal,Stubborn Youth SC,1997-07-27,1,0,F,CFU CC,Transvaal (Surinam),Stubborn Youth SC (St Vincent And The Grenadines),surinam,st-vincent-and-the-grenadines,SUR,SVAG,South America,North America,North America,international
Club Franciscain,Montego Bay United FC,1997-07-27,0,2,F,CFU CC,Club Franciscain (Martinique),Montego Bay United FC (Jamaica),martinique,jamaica,MQ,JM,North America,North America,North America,international
Club Franciscain,Transvaal,1997-07-29,2,1,F,CFU CC,Club Franciscain (Martinique),Transvaal (Surinam),martinique,surinam,MQ,SUR,North America,South America,North America,international
Stubborn Youth SC,Montego Bay United FC,1997-07-29,1,5,F,CFU CC,Stubborn Youth SC (St Vincent And The Grenadines),Montego Bay United FC (Jamaica),st-vincent-and-the-grenadines,jamaica,SVAG,JM,North America,North America,North America,international
Stubborn Youth SC,Club Franciscain,1997-07-31,2,3,F,CFU CC,Stubborn Youth SC (St Vincent And The Grenadines),Club Franciscain (Martinique),st-vincent-and-the-grenadines,martinique,SVAG,MQ,North America,North America,North America,international
Montego Bay United FC,Transvaal,1997-07-31,2,0,F,CFU CC,Montego Bay United FC (Jamaica),Transvaal (Surinam),jamaica,surinam,JM,SUR,North America,South America,North America,international
United Petrotrin,Montego Bay United FC,1997-08-02,2,1,E,CFU CC,United Petrotrin (Trinidad And Tobago),Montego Bay United FC (Jamaica),trinidad-and-tobago,jamaica,TT,JM,North America,North America,North America,international
Waterhouse FC,Etoile Morne A L Eau,1998-11-20,3,0,F,CFU CC,Waterhouse FC (Jamaica),Etoile Morne A L Eau (Guadeloupe),jamaica,guadeloupe,JM,GP,North America,North America,North America,international
Caledonia Aia,Chelsea FC,1998-11-20,13,0,F,CFU CC,Caledonia Aia (Trinidad And Tobago),Chelsea FC (St Vincent And The Grenadines),trinidad-and-tobago,st-vincent-and-the-grenadines,TT,SVAG,North America,North America,North America,international
San Juan Jabloteh,Laiglon Du Lamentin,1998-11-21,0,2,F,CFU CC,San Juan Jabloteh (Trinidad And Tobago),Laiglon Du Lamentin (Martinique),trinidad-and-tobago,martinique,TT,MQ,North America,North America,North America,international
Joe Public FC,Claytons Kola Tonic Notre Dame,1998-11-21,4,0,F,CFU CC,Joe Public FC (Trinidad And Tobago),Claytons Kola Tonic Notre Dame (Barbados),trinidad-and-tobago,barbados,TT,BB,North America,North America,North America,international
Joe Public FC,Waterhouse FC,1998-11-25,3,1,F,CFU CC,Joe Public FC (Trinidad And Tobago),Waterhouse FC (Jamaica),trinidad-and-tobago,jamaica,TT,JM,North America,North America,North America,international
