home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Audax Italiano,CD Magallanes,1945-01-05,3,2,F,chile,Audax Italiano (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,Universidad de Chile,1945-01-05,1,1,F,chile,Colo Colo (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Union Espanola,1945-01-05,1,3,F,chile,Santiago Morning (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,CD Magallanes,1945-01-09,3,2,F,chile,Santiago Morning (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Colo Colo,1945-01-09,4,6,F,chile,Audax Italiano (Chile),Colo Colo (Chile),chile,chile,CL,CL,South America,South America,South America,national
Universidad de Chile,Union Espanola,1945-01-09,1,2,F,chile,Universidad de Chile (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Audax Italiano,1945-01-13,6,3,F,chile,Santiago Morning (Chile),Audax Italiano (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,Union Espanola,1945-01-13,1,0,F,chile,Colo Colo (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Universidad de Chile,CD Magallanes,1945-01-13,3,2,F,chile,Universidad de Chile (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Universidad de Chile,1945-01-17,2,0,F,chile,Audax Italiano (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Colo Colo,1945-01-17,3,5,F,chile,Santiago Morning (Chile),Colo Colo (Chile),chile,chile,CL,CL,South America,South America,South America,national
Union Espanola,CD Magallanes,1945-01-17,3,1,F,chile,Union Espanola (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Union Espanola,1945-01-21,3,2,F,chile,Audax Italiano (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,CD Magallanes,1945-01-21,2,0,F,chile,Colo Colo (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Universidad de Chile,1945-01-21,6,2,F,chile,Santiago Morning (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Ferrobadminton,CD Magallanes,1945-01-25,0,4,F,chile,CD Ferrobadminton (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Union Espanola,1945-01-25,3,5,F,chile,Audax Italiano (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,Santiago Morning,1945-01-25,2,3,F,chile,Colo Colo (Chile),Santiago Morning (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Green Cross,Universidad de Chile,1945-01-25,5,2,F,chile,CD Green Cross (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
Universidad Catolica,Santiago National,1945-01-25,5,1,F,chile,Universidad Catolica (Chile),Santiago National (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Everton,Santiago Wanderers,1945-01-25,4,1,F,chile,CD Everton (Chile),Santiago Wanderers (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Santiago Wanderers,1945-01-29,2,1,F,chile,Audax Italiano (Chile),Santiago Wanderers (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,CD Ferrobadminton,1945-01-29,4,2,F,chile,Santiago Morning (Chile),CD Ferrobadminton (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Green Cross,Santiago National,1945-01-29,2,2,F,chile,CD Green Cross (Chile),Santiago National (Chile),chile,chile,CL,CL,South America,South America,South America,national
Union Espanola,CD Magallanes,1945-01-29,1,0,F,chile,Union Espanola (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Everton,Colo Colo,1945-01-29,1,0,F,chile,CD Everton (Chile),Colo Colo (Chile),chile,chile,CL,CL,South America,South America,South America,national
Universidad de Chile,Universidad Catolica,1945-01-29,4,1,F,chile,Universidad de Chile (Chile),Universidad Catolica (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,Santiago National,1945-02-02,1,3,F,chile,Audax Italiano (Chile),Santiago National (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Ferrobadminton,CD Green Cross,1945-02-02,1,1,F,chile,CD Ferrobadminton (Chile),CD Green Cross (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,CD Magallanes,1945-02-02,2,1,F,chile,Colo Colo (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Everton,Universidad Catolica,1945-02-02,1,1,F,chile,CD Everton (Chile),Universidad Catolica (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Universidad de Chile,1945-02-02,2,0,F,chile,Santiago Morning (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Wanderers,Union Espanola,1945-02-02,4,1,F,chile,Santiago Wanderers (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,CD Green Cross,1945-02-06,2,5,F,chile,Santiago Morning (Chile),CD Green Cross (Chile),chile,chile,CL,CL,South America,South America,South America,national
Audax Italiano,CD Magallanes,1945-02-06,4,1,F,chile,Audax Italiano (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,Union Espanola,1945-02-06,2,0,F,chile,Colo Colo (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Everton,Universidad de Chile,1945-02-06,1,3,F,chile,CD Everton (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Wanderers,Universidad Catolica,1945-02-06,3,6,F,chile,Santiago Wanderers (Chile),Universidad Catolica (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago National,CD Ferrobadminton,1945-02-06,2,0,F,chile,Santiago National (Chile),CD Ferrobadminton (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Green Cross,CD Everton,1945-02-10,1,0,F,chile,CD Green Cross (Chile),CD Everton (Chile),chile,chile,CL,CL,South America,South America,South America,national
Universidad Catolica,Audax Italiano,1945-02-10,0,1,F,chile,Universidad Catolica (Chile),Audax Italiano (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago Morning,Union Espanola,1945-02-10,1,0,F,chile,Santiago Morning (Chile),Union Espanola (Chile),chile,chile,CL,CL,South America,South America,South America,national
Santiago National,CD Magallanes,1945-02-10,1,2,F,chile,Santiago National (Chile),CD Magallanes (Chile),chile,chile,CL,CL,South America,South America,South America,national
Colo Colo,Santiago Wanderers,1945-02-10,1,1,F,chile,Colo Colo (Chile),Santiago Wanderers (Chile),chile,chile,CL,CL,South America,South America,South America,national
CD Ferrobadminton,Universidad de Chile,1945-02-10,3,2,F,chile,CD Ferrobadminton (Chile),Universidad de Chile (Chile),chile,chile,CL,CL,South America,South America,South America,national
