home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
August 1st Army Team,Jiangsu Suning,1994-04-17,1,1,F,china-pr,August 1st Army Team (China Pr),Jiangsu Suning (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Qingdao Haixin,Beijing Guoan,1994-04-17,0,2,F,china-pr,Qingdao Haixin (China Pr),Beijing Guoan (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Changchun Yatai,Dalian Shide,1994-04-17,1,3,F,china-pr,Changchun Yatai (China Pr),Dalian Shide (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Shandong Luneng,Guangzhou Evergrande,1994-04-17,1,0,F,china-pr,Shandong Luneng (China Pr),Guangzhou Evergrande (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Guangzhou R F,Shanghai Greenland,1994-04-17,2,3,F,china-pr,Guangzhou R F (China Pr),Shanghai Greenland (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Sichuan Guancheng,Liaoning Hongyn,1994-04-17,1,1,F,china-pr,Sichuan Guancheng (China Pr),Liaoning Hongyn (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Qingdao Haixin,August 1st Army Team,1994-04-24,0,1,F,china-pr,Qingdao Haixin (China Pr),August 1st Army Team (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Jiangsu Suning,Guangzhou Evergrande,1994-04-24,0,0,F,china-pr,Jiangsu Suning (China Pr),Guangzhou Evergrande (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Shandong Luneng,Liaoning Hongyn,1994-04-24,1,0,F,china-pr,Shandong Luneng (China Pr),Liaoning Hongyn (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Shanghai Greenland,Beijing Guoan,1994-04-24,4,3,F,china-pr,Shanghai Greenland (China Pr),Beijing Guoan (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Guangzhou R F,Dalian Shide,1994-04-24,1,0,F,china-pr,Guangzhou R F (China Pr),Dalian Shide (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Sichuan Guancheng,Changchun Yatai,1994-04-24,4,0,F,china-pr,Sichuan Guancheng (China Pr),Changchun Yatai (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Beijing Guoan,Dalian Shide,1994-05-01,2,2,F,china-pr,Beijing Guoan (China Pr),Dalian Shide (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Guangzhou Evergrande,Qingdao Haixin,1994-05-01,3,1,F,china-pr,Guangzhou Evergrande (China Pr),Qingdao Haixin (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Jiangsu Suning,Shandong Luneng,1994-05-01,0,1,F,china-pr,Jiangsu Suning (China Pr),Shandong Luneng (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
Liaoning Hongyn,Changchun Yatai,1994-05-01,2,2,F,china-pr,Liaoning Hongyn (China Pr),Changchun Yatai (China Pr),china-pr,china-pr,CPR,CPR,Asia,Asia,Asia,national
