home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Taipei County Han Chuang,Kaohsiung City,2009-01-01,6,1,F,chinese-taipei,Taipei County Han Chuang (Chinese Taipei),Kaohsiung City (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
I Lan County,Kaohsiung City Enterprise,2009-01-01,0,2,F,chinese-taipei,I Lan County (Chinese Taipei),Kaohsiung City Enterprise (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Kaohsiung City,Miaoli County,2009-01-02,6,1,F,chinese-taipei,Kaohsiung City (Chinese Taipei),Miaoli County (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Kaohsiung City Enterprise,Tainan City,2009-01-02,6,1,F,chinese-taipei,Kaohsiung City Enterprise (Chinese Taipei),Tainan City (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Miaoli County,Taipei County Han Chuang,2009-01-03,0,7,F,chinese-taipei,Miaoli County (Chinese Taipei),Taipei County Han Chuang (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Tainan City,I Lan County,2009-01-03,0,2,F,chinese-taipei,Tainan City (Chinese Taipei),I Lan County (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Kaohsiung City,I Lan County,2009-01-04,3,2,F,chinese-taipei,Kaohsiung City (Chinese Taipei),I Lan County (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Taipei County Han Chuang,Kaohsiung City Enterprise,2009-02-21,0,0,F,chinese-taipei,Taipei County Han Chuang (Chinese Taipei),Kaohsiung City Enterprise (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Taiwan Power Company,Tatung,2009-02-21,1,0,F,chinese-taipei,Taiwan Power Company (Chinese Taipei),Tatung (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
Taipei Pe College,Kaohsiung City,2009-02-21,2,3,F,chinese-taipei,Taipei Pe College (Chinese Taipei),Kaohsiung City (Chinese Taipei),chinese-taipei,chinese-taipei,CHT,CHT,Asia,Asia,Asia,national
