home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Union Magdalena,Deportivo Cali,1995-08-20,1,1,F,colombia,Union Magdalena (Colombia),Deportivo Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Once Caldas,Independiente Medellin,1995-08-20,3,0,F,colombia,Once Caldas (Colombia),Independiente Medellin (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Bucaramanga,Millonarios,1995-08-20,0,2,F,colombia,Atletico Bucaramanga (Colombia),Millonarios (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Corporacion Deportes Quindio,Deportes Tolima,1995-08-20,1,1,F,colombia,Corporacion Deportes Quindio (Colombia),Deportes Tolima (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Santa Fe,Envigado FC,1995-08-20,1,1,F,colombia,Santa Fe (Colombia),Envigado FC (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
America De Cali,Atletico Junior,1995-08-20,5,1,F,colombia,America De Cali (Colombia),Atletico Junior (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Huila,Cortulua,1995-08-20,3,1,F,colombia,Atletico Huila (Colombia),Cortulua (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Nacional,Deportivo Pereira,1995-08-20,2,2,F,colombia,Atletico Nacional (Colombia),Deportivo Pereira (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportivo Cali,Once Caldas,1995-08-28,2,0,F,colombia,Deportivo Cali (Colombia),Once Caldas (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Independiente Medellin,Corporacion Deportes Quindio,1995-08-28,3,3,F,colombia,Independiente Medellin (Colombia),Corporacion Deportes Quindio (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Millonarios,Union Magdalena,1995-08-28,2,0,F,colombia,Millonarios (Colombia),Union Magdalena (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportes Tolima,Atletico Bucaramanga,1995-08-28,1,0,F,colombia,Deportes Tolima (Colombia),Atletico Bucaramanga (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Junior,Santa Fe,1995-08-28,2,1,F,colombia,Atletico Junior (Colombia),Santa Fe (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportivo Pereira,America De Cali,1995-08-28,1,1,F,colombia,Deportivo Pereira (Colombia),America De Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Cortulua,Atletico Nacional,1995-08-28,1,1,F,colombia,Cortulua (Colombia),Atletico Nacional (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Envigado FC,Atletico Huila,1995-08-28,3,1,F,colombia,Envigado FC (Colombia),Atletico Huila (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Corporacion Deportes Quindio,Deportivo Cali,1995-09-03,2,0,F,colombia,Corporacion Deportes Quindio (Colombia),Deportivo Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportes Tolima,Independiente Medellin,1995-09-03,1,0,F,colombia,Deportes Tolima (Colombia),Independiente Medellin (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Once Caldas,Millonarios,1995-09-03,1,1,F,colombia,Once Caldas (Colombia),Millonarios (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Bucaramanga,Union Magdalena,1995-09-03,2,1,F,colombia,Atletico Bucaramanga (Colombia),Union Magdalena (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Nacional,Atletico Huila,1995-09-03,3,1,F,colombia,Atletico Nacional (Colombia),Atletico Huila (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
America De Cali,Cortulua,1995-09-03,2,2,F,colombia,America De Cali (Colombia),Cortulua (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Santa Fe,Deportivo Pereira,1995-09-03,2,1,F,colombia,Santa Fe (Colombia),Deportivo Pereira (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Junior,Envigado FC,1995-09-03,1,0,F,colombia,Atletico Junior (Colombia),Envigado FC (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportivo Cali,Deportes Tolima,1995-09-10,4,1,F,colombia,Deportivo Cali (Colombia),Deportes Tolima (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Independiente Medellin,Atletico Bucaramanga,1995-09-10,1,2,F,colombia,Independiente Medellin (Colombia),Atletico Bucaramanga (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Millonarios,Corporacion Deportes Quindio,1995-09-10,2,1,F,colombia,Millonarios (Colombia),Corporacion Deportes Quindio (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Union Magdalena,Once Caldas,1995-09-10,1,0,F,colombia,Union Magdalena (Colombia),Once Caldas (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Envigado FC,Atletico Nacional,1995-09-10,1,2,F,colombia,Envigado FC (Colombia),Atletico Nacional (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Huila,America De Cali,1995-09-10,2,1,F,colombia,Atletico Huila (Colombia),America De Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Cortulua,Santa Fe,1995-09-10,0,2,F,colombia,Cortulua (Colombia),Santa Fe (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportivo Pereira,Atletico Junior,1995-09-10,0,0,F,colombia,Deportivo Pereira (Colombia),Atletico Junior (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Independiente Medellin,Deportivo Cali,1995-09-17,1,2,F,colombia,Independiente Medellin (Colombia),Deportivo Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportes Tolima,Millonarios,1995-09-17,2,1,F,colombia,Deportes Tolima (Colombia),Millonarios (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Corporacion Deportes Quindio,Union Magdalena,1995-09-17,2,3,F,colombia,Corporacion Deportes Quindio (Colombia),Union Magdalena (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Bucaramanga,Once Caldas,1995-09-17,1,1,F,colombia,Atletico Bucaramanga (Colombia),Once Caldas (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Junior,Cortulua,1995-09-17,4,1,F,colombia,Atletico Junior (Colombia),Cortulua (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Santa Fe,Atletico Huila,1995-09-17,2,2,F,colombia,Santa Fe (Colombia),Atletico Huila (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Deportivo Pereira,Envigado FC,1995-09-17,0,2,F,colombia,Deportivo Pereira (Colombia),Envigado FC (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
America De Cali,Atletico Nacional,1995-09-17,3,0,F,colombia,America De Cali (Colombia),Atletico Nacional (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Atletico Bucaramanga,Deportivo Cali,1995-09-25,2,3,F,colombia,Atletico Bucaramanga (Colombia),Deportivo Cali (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Millonarios,Independiente Medellin,1995-09-25,2,0,F,colombia,Millonarios (Colombia),Independiente Medellin (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Union Magdalena,Deportes Tolima,1995-09-25,1,1,F,colombia,Union Magdalena (Colombia),Deportes Tolima (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
Once Caldas,Corporacion Deportes Quindio,1995-09-25,2,1,F,colombia,Once Caldas (Colombia),Corporacion Deportes Quindio (Colombia),colombia,colombia,CO,CO,South America,South America,South America,national
