home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Tp Molunge,CS Matiti Mabe,2010-01-24,2,0,F,congo-dr,Tp Molunge (Congo Dr),CS Matiti Mabe (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
Asv Club,As Veti Club,2010-01-24,4,0,F,congo-dr,Asv Club (Congo Dr),As Veti Club (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
As Babeti Ya Sika,As Vutuka,2010-01-24,1,2,F,congo-dr,As Babeti Ya Sika (Congo Dr),As Vutuka (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
Dc Motema Pembe,Tc Elima,2010-01-24,0,3,F,congo-dr,Dc Motema Pembe (Congo Dr),Tc Elima (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
As New Soger,Olympic Club Kinshasa,2010-01-24,0,0,F,congo-dr,As New Soger (Congo Dr),Olympic Club Kinshasa (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
Sm Sanga Balende,US Tshinkunku,2010-01-24,2,0,F,congo-dr,Sm Sanga Balende (Congo Dr),US Tshinkunku (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
Dc Virunga,Oc Muungano,2010-01-24,1,0,F,congo-dr,Dc Virunga (Congo Dr),Oc Muungano (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
As Veti Club,Tp Molunge,2010-01-27,1,0,F,congo-dr,As Veti Club (Congo Dr),Tp Molunge (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
CS Matiti Mabe,Asv Club,2010-01-27,0,3,F,congo-dr,CS Matiti Mabe (Congo Dr),Asv Club (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
As Vutuka,Dc Motema Pembe,2010-01-27,1,3,F,congo-dr,As Vutuka (Congo Dr),Dc Motema Pembe (Congo Dr),congo-dr,congo-dr,CDR,CDR,Africa,Africa,Africa,national
