home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
JS De Talangai,Ajax De Ouenze,2011-03-04,3,3,F,congo,JS De Talangai (Congo),Ajax De Ouenze (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Diables Noirs,As Inter Club De Brazzaville,2011-03-04,2,0,F,congo,Diables Noirs (Congo),As Inter Club De Brazzaville (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Police,Saint Michel De Ouenze,2011-03-05,0,5,F,congo,As Police (Congo),Saint Michel De Ouenze (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Arc En Ciel De Moranzambe,C A Renaissance Aiglons,2011-03-06,2,0,F,congo,Arc En Ciel De Moranzambe (Congo),C A Renaissance Aiglons (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Etoile Du Congo,Patronage Sainte Anne,2011-03-06,0,0,F,congo,Etoile Du Congo (Congo),Patronage Sainte Anne (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
FC Cuvette Dowando,FC Kondzo,2011-03-06,2,1,F,congo,FC Cuvette Dowando (Congo),FC Kondzo (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Nico Nicoye,Olympique Vision,2011-03-06,0,0,F,congo,Nico Nicoye (Congo),Olympique Vision (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Vita Club De Mokanda,Munisport De Pointe Noire,2011-03-06,1,0,F,congo,Vita Club De Mokanda (Congo),Munisport De Pointe Noire (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
AC Leopards,Olympic De Nkayi,2011-03-06,9,0,F,congo,AC Leopards (Congo),Olympic De Nkayi (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
JS De Talangai,As Police,2011-03-09,1,0,F,congo,JS De Talangai (Congo),As Police (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Ajax De Ouenze,Diables Noirs,2011-03-09,1,0,F,congo,Ajax De Ouenze (Congo),Diables Noirs (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Pigeon Vert,CS La Mancha,2011-03-09,4,2,F,congo,Pigeon Vert (Congo),CS La Mancha (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Pontenegrine,JS De Bougainvillees,2011-03-09,4,0,F,congo,As Pontenegrine (Congo),JS De Bougainvillees (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
US Saint Pierre,As Cheminot,2011-03-10,2,2,F,congo,US Saint Pierre (Congo),As Cheminot (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
C A Renaissance Aiglons,As Inter Club De Brazzaville,2011-03-12,1,0,F,congo,C A Renaissance Aiglons (Congo),As Inter Club De Brazzaville (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
JS De Bougainvillees,CS La Mancha,2011-03-12,1,3,F,congo,JS De Bougainvillees (Congo),CS La Mancha (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Nico Nicoye,AC Leopards,2011-03-12,1,2,F,congo,Nico Nicoye (Congo),AC Leopards (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Police,Ajax De Ouenze,2011-03-13,0,1,F,congo,As Police (Congo),Ajax De Ouenze (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Pontenegrine,Pigeon Vert,2011-03-13,1,2,F,congo,As Pontenegrine (Congo),Pigeon Vert (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Olympic De Nkayi,Olympique Vision,2011-03-13,1,1,F,congo,Olympic De Nkayi (Congo),Olympique Vision (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Vita Club De Mokanda,US Saint Pierre,2011-03-13,2,0,F,congo,Vita Club De Mokanda (Congo),US Saint Pierre (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
FC Kondzo,As Inter Club De Brazzaville,2011-03-16,1,1,F,congo,FC Kondzo (Congo),As Inter Club De Brazzaville (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Etoile Du Congo,Arc En Ciel De Moranzambe,2011-03-16,0,0,F,congo,Etoile Du Congo (Congo),Arc En Ciel De Moranzambe (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
FC Cuvette Dowando,Patronage Sainte Anne,2011-03-16,1,0,F,congo,FC Cuvette Dowando (Congo),Patronage Sainte Anne (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Cheminot,Munisport De Pointe Noire,2011-03-16,0,1,F,congo,As Cheminot (Congo),Munisport De Pointe Noire (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Diables Noirs,JS De Talangai,2011-03-17,0,0,F,congo,Diables Noirs (Congo),JS De Talangai (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Saint Michel De Ouenze,C A Renaissance Aiglons,2011-03-17,0,2,F,congo,Saint Michel De Ouenze (Congo),C A Renaissance Aiglons (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
CS La Mancha,Olympic De Nkayi,2011-03-17,2,0,F,congo,CS La Mancha (Congo),Olympic De Nkayi (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Vita Club De Mokanda,Olympique Vision,2011-03-17,1,0,F,congo,Vita Club De Mokanda (Congo),Olympique Vision (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
FC Kondzo,Arc En Ciel De Moranzambe,2011-03-19,2,1,F,congo,FC Kondzo (Congo),Arc En Ciel De Moranzambe (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
US Saint Pierre,Nico Nicoye,2011-03-19,0,1,F,congo,US Saint Pierre (Congo),Nico Nicoye (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
Patronage Sainte Anne,Saint Michel De Ouenze,2011-03-20,0,2,F,congo,Patronage Sainte Anne (Congo),Saint Michel De Ouenze (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
As Police,Diables Noirs,2011-03-20,0,2,F,congo,As Police (Congo),Diables Noirs (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
FC Cuvette Dowando,Etoile Du Congo,2011-03-20,0,1,F,congo,FC Cuvette Dowando (Congo),Etoile Du Congo (Congo),congo,congo,CON,CON,Africa,Africa,Africa,national
