home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Matavera FC,Tupapa Maraerenga,2008-08-23,0,6,F,cook-islands,Matavera FC (Cook Islands),Tupapa Maraerenga (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Avatiu FC,Nikao Sokattak,2008-08-23,1,3,F,cook-islands,Avatiu FC (Cook Islands),Nikao Sokattak (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Titikaveka FC,Takuvaine FC,2008-08-23,0,6,F,cook-islands,Titikaveka FC (Cook Islands),Takuvaine FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Nikao Sokattak,Tupapa Maraerenga,2008-09-06,2,0,F,cook-islands,Nikao Sokattak (Cook Islands),Tupapa Maraerenga (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Matavera FC,Titikaveka FC,2008-09-06,4,5,F,cook-islands,Matavera FC (Cook Islands),Titikaveka FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Avatiu FC,Arorangi FC,2008-09-06,1,0,F,cook-islands,Avatiu FC (Cook Islands),Arorangi FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Tupapa Maraerenga,Arorangi FC,2008-09-13,7,0,F,cook-islands,Tupapa Maraerenga (Cook Islands),Arorangi FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Takuvaine FC,Matavera FC,2008-09-13,3,2,F,cook-islands,Takuvaine FC (Cook Islands),Matavera FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Nikao Sokattak,Titikaveka FC,2008-09-13,6,1,F,cook-islands,Nikao Sokattak (Cook Islands),Titikaveka FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Nikao Sokattak,Takuvaine FC,2008-09-20,2,1,F,cook-islands,Nikao Sokattak (Cook Islands),Takuvaine FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Titikaveka FC,Avatiu FC,2008-09-20,0,4,F,cook-islands,Titikaveka FC (Cook Islands),Avatiu FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Arorangi FC,Matavera FC,2008-09-20,3,0,F,cook-islands,Arorangi FC (Cook Islands),Matavera FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Matavera FC,Nikao Sokattak,2009-10-16,0,2,F,cook-islands,Matavera FC (Cook Islands),Nikao Sokattak (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Titikaveka FC,Takuvaine FC,2009-10-17,1,2,F,cook-islands,Titikaveka FC (Cook Islands),Takuvaine FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Arorangi FC,Avatiu FC,2009-10-17,0,4,F,cook-islands,Arorangi FC (Cook Islands),Avatiu FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
Takuvaine FC,Avatiu FC,2009-10-24,2,2,F,cook-islands,Takuvaine FC (Cook Islands),Avatiu FC (Cook Islands),cook-islands,cook-islands,CK,CK,Oceania,Oceania,Oceania,national
