home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
CA Penarol,Jorge Wilstermann,1960-04-19,7,1,F,Copa Lib,CA Penarol (Uruguay),Jorge Wilstermann (Bolivia),uruguay,bolivia,UY,BO,South America,South America,South America,international
San Lorenzo,EC Bahia,1960-04-20,3,0,F,Copa Lib,San Lorenzo (Argentina),EC Bahia (Brazil),argentina,brazil,AR,BR,South America,South America,South America,international
Jorge Wilstermann,CA Penarol,1960-04-30,1,1,F,Copa Lib,Jorge Wilstermann (Bolivia),CA Penarol (Uruguay),bolivia,uruguay,BO,UY,South America,South America,South America,international
EC Bahia,San Lorenzo,1960-05-03,3,2,F,Copa Lib,EC Bahia (Brazil),San Lorenzo (Argentina),brazil,argentina,BR,AR,South America,South America,South America,international
Universidad de Chile,Millonarios,1960-05-08,0,6,F,Copa Lib,Universidad de Chile (Chile),Millonarios (Colombia),chile,colombia,CL,CO,South America,South America,South America,international
Millonarios,Universidad de Chile,1960-05-15,1,0,F,Copa Lib,Millonarios (Colombia),Universidad de Chile (Chile),colombia,chile,CO,CL,South America,South America,South America,international
CA Penarol,San Lorenzo,1960-05-18,1,1,F,Copa Lib,CA Penarol (Uruguay),San Lorenzo (Argentina),uruguay,argentina,UY,AR,South America,South America,South America,international
San Lorenzo,CA Penarol,1960-05-24,0,0,F,Copa Lib,San Lorenzo (Argentina),CA Penarol (Uruguay),argentina,uruguay,AR,UY,South America,South America,South America,international
Millonarios,Club Olimpia,1960-05-29,0,0,F,Copa Lib,Millonarios (Colombia),Club Olimpia (Paraguay),colombia,paraguay,CO,PY,South America,South America,South America,international
CA Penarol,San Lorenzo,1960-05-29,2,1,F,Copa Lib,CA Penarol (Uruguay),San Lorenzo (Argentina),uruguay,argentina,UY,AR,South America,South America,South America,international
Club Olimpia,Millonarios,1960-06-05,5,1,F,Copa Lib,Club Olimpia (Paraguay),Millonarios (Colombia),paraguay,colombia,PY,CO,South America,South America,South America,international
CA Penarol,Club Olimpia,1960-06-12,1,0,F,Copa Lib,CA Penarol (Uruguay),Club Olimpia (Paraguay),uruguay,paraguay,UY,PY,South America,South America,South America,international
Club Olimpia,CA Penarol,1960-06-19,1,1,F,Copa Lib,Club Olimpia (Paraguay),CA Penarol (Uruguay),paraguay,uruguay,PY,UY,South America,South America,South America,international
Santa Fe,Barcelona SC,1961-04-02,3,0,F,Copa Lib,Santa Fe (Colombia),Barcelona SC (Ecuador),colombia,ecuador,CO,EC,South America,South America,South America,international
Barcelona SC,Santa Fe,1961-04-09,2,2,F,Copa Lib,Barcelona SC (Ecuador),Santa Fe (Colombia),ecuador,colombia,EC,CO,South America,South America,South America,international
