home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Ldu Quito,Barcelona SC,2003-07-29,2,0,F,Copa Sud,Ldu Quito (Ecuador),Barcelona SC (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,international
Corinthians SP,Atletico Mineiro,2003-07-30,0,2,F,Copa Sud,Corinthians SP (Brazil),Atletico Mineiro (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Gremio Porto Alegre,Sao Paulo FC,2003-07-30,0,4,F,Copa Sud,Gremio Porto Alegre (Brazil),Sao Paulo FC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Sao Caetano,Se Palmeiras,2003-07-30,3,0,F,Copa Sud,Sao Caetano (Brazil),Se Palmeiras (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Monagas,Deportivo Petare,2003-07-31,1,2,F,Copa Sud,Monagas (Venezuela),Deportivo Petare (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,international
Universidad Catolica,CD Provincial Osorno,2003-08-05,0,1,F,Copa Sud,Universidad Catolica (Chile),CD Provincial Osorno (Chile),chile,chile,CL,CL,South America,South America,South America,international
Deportivo Petare,Monagas,2003-08-05,1,0,F,Copa Sud,Deportivo Petare (Venezuela),Monagas (Venezuela),venezuela,venezuela,VE,VE,South America,South America,South America,international
Independiente,Rosario Central,2003-08-06,1,1,F,Copa Sud,Independiente (Argentina),Rosario Central (Argentina),argentina,argentina,AR,AR,South America,South America,South America,international
Deportivo Pasto,Atletico Nacional,2003-08-06,0,0,F,Copa Sud,Deportivo Pasto (Colombia),Atletico Nacional (Colombia),colombia,colombia,CO,CO,South America,South America,South America,international
Cienciano,Alianza Lima,2003-08-07,1,0,F,Copa Sud,Cienciano (Peru),Alianza Lima (Peru),peru,peru,PE,PE,South America,South America,South America,international
The Strongest,Club Bolivar,2003-08-07,2,2,F,Copa Sud,The Strongest (Bolivia),Club Bolivar (Bolivia),bolivia,bolivia,BO,BO,South America,South America,South America,international
CA Colon,Velez Sarsfield,2003-08-12,3,1,F,Copa Sud,CA Colon (Argentina),Velez Sarsfield (Argentina),argentina,argentina,AR,AR,South America,South America,South America,international
Barcelona SC,Ldu Quito,2003-08-12,2,1,F,Copa Sud,Barcelona SC (Ecuador),Ldu Quito (Ecuador),ecuador,ecuador,EC,EC,South America,South America,South America,international
Santos FC,Internacional,2003-08-13,1,1,F,Copa Sud,Santos FC (Brazil),Internacional (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Fluminense RJ,Corinthians SP,2003-08-13,2,0,F,Copa Sud,Fluminense RJ (Brazil),Corinthians SP (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Se Palmeiras,Cruzeiro EC,2003-08-13,0,1,F,Copa Sud,Se Palmeiras (Brazil),Cruzeiro EC (Brazil),brazil,brazil,BR,BR,South America,South America,South America,international
Guarani,Libertad,2003-08-14,0,1,F,Copa Sud,Guarani (Paraguay),Libertad (Paraguay),paraguay,paraguay,PY,PY,South America,South America,South America,international
